	F0008	F0014	F0026	F0032	F0052	F0056	F0058	F0066	F0076	F0078	F0082	F0084	F0098	F0099	F0100	F0117	F0130	F0138	F0139	F0141	F0145	F0148	F0153	F0155	F0170	F0171	F0177	F0181	H0001	H0013	H0020	H0054	H0055	H0060	H0063	H0065	H0070	H0074	H0085	H0086	H0148	H0149	H0172	H0180	H0202	H0210	H0211	H0270	H0277	H0280	H0281	H0289	H0303	H0322	H0323	H0349	H0368	H0372	H0377	H0391	H0392	H0407	H0427	H0447	H0456	H0475	H0479	H0741
F0008	0.0	0.5624	0.62	0.6578	0.8456	0.686	0.6912	0.694	0.7326	0.6882	0.9612	0.6574	0.7686	0.6412	0.9296	0.9362	0.7046	0.8904	0.7746	0.844	0.6502	0.7224	0.6632	0.8288	0.7544	0.6688	0.7712	0.7538	0.8122	0.7302	0.856	0.8938	0.8346	0.9128	0.7794	0.7134	0.6852	0.9448	0.8184	0.7336	0.8274	0.457	0.7472	0.8126	0.6428	0.6502	0.7432	0.8426	0.6504	0.7032	0.8068	0.9056	0.6344	0.6484	0.6852	0.8274	0.8164	0.782	0.5184	0.5646	0.6244	0.8896	0.7998	0.69	0.7472	0.6294	0.5576	0.8032
F0014	0.5624	0.0	0.651	0.7766	0.8232	0.8366	0.68	0.7148	0.7836	0.4824	0.9854	0.6522	0.7628	0.69	0.9258	0.9534	0.7972	0.9108	0.825	0.8834	0.3644	0.7232	0.7324	0.811	0.7548	0.4032	0.795	0.7822	0.8536	0.7048	0.846	0.917	0.778	0.9388	0.811	0.74	0.7532	0.9392	0.8154	0.7308	0.8664	0.706	0.7826	0.7596	0.4014	0.7162	0.6862	0.913	0.7248	0.6748	0.8216	0.8884	0.6976	0.4354	0.7054	0.8406	0.8928	0.766	0.679	0.7616	0.7336	0.915	0.7478	0.7434	0.7192	0.676	0.76	0.8982
F0026	0.62	0.651	0.0	0.5958	0.807	0.7362	0.6388	0.3182	0.5562	0.5906	0.9828	0.5558	0.6262	0.664	0.9056	0.9468	0.7466	0.9146	0.6314	0.8868	0.6106	0.449	0.717	0.8	0.6114	0.64	0.7406	0.4488	0.846	0.624	0.7256	0.9314	0.7708	0.94	0.657	0.7856	0.6396	0.9436	0.8262	0.6852	0.8468	0.7134	0.8188	0.7408	0.61	0.644	0.5652	0.8718	0.568	0.64	0.8212	0.8672	0.697	0.6398	0.6056	0.8556	0.8498	0.698	0.7024	0.7198	0.686	0.9344	0.7456	0.7058	0.6478	0.7448	0.7828	0.885
F0032	0.6578	0.7766	0.5958	0.0	0.8602	0.6364	0.715	0.6364	0.4504	0.7148	0.9188	0.7028	0.7262	0.6552	0.9138	0.9112	0.654	0.8198	0.6556	0.7536	0.7702	0.7046	0.766	0.8028	0.6574	0.773	0.6958	0.5774	0.863	0.683	0.827	0.916	0.8404	0.8992	0.777	0.8782	0.7916	0.9554	0.8284	0.7376	0.7028	0.6952	0.889	0.8118	0.7448	0.432	0.7344	0.8428	0.653	0.663	0.8972	0.9064	0.707	0.7504	0.747	0.8418	0.7988	0.7458	0.71	0.6754	0.6784	0.8998	0.8308	0.7138	0.6986	0.8484	0.7086	0.7644
F0052	0.8456	0.8232	0.807	0.8602	0.0	0.905	0.8048	0.8264	0.8674	0.833	0.9834	0.8438	0.913	0.9076	0.9526	0.9624	0.7542	0.9288	0.8202	0.922	0.8444	0.8362	0.8972	0.9126	0.9058	0.8286	0.9314	0.85	0.9066	0.8076	0.9212	0.9554	0.4174	0.9492	0.9064	0.871	0.8522	0.9538	0.2876	0.8202	0.853	0.8718	0.9024	0.3712	0.8378	0.8614	0.8634	0.9582	0.838	0.8224	0.8976	0.451	0.892	0.8278	0.844	0.9162	0.9348	0.8592	0.861	0.8514	0.8468	0.9374	0.4468	0.793	0.8374	0.8858	0.934	0.9222
F0056	0.686	0.8366	0.7362	0.6364	0.905	0.0	0.8042	0.7762	0.7562	0.8178	0.8628	0.7968	0.815	0.7192	0.9352	0.8964	0.7404	0.8256	0.7848	0.8302	0.8558	0.8352	0.7598	0.8296	0.7614	0.8642	0.8178	0.7968	0.847	0.777	0.9126	0.9328	0.8734	0.9378	0.8788	0.8594	0.7908	0.9542	0.8972	0.7682	0.893	0.6732	0.8684	0.8878	0.8462	0.6594	0.8366	0.7308	0.7016	0.7118	0.8862	0.931	0.786	0.8438	0.7896	0.885	0.7196	0.8252	0.74	0.7	0.7046	0.9526	0.8904	0.7898	0.8048	0.8088	0.6324	0.831
F0058	0.6912	0.68	0.6388	0.715	0.8048	0.8042	0.0	0.653	0.7298	0.6602	0.9836	0.666	0.7314	0.767	0.784	0.873	0.7098	0.8984	0.7428	0.847	0.636	0.6496	0.802	0.8202	0.7806	0.6844	0.8436	0.7484	0.876	0.3612	0.8422	0.9286	0.7782	0.9286	0.722	0.7488	0.7652	0.9394	0.8168	0.4472	0.8208	0.7362	0.8276	0.7368	0.6408	0.6872	0.4404	0.9236	0.6602	0.538	0.827	0.8802	0.7628	0.6634	0.6626	0.757	0.8694	0.4464	0.6844	0.753	0.7194	0.9272	0.7572	0.4262	0.3558	0.7742	0.8478	0.8692
F0066	0.694	0.7148	0.3182	0.6364	0.8264	0.7762	0.653	0.0	0.5368	0.6066	0.9886	0.5998	0.5782	0.6962	0.8828	0.9236	0.7628	0.9196	0.5476	0.8982	0.6376	0.3768	0.8036	0.8016	0.5892	0.677	0.7416	0.4858	0.8718	0.6226	0.6516	0.9304	0.791	0.9398	0.5654	0.8468	0.7278	0.9446	0.854	0.6932	0.8632	0.8056	0.8912	0.7644	0.6184	0.6854	0.5712	0.902	0.6062	0.6096	0.8878	0.8784	0.7832	0.6238	0.6886	0.8394	0.878	0.6782	0.7166	0.763	0.7262	0.9462	0.7652	0.7312	0.6684	0.834	0.8292	0.8906
F0076	0.7326	0.7836	0.5562	0.4504	0.8674	0.7562	0.7298	0.5368	0.0	0.6892	0.9892	0.6942	0.6866	0.7182	0.869	0.9648	0.7158	0.8472	0.621	0.7464	0.756	0.5776	0.8196	0.812	0.6902	0.7532	0.7406	0.5668	0.8838	0.6582	0.748	0.9242	0.8388	0.9152	0.708	0.8764	0.8022	0.96	0.859	0.7554	0.7072	0.7944	0.9094	0.8052	0.7336	0.4186	0.6586	0.905	0.6504	0.6616	0.9006	0.9014	0.8044	0.7374	0.7656	0.7996	0.874	0.7338	0.7102	0.7732	0.7502	0.9404	0.8204	0.737	0.704	0.8648	0.8566	0.8244
F0078	0.6882	0.4824	0.5906	0.7148	0.833	0.8178	0.6602	0.6066	0.6892	0.0	0.9906	0.6562	0.6836	0.7212	0.8752	0.9328	0.7942	0.9228	0.7364	0.8906	0.4472	0.6176	0.7552	0.7188	0.7056	0.4662	0.729	0.6822	0.84	0.6556	0.7678	0.9312	0.7832	0.9356	0.7032	0.8056	0.7838	0.936	0.8526	0.697	0.884	0.8054	0.8684	0.7562	0.325	0.742	0.6018	0.9022	0.6258	0.6096	0.8772	0.889	0.7832	0.3918	0.7048	0.806	0.899	0.701	0.717	0.781	0.7236	0.9188	0.7558	0.7348	0.6886	0.8046	0.8672	0.9294
