	F0008	F0014	F0026	F0032	F0052	F0056	F0058	F0066	F0076	F0078	F0082	F0084	F0098	F0099	F0100	F0117	F0130	F0138	F0139	F0141	F0145	F0148	F0153	F0155	F0170	F0171	F0177	F0181	H0001	H0013	H0020	H0054	H0055	H0060	H0063	H0065	H0070	H0074	H0085	H0086	H0148	H0149	H0172	H0180	H0202	H0210	H0211	H0270	H0277	H0280	H0281	H0289	H0303	H0322	H0323	H0349	H0368	H0372	H0377	H0391	H0392	H0407	H0427	H0447	H0456	H0475	H0479	H0741
F0008	0.0	0.585706151348	0.692249057396	0.704486242041	0.724117252776	0.664654642763	0.639544260931	0.709636788888	0.72446584148	0.646647588625	0.754253989258	0.633667498743	0.671954615042	0.716310265915	0.763896467648	0.738610512361	0.639400841809	0.698947055678	0.657789828318	0.701577599871	0.651111787865	0.675182856385	0.648614740479	0.700574221678	0.69294505832	0.648263833592	0.753053862293	0.687362142346	0.619806742815	0.625192311883	0.681051969405	0.701592878345	0.747453293289	0.635718603866	0.655750982228	0.630647995303	0.655399647431	0.654922553324	0.7251680475	0.666740320427	0.706809512158	0.424709645145	0.617062363567	0.736313112678	0.654420800721	0.7005751759	0.714551065333	0.65217284674	0.634753696786	0.642495808651	0.622867822546	0.755296990841	0.646361795095	0.622029225424	0.660942614101	0.734238986762	0.704940162195	0.684518660827	0.466923670602	0.418155177843	0.580229863176	0.732432690924	0.765381546137	0.627060815727	0.669745421712	0.580328546431	0.517858207734	0.708506842575
F0014	0.585706151348	0.0	0.666473358863	0.71741142672	0.670931624384	0.717605755645	0.629911962277	0.687315217371	0.725992519958	0.511195941715	0.831933690209	0.653982182428	0.698032563564	0.729774125402	0.779539959758	0.787909712998	0.670036480335	0.747262169821	0.6776010109	0.754552168652	0.464134407059	0.688815221359	0.700251750498	0.729417159578	0.706025158879	0.452777659093	0.7680632609	0.701685472652	0.687074897292	0.62522933156	0.727788453994	0.753545089486	0.691153903151	0.694714658052	0.713705661139	0.69231669908	0.673857697744	0.724812215591	0.682178443872	0.661793176576	0.70682238974	0.623896635095	0.682326790445	0.660883637662	0.494373700355	0.687094702172	0.681505155401	0.726078602184	0.678640679184	0.637078904192	0.66577595811	0.708043649176	0.684403492453	0.458899893137	0.681330258205	0.766232070745	0.745847610558	0.678256670627	0.629851000628	0.62229718393	0.671241320021	0.781798865998	0.700378281767	0.602251744723	0.649032740524	0.65930182596	0.679174929912	0.760497988536
F0026	0.692249057396	0.666473358863	0.0	0.714984308076	0.730679167206	0.716807773447	0.681599083171	0.561929907155	0.709945355338	0.655032108321	0.862837058008	0.68687440322	0.721435493116	0.723912599363	0.79290054373	0.824333997934	0.693827890759	0.752879677618	0.703195546599	0.740900288878	0.675252116224	0.61225818805	0.696493071734	0.758190211499	0.738947191314	0.692141705541	0.77090831166	0.644612010231	0.702531628776	0.687995712075	0.747079480522	0.788731188816	0.7317616542	0.763746559061	0.719380980064	0.722377564703	0.70944898198	0.803331829813	0.727851585374	0.695417279263	0.712609131713	0.714631115184	0.737234630339	0.737362297959	0.68730519067	0.711588622682	0.678845470453	0.772358484913	0.673166688904	0.65253923413	0.7436742139	0.742436379546	0.714386273821	0.659870028385	0.711156580314	0.766011813615	0.757881653494	0.703511325032	0.692348824081	0.700078604002	0.727173071908	0.747026382321	0.742323306111	0.683956817055	0.683959347694	0.701903847921	0.721637017039	0.743155122021
F0032	0.704486242041	0.71741142672	0.714984308076	0.0	0.757532380955	0.719535638682	0.689365585743	0.716092584342	0.58404489174	0.695047041407	0.844144593618	0.704897052325	0.710157950997	0.713302978072	0.751454260091	0.801619339163	0.69284041513	0.725605662306	0.684829787647	0.699900275769	0.735906217849	0.715445210755	0.684187406502	0.734100223941	0.725996929214	0.709735436912	0.764235952836	0.706416314333	0.70154514563	0.711414557819	0.740683954039	0.76332660878	0.745572580726	0.71993142686	0.731578579593	0.720384782145	0.715652056935	0.786187644247	0.751793947149	0.726830215983	0.593673800733	0.716560215442	0.740281909185	0.755232306569	0.73942881179	0.56031629141	0.722948168443	0.714218890212	0.700048211558	0.67131720805	0.756404462847	0.770125369977	0.712203617962	0.72274029714	0.695983771923	0.747868378742	0.701630305794	0.709747019803	0.679122084314	0.690075806197	0.719200013695	0.748897613449	0.759478027935	0.702353460397	0.697811137197	0.706336399107	0.725847895198	0.70613641108
F0052	0.724117252776	0.670931624384	0.730679167206	0.757532380955	0.0	0.786246395769	0.711774378533	0.743899293678	0.738696307838	0.716267647872	0.869351166112	0.739852210543	0.775262662258	0.784319092955	0.835592586372	0.831752601975	0.699074368744	0.803511665713	0.735424810884	0.801984788488	0.702738987313	0.757373279103	0.789289408666	0.78968850353	0.797938175575	0.694876285277	0.822305897899	0.772354141945	0.712224527664	0.707599971725	0.795237195217	0.807731960603	0.522491080992	0.756576868826	0.784404715378	0.728831036737	0.752527755848	0.80117278788	0.464107319507	0.734488553392	0.709106217195	0.725241694952	0.750333939494	0.496734479075	0.72475110093	0.736172419438	0.769819060371	0.779584608308	0.742931698825	0.708315556162	0.735754737017	0.502866839113	0.738602807852	0.689743444452	0.757764616085	0.766098797232	0.780817396609	0.7553410746	0.721760072765	0.717919312077	0.739561167153	0.753861885082	0.582802464986	0.697733640143	0.732826856877	0.703695841377	0.780186998086	0.79739145639
F0056	0.664654642763	0.717605755645	0.716807773447	0.719535638682	0.786246395769	0.0	0.667619645122	0.740053204407	0.748608448321	0.70175725196	0.733736903018	0.665733717682	0.679449540069	0.676697982705	0.722110101715	0.729173398166	0.694283821429	0.687249546002	0.698935595936	0.699805917384	0.716938735861	0.715934960054	0.680825716887	0.682508878347	0.703542480551	0.721384521545	0.734692171533	0.693088948471	0.688691665348	0.688320280933	0.704335893763	0.723817614995	0.793243257239	0.699367864243	0.698874800302	0.68241706136	0.679136672314	0.693750573105	0.790791327487	0.718500493758	0.733766768114	0.674830421135	0.666362624307	0.791825817456	0.71583558613	0.73064839245	0.737306145573	0.657764132536	0.663901163899	0.67553105317	0.669588875987	0.805514707699	0.646676710152	0.696222111757	0.662992921598	0.739021450608	0.69496434749	0.714192839427	0.659378297074	0.647674446725	0.667186441072	0.781067341481	0.80342084761	0.677928506171	0.717523385951	0.65525002771	0.644999944531	0.705726251214
F0058	0.639544260931	0.629911962277	0.681599083171	0.689365585743	0.711774378533	0.667619645122	0.0	0.688720343627	0.700549607712	0.636916928289	0.834507784959	0.64314284134	0.677257796169	0.699134148435	0.747138911226	0.784187601282	0.647717044519	0.70145730843	0.640841314742	0.704996079122	0.655883226667	0.70512133192	0.65999012501	0.727459151427	0.702776084018	0.672155248695	0.753025497996	0.701143694268	0.648750215896	0.444616108414	0.703024234779	0.761560493754	0.707125689806	0.730224708464	0.709245234276	0.676216515302	0.670632829854	0.73165903866	0.710972243484	0.52298815963	0.69468348189	0.654972396457	0.685439443705	0.723741142404	0.663624475645	0.667609759011	0.550604021822	0.709828682529	0.674382826101	0.536372043769	0.675765381416	0.737051418216	0.676745535463	0.645137616774	0.677889400786	0.7267632366	0.72321952019	0.530994644531	0.61250431528	0.62568737529	0.648398349353	0.757401092859	0.720677044912	0.445195146901	0.524983692588	0.658604364959	0.654086985058	0.709355022035
F0066	0.709636788888	0.687315217371	0.561929907155	0.716092584342	0.743899293678	0.740053204407	0.688720343627	0.0	0.7085898936	0.675694959192	0.88209454485	0.721977697097	0.746247248893	0.75303763106	0.797291349291	0.834841830763	0.729923963431	0.778354974717	0.698710872372	0.756896065662	0.675554570256	0.647684779069	0.720586114041	0.774433857334	0.753405972165	0.70654266756	0.783234986555	0.65109662381	0.71560541019	0.686996062906	0.748716870356	0.803254318285	0.749048826876	0.769659433331	0.73411639239	0.748099326136	0.725606788993	0.813885015703	0.745348597808	0.699304634616	0.724105149301	0.731537310153	0.760445613232	0.754767247239	0.693567411578	0.70205177791	0.690277591526	0.771344453765	0.704784173964	0.671422974734	0.763954510047	0.755961178214	0.714126545858	0.686474519499	0.710841553936	0.775642463696	0.761273473774	0.710835465359	0.719379400827	0.709778481988	0.746885382224	0.774856743115	0.750275406613	0.69881179965	0.685388758864	0.74273553918	0.755265149198	0.761645294807
F0076	0.72446584148	0.725992519958	0.709945355338	0.58404489174	0.738696307838	0.748608448321	0.700549607712	0.7085898936	0.0	0.716475592191	0.86988557415	0.702537266506	0.728823826244	0.727152416733	0.77165982578	0.820700524825	0.711800292	0.734644973779	0.694727744946	0.714526183443	0.729643514784	0.713036310262	0.711964212063	0.736847270759	0.704303670893	0.726687260951	0.78998621401	0.713204984887	0.698000357278	0.706802155238	0.755783694339	0.790034371608	0.732865915239	0.743089474878	0.751893734025	0.716643094634	0.720439125746	0.81397345423	0.75081547358	0.711839430242	0.554973009287	0.728359419195	0.744743747644	0.74795062865	0.738693931096	0.582375420855	0.725450747556	0.750466916058	0.694638792621	0.674165363135	0.750504445003	0.751186816349	0.7061468736	0.718698456834	0.691704919222	0.731612543544	0.739000871938	0.710683012948	0.714734793373	0.704858284893	0.739350423928	0.740508081421	0.729217501531	0.701627526657	0.697781209614	0.703565115102	0.758048142678	0.732556020046
F0078	0.646647588625	0.511195941715	0.655032108321	0.695047041407	0.716267647872	0.70175725196	0.636916928289	0.675694959192	0.716475592191	0.0	0.850623230296	0.679926402393	0.722975348042	0.735524522698	0.763330618725	0.81369376742	0.701690157094	0.75574703182	0.692901817012	0.731608067035	0.532605649533	0.681817180168	0.689400191235	0.729048058739	0.709303985359	0.555890509152	0.77778287983	0.687606454854	0.70141373528	0.644003103887	0.732859462199	0.781438754721	0.711587379362	0.725911353238	0.722864901345	0.741480254568	0.68841320174	0.743922362317	0.716915539507	0.663422387	0.736274295736	0.695925554291	0.720053872724	0.716866738191	0.53070098995	0.682838200959	0.67525534005	0.756019738444	0.680277970521	0.659736814064	0.733878109049	0.745008769153	0.705312476448	0.527246826452	0.69199405369	0.756977071084	0.727863880674	0.650941991645	0.680083889563	0.684608924725	0.719063668563	0.79124945917	0.722363525607	0.654945303357	0.676709490174	0.703888420503	0.715171936186	0.73793313739
