	F0008	F0014	F0026	F0032	F0052	F0056	F0058	F0066	F0076	F0078	F0082	F0084	F0098	F0099	F0100	F0117	F0130	F0138	F0139	F0141	F0145	F0148	F0153	F0155	F0170	F0171	F0177	F0181	H0001	H0013	H0020	H0054	H0055	H0060	H0063	H0065	H0070	H0074	H0085	H0086	H0148	H0149	H0172	H0180	H0202	H0210	H0211	H0270	H0277	H0280	H0281	H0289	H0303	H0322	H0323	H0349	H0368	H0372	H0377	H0391	H0392	H0407	H0427	H0447	H0456	H0475	H0479	H0741
F0008	0.0	0.88540785	0.986365892	1.201180774	1.277080238	1.327852592	1.360017978	1.18009409	1.408255262	1.374081664	1.802179434	0.920585722	1.285975458	1.129197652	2.173014898	2.136512972	1.17106081	1.727101504	1.362650322	1.489079048	1.116726974	1.316376034	1.032615698	1.494952764	1.291599398	1.162180538	1.311007136	1.338928914	1.695454248	1.356781868	1.697277774	1.831828458	1.305428554	2.121811326	1.567851004	1.072548072	0.875532818	2.276229424	1.274664352	1.305109702	1.447312406	0.818214332	1.087272958	1.291178432	1.170548852	1.388792828	1.388164334	1.852009804	1.182686658	1.369377788	1.191503302	1.575630938	1.070776544	1.177425268	0.910476574	1.630792118	1.749811088	1.578650202	0.99894258	1.310120624	1.362921876	1.57267397	1.339480376	1.25365481	1.415418848	0.809330012	1.06356968	1.448312538
F0014	0.88540785	0.0	0.894202706	1.13541518	1.137159496	1.369857334	1.154160316	0.981668948	1.127949744	0.887864566	1.78415298	0.866277756	1.016812848	0.919436942	1.916344424	1.917499082	1.190998128	1.574860678	1.243903236	1.287382394	0.578720412	1.03811542	1.034527604	1.31435619	1.099351424	0.649807484	1.108456354	1.194350168	1.611672278	1.115679562	1.526599452	1.765269172	1.0757511	2.040379972	1.316855606	1.045579534	1.181049552	2.112282502	1.176227694	1.209878892	1.408073752	1.128429974	1.32543272	1.079405926	0.599391638	1.194119474	1.032034364	1.801595914	1.01270608	1.091825578	1.400883656	1.426530572	1.043039322	0.656229626	1.078503832	1.337769188	1.732591298	1.309851292	1.089288802	1.464509034	1.374851302	1.465138584	1.065981882	1.236400956	1.227268522	1.118416042	1.306560438	1.401014176
F0026	0.986365892	0.894202706	0.0	0.805237546	1.077366818	1.112785384	1.10090373	0.50001609	0.883158814	0.968463452	1.751823578	0.939917282	1.069798522	0.76775176	1.798825782	1.931599268	1.062201074	1.413806844	0.98961461	1.237385992	0.95645341	0.78805229	1.06765957	1.286483648	0.890764766	1.051611786	1.006117128	0.72562753	1.403467332	0.959175264	1.338817382	1.69959699	1.00910133	1.911162142	1.180979036	1.375611244	1.247942434	2.129903904	1.105798376	1.060487906	1.318902674	1.06543974	1.598788814	1.001852676	0.999405264	1.025464244	0.847596782	1.62017608	0.899973414	0.977808236	1.616760398	1.331644978	0.962572952	0.943192012	1.199691674	1.369424106	1.525497228	1.242864966	1.034907584	1.2258124	1.189746644	1.309227978	1.059542452	1.04117627	1.083095552	1.401357528	1.156481596	1.193497614
F0032	1.201180774	1.13541518	0.805237546	0.0	1.214163044	0.851252974	1.138459256	0.875084876	0.810394884	1.10743565	1.762480264	1.20787548	1.203998644	0.855836622	1.771533972	1.75315429	0.843085872	1.254929346	1.11839918	1.02237899	1.16377146	1.09323224	1.099045644	1.182277422	0.941232336	1.25306654	0.98759515	0.817611548	1.348913298	0.94853837	1.585901404	1.671092664	1.154833644	1.7198269	1.41219783	1.426985398	1.509359792	2.112543202	1.177526378	1.03198902	1.112316916	1.104887234	1.731100212	1.169775682	1.173593446	0.746913986	1.071331588	1.45013439	0.976662512	0.973473714	1.713173012	1.434859732	0.977092066	1.12130815	1.445021936	1.30599206	1.341760406	1.180086784	1.06830789	1.159681582	1.035179446	1.21998854	1.195423694	1.010723164	1.103061398	1.622095598	1.187260422	1.053182564
F0052	1.277080238	1.137159496	1.077366818	1.214163044	0.0	1.499995266	1.371786596	1.097419608	1.25843882	1.418125126	1.595622768	1.223325208	1.37150158	1.251058858	2.018489428	1.985630758	1.013428576	1.614546538	1.0973851	1.417955942	1.223017648	1.162750844	1.441860716	1.418423866	1.279323324	1.225272112	1.241135414	1.170897916	1.61105691	1.289351954	1.371556692	1.642075664	0.569919092	2.018969652	1.343298818	1.436187094	1.436130292	1.983553422	0.394674626	1.300348504	1.22778278	1.382428922	1.536634368	0.499885874	1.281574198	1.398633594	1.35688738	1.818895134	1.235622388	1.314152062	1.570882988	0.776057828	1.358287958	1.209446794	1.39335322	1.432871496	1.702041518	1.48684562	1.340962166	1.481013482	1.429624002	1.38503256	0.644546874	1.248161924	1.338153278	1.452997442	1.512675782	1.494936008
F0056	1.327852592	1.369857334	1.112785384	0.851252974	1.499995266	0.0	1.41247213	1.161949886	1.282409434	1.371134252	1.692090214	1.479847102	1.461815038	1.084600056	1.724315918	1.69506788	1.117978766	1.128564996	1.32102205	1.168632064	1.411764386	1.368251402	1.082914938	1.349660804	1.176161562	1.499624338	1.229244868	1.173306074	1.337627116	1.251771776	1.817614762	1.785015614	1.413753854	1.806401526	1.633794224	1.477391756	1.517848206	2.195343856	1.494179996	1.220045574	1.478269174	1.135340596	1.771020954	1.453676268	1.442299308	1.18712348	1.271502858	1.251656236	1.10834697	1.082050964	1.68623479	1.635646986	1.156216132	1.392501928	1.59429455	1.477001498	1.291148872	1.406200786	1.217460804	1.251764812	1.259014832	1.448605302	1.46951218	1.23469177	1.400809432	1.635202784	1.0646329	1.136279662
F0058	1.360017978	1.154160316	1.10090373	1.138459256	1.371786596	1.41247213	0.0	1.140683772	1.063236328	1.029999694	2.027454888	1.336413612	1.454232224	1.241539686	1.606299188	1.763594786	1.163549192	1.632627738	1.44200104	1.15422025	1.075991632	1.14430368	1.510978888	1.490132826	1.425305036	1.26446164	1.411031074	1.318984748	1.677499446	0.527542054	1.780343832	2.01727122	1.284469444	2.039102868	1.403915954	1.401516682	1.605443988	2.366378942	1.35569215	0.744418296	1.543346568	1.346724714	1.82152702	1.257254518	1.10519667	0.970871922	0.765877532	1.886854686	1.038660284	0.932680414	1.886665048	1.677821088	1.344377786	1.023716946	1.432825604	1.323633608	1.801009806	0.807271064	1.117407846	1.461558646	1.348594118	1.48107892	1.322895906	0.79171384	0.570394978	1.65104125	1.501872498	1.362890732
F0066	1.18009409	0.981668948	0.50001609	0.875084876	1.097419608	1.161949886	1.140683772	0.0	0.701959024	1.057893054	1.736915824	1.019808008	0.993347676	0.814710598	1.800860664	1.884738318	1.10897272	1.52672527	0.804505804	1.200878982	0.951265108	0.546773144	1.302704524	1.251746494	0.871724296	1.07156454	0.969058318	0.794338672	1.53325447	0.974778706	1.160673124	1.6909344	0.94083598	1.997238956	0.928990234	1.438630534	1.366223112	2.087857982	1.189918918	1.038910284	1.303662396	1.338109254	1.708580972	0.97397641	1.005029134	1.06835805	0.934793164	1.717455114	0.956351636	0.986075538	1.728450084	1.25529398	1.216076094	0.957603926	1.290346416	1.25094064	1.636250178	1.210673836	1.221457038	1.408355342	1.323009482	1.381883992	1.049187562	1.171183324	1.117555642	1.542333062	1.426641642	1.34835036
F0076	1.408255262	1.127949744	0.883158814	0.810394884	1.25843882	1.282409434	1.063236328	0.701959024	0.0	1.019523838	1.912074384	1.267828036	1.180450148	1.005297442	1.620945936	1.797836158	1.0935308	1.56285689	1.048070652	1.03800937	1.01987556	0.757875748	1.386799168	1.305545098	1.094918252	1.18126042	1.111516562	0.942962848	1.59978753	0.958626834	1.444137172	1.804205972	1.095611032	1.95560488	1.106100442	1.485184458	1.609975248	2.198200374	1.283875334	0.965980668	1.235368192	1.48551489	1.858074024	1.113813918	1.004314522	0.751354598	0.894012528	1.796223102	1.02581614	0.945129166	1.881269556	1.411843864	1.32556769	0.93960483	1.522768432	1.008128572	1.742467058	1.06526564	1.254790498	1.556875834	1.369100198	1.440853424	1.159344886	1.233190076	1.16886209	1.71429839	1.617262614	1.395190124
F0078	1.374081664	0.887864566	0.968463452	1.10743565	1.418125126	1.371134252	1.029999694	1.057893054	1.019523838	0.0	2.026359154	1.290644062	1.305345326	1.07087078	1.50620513	1.651838724	1.315034602	1.57969674	1.38574369	1.191336716	0.799082058	1.070641246	1.298967686	1.342065308	1.210370394	0.96031449	1.196615248	1.195126826	1.576309832	1.00072764	1.678314186	1.958063054	1.308047442	2.013778998	1.344477168	1.442928468	1.613863062	2.279689436	1.432170236	1.045431362	1.638304614	1.42456716	1.79777713	1.31676654	0.65258252	1.118568076	0.860673138	1.75398452	1.081474054	0.952102972	1.84848063	1.63801045	1.283495872	0.667196808	1.466363402	1.26860889	1.779108136	0.936818454	1.244437328	1.513528136	1.443809336	1.509393214	1.311710844	1.29617381	1.238525588	1.666013308	1.538583372	1.415891222
