ionIdx,ionMz,MzDelta,Mod,Formula,CompoundID,annSource,Compound_Name
1,55.0188,0.0001831,-H(-),C3H4O,HMDB0041822,['hmdb40_kegg_H_F_K_Na'],Acrolein
2,57.0347,-8.39E-05,-H(-),C3H6O,HMDB0001659,['hmdb40_kegg_H_F_K_Na'],Acetone
3,59.0137,0.000164916,-H(-),C2H4O2,HMDB0000042,"[""'hmdb40_kegg_H_F_K_Na'""]",Acetic acid
4,61.9883,6.63E-05,-H(-),HNO3,HMDB0002179,['hmdb40_kegg_H_F_K_Na'],Peroxynitrite
5,69.0344,0.0001631,-H(-),C4H6O,HMDB0034233,['hmdb40_kegg_H_F_K_Na'],(E)-2-Butenal
6,71.0139,-4.30E-06,-H(-),C3H4O2,HMDB0001167,['hmdb40_kegg_H_F_K_Na'],Pyruvaldehyde
7,72.9931,-2.67E-05,-H(-),C2H2O3,HMDB0000119,['hmdb40_kegg_H_F_K_Na'],Glyoxylic acid
8,73.0114,0.0003512,-H(-),C3H6S,HMDB0031635,['hmdb40_kegg_H_F_K_Na'],2-Propene-1-thiol
9,73.0294,8.97E-05,-H(-),C3H6O2,HMDB0000237,['hmdb40_kegg_H_F_K_Na'],Propionic acid
10,74.0246,0.0001327,-H(-),C2H5NO2,HMDB0000123,['hmdb40_kegg_H_F_K_Na'],Glycine
11,74.9905,0.0004908,-H(-),C2H4OS,HMDB0031188,['hmdb40_kegg_H_F_K_Na'],Ethanethioic acid
12,78.0348,0.0001425,-H(-),C5H5N,HMDB0000926,['hmdb40_kegg_H_F_K_Na'],Pyridine
13,81.0344,0.0002271,-H(-),C5H6O,HMDB0013749,['hmdb40_kegg_H_F_K_Na'],2-Methylfuran
14,83.0134,0.0004457,-H(-),C4H4O2,HMDB0032330,['hmdb40_kegg_H_F_K_Na'],4-Hydroxy-2-butenoic acid gamma-lactone
15,83.0501,0.0001381,-H(-),C5H8O,HMDB0001184,['hmdb40_kegg_H_F_K_Na'],Methyl propenyl ketone
16,84.0455,1.41E-05,-H(-),C4H7NO,HMDB0002039,['hmdb40_kegg_H_F_K_Na'],2-Pyrrolidinone
17,85.0294,0.0001317,-H(-),C4H6O2,HMDB0000549,['hmdb40_kegg_H_F_K_Na'],Gamma-Butyrolactone
18,87.045,0.0001567,-H(-),C4H8O2,HMDB0000039,['hmdb40_kegg_H_F_K_Na'],Butyric acid
19,88.0402,0.0001757,-H(-),C3H7NO2,HMDB0000056,['hmdb40_kegg_H_F_K_Na'],Beta-Alanine
20,89.0243,0.0001183,-H(-),C3H6O3,HMDB0000171,['hmdb40_kegg_H_F_K_Na'],L-Lactic acid
21,89.0356,4.67E-05,-H(-),C2H6N2O2,HMDB0143050,['hmdb40_kegg_H_F_K_Na'],Monoethyl carbonate
22,89.0425,0.0005312,-H(-),C4H10S,HMDB0031245,['hmdb40_kegg_H_F_K_Na'],2-Methyl-1-propanethiol
