Row.names	v1	response	LDA	p_value	log2_FC	Pvalue	fdr
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae	2.77815125038364		NA	-	0.777590404111061	0.275596130117855	0.818181818181818
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Corynebacteriaceae	1.82390874094432		NA	-	12.7029662668557	0.386476230771233	0.818181818181818
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae	2.30102999566398		NA	-	0.415013455764034	0.851595659312836	1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Propionibacteriaceae	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_unassigned	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae	2		NA	-	-13.2878566418405	0.563702861650773	0.874711337044303
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae	4.30535136944662		NA	-	-0.283171896517023	0.857142857142857	1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_unassigned.f_unassigned	0		NA	-	NA	NA	NA
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae	5.10174707394637		NA	-	-0.376002752111389	1	1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae	4.07188200730613		NA	-	1.90535976850734	0.211798378305723	0.818181818181818
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae	3.35218251811136		NA	-	-17.7795718878428	0.270289384801699	0.818181818181818
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae	4.37413709399941		NA	-	1.38686584203972	0.858427290260402	1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_unassigned	0		NA	-	NA	NA	NA
k_Bacteria.p_Bacteroidetes.c_unassigned.o_unassigned.f_unassigned	2.82390874094432	Responder	2.62202217757224	0.07775989643932954	16.024699613979	0.122744682325921	0.613723411629605
k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillaceae_1	0		NA	-	NA	NA	NA
k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillaceae_2	0		NA	-	NA	NA	NA
k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillales_Incertae_Sedis_XI	1.82390874094432		NA	-	0.414965377148157	1	1
k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillales_Incertae_Sedis_XII	0		NA	-	NA	NA	NA
k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Listeriaceae	1.69897000433602		NA	-	-12.2880008897076	0.563702861650773	0.874711337044303
k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Paenibacillaceae_1	0		NA	-	NA	NA	NA
