Row.names	v1	response	LDA	p_value	log2_FC	Pvalue	fdr
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae.g_Actinomyces	2.77815125038364		NA	-	0.777590404111061	0.275596130117855	0.85
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae.g_Mobiluncus	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae.g_Varibaculum	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Corynebacteriaceae.g_Corynebacterium	1.82390874094432		NA	-	12.7029662668557	0.386476230771233	0.85
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae.g_Rothia	2.30102999566398		NA	-	0.415013455764034	0.851595659312836	0.962193226445725
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Propionibacteriaceae.g_Propionibacterium	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Propionibacteriaceae.g_Tessaracoccus	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_unassigned.g_unassigned	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium	2		NA	-	-13.2878566418405	0.563702861650773	0.912661776006013
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Adlercreutzia	2.1249387366083		NA	-	13.702858076899	0.386476230771233	0.85
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Atopobium	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella	4.24303804868629		NA	-	-0.473930867733733	1	1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Cryptobacterium	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Denitrobacterium	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella	3.39211046501131		NA	-	0.0699017228672084	1	1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Enterorhabdus	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Gordonibacter	2.30102999566398		NA	-	0.999927870657641	0.825497910704632	0.962193226445725
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Incertae_sedis	1.82390874094432		NA	-	12.7029662668557	0.386476230771233	0.85
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Olsenella	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Paraeggerthella	0		NA	-	NA	NA	NA
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Slackia	2.39794000867204		NA	-	-14.6096981810843	0.563702861650773	0.912661776006013
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_unassigned	3.05435766232259	Responder	2.80812813938283	0.07775989643932954	16.7902254496846	0.122744682325921	0.782497349827746
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_unassigned.f_unassigned.g_unassigned	0		NA	-	NA	NA	NA
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Acetomicrobium	2.30102999566398		NA	-	14.2877845124982	0.386476230771233	0.85
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides	5.10174707394637		NA	-	-0.378968210283176	1	1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Barnesiella	3.38021124171161	Responder	3.12750074687161	0.07775989643932954	17.8726808914874	0.122744682325921	0.782497349827746
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Butyricimonas	2.86530142610254		NA	-	2.2894301137115	0.241886599408831	0.85
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Dysgonomonas	3.32905871926422		NA	-	17.7027566414454	0.386476230771233	0.85
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Odoribacter	3		NA	-	3.32179825947454	0.241886599408831	0.85
