Row.names	v1	response	LDA	p_value	log2_FC	Pvalue	fdr
ARGORNPROST_PWY	2.89153552	Responder	2.307258493	0.077099872	1.306660135	0.114285714	1
GALACTARDEG_PWY	2.20234624	Nonresponder	2.181563401	0.033894854	-2.249638559	0.057142857	1
GLUCARGALACTSUPER_PWY	2.20234624	Nonresponder	2.167044741	0.033894854	-2.249638559	0.057142857	1
HEMESYN2_PWY	2.608165711	Responder	2.26238735	0.077099872	0.957151854	0.228571429	1
P23_PWY	2.941073481	Responder	2.533284874	0.077099872	1.78813553	0.114285714	1
P562_PWY	2.748480433	Responder	2.35281216	0.033894854	1.126155672	0.057142857	1
PANTO_PWY	3.706474724	Responder	2.879359026	0.077099872	0.679882011	0.228571429	1
PANTOSYN_PWY	3.753158324	Responder	2.79263258	0.077099872	0.585745264	0.4	1
PRPP_PWY	3.349621041	Responder	2.832823839	0.033894854	1.388162911	0.057142857	1
PWY_5022	2.155874093	Nonresponder	2.310420866	0.077099872	-0.58029139	0.114285714	1
PWY_5304	2.297947586	Responder	2.072920658	0.033894854	2.495132532	0.057142857	1
PWY_5505	3.985673344	Nonresponder	2.969959156	0.033894854	-0.217633644	0.4	1
PWY_5973	3.990223769	Responder	2.561940437	0.033894854	0.261578637	0.228571429	1
PWY_6151	3.903559648	Nonresponder	2.921844659	0.033894854	-0.222710831	0.4	1
PWY_6969	3.442504787	Responder	3.003000166	0.033894854	1.840877361	0.057142857	1
PWY_7242	3.846361057	Nonresponder	3.142354382	0.033894854	-0.576635689	0.228571429	1
PWY_7254	2.619964084	Nonresponder	2.23615943	0.077099872	-1.040584015	0.4	1
PWY0_1533	2.617483053	Responder	2.250865961	0.033894854	2.07160063	0.057142857	1
RHAMCAT_PWY	3.544186929	Nonresponder	2.894621627	0.077099872	-0.728168283	0.114285714	1
TCA	3.28979538	Responder	2.929874001	0.033894854	2.376691267	0.057142857	1
X1CMET2_PWY	3.888784551	Nonresponder	2.552456875	0.033894854	NA	NA	NA
