response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Actinobacteria__c_Actinobacteria	 0.30	 1.18	 0.38	 3.68	 0.38	10.70	 0.50	 0.38	 7.00	 0.90	 0.04	 0.40
k_Bacteria__p_Bacteroidetes__c_Bacteroidia	 7.00	11.18	 4.10	24.58	 6.30	 0.24	 8.10	12.98	 6.68	36.34	 0.34	12.92
k_Bacteria__p_Bacteroidetes__c_unassigned	0.00	0.18	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli	 7.04	 6.18	12.94	 0.40	 1.76	 5.54	 0.56	27.62	14.70	 0.20	 1.50	 0.62
k_Bacteria__p_Firmicutes__c_Clostridia	75.22	61.00	66.52	63.64	43.84	75.76	83.26	41.52	51.62	62.36	16.28	83.52
k_Bacteria__p_Firmicutes__c_Erysipelotrichia	 8.54	 9.26	11.10	 1.66	45.34	 6.84	 5.36	16.92	14.24	 0.00	81.46	 1.86
k_Bacteria__p_Firmicutes__c_Negativicutes	0.76	0.76	0.00	2.00	0.46	0.26	0.64	0.24	2.10	0.00	0.06	0.40
k_Bacteria__p_Firmicutes__c_unassigned	0.02	0.04	0.04	0.02	0.06	0.02	0.76	0.00	0.00	0.02	0.00	0.04
k_Bacteria__p_Fusobacteria__c_Fusobacteria	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Lentisphaerae__c_Lentisphaeria	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria	0.02	0.68	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria	0.40	0.22	0.04	1.12	0.00	0.00	0.00	0.06	0.24	0.00	0.04	0.16
k_Bacteria__p_Proteobacteria__c_Deltaproteobacteria	0.08	0.00	0.00	0.00	0.00	0.04	0.00	0.02	0.02	0.00	0.14	0.00
k_Bacteria__p_Proteobacteria__c_Epsilonproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria	0.04	0.00	0.48	0.00	0.08	0.54	0.00	0.00	3.26	0.00	0.12	0.00
k_Bacteria__p_Proteobacteria__c_unassigned	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Spirochaetes__c_Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Synergistetes__c_Synergistia	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_TM7__c_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Verrucomicrobia__c_Verrucomicrobiae	0.06	0.00	0.00	0.08	0.02	0.00	0.02	0.00	0.00	0.18	0.00	0.00
k_Bacteria__p_unassigned__c_unassigned	0.52	9.26	4.38	2.82	1.76	0.00	0.78	0.26	0.14	0.00	0.02	0.04
