response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Actinomycetaceae	0.04	0.10	0.04	0.04	0.00	0.24	0.00	0.00	0.10	0.02	0.02	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Corynebacteriaceae	0.00	0.02	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Micrococcaceae	0.04	0.04	0.02	0.00	0.00	0.00	0.00	0.04	0.00	0.02	0.00	0.02
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_unassigned	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Bifidobacteriales__f_Bifidobacteriaceae	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae	 0.22	 1.02	 0.32	 3.64	 0.36	10.36	 0.50	 0.34	 6.86	 0.86	 0.02	 0.38
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_unassigned__f_unassigned	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Bacteroidaceae	 6.58	 7.52	 3.46	18.24	 5.24	 0.14	 7.24	11.14	 5.96	33.20	 0.26	10.54
