response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Actinobacteria	 0.30	 1.18	 0.38	 3.68	 0.38	10.70	 0.50	 0.38	 7.00	 0.90	 0.04	 0.40
k_Bacteria__p_Bacteroidetes	 7.00	11.36	 4.12	24.58	 6.30	 0.24	 8.10	12.98	 6.68	36.34	 0.34	12.92
k_Bacteria__p_Firmicutes	91.58	77.24	90.60	67.72	91.46	88.42	90.58	86.30	82.66	62.58	99.30	86.44
k_Bacteria__p_Fusobacteria	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Lentisphaerae	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria	0.54	0.90	0.52	1.12	0.08	0.58	0.02	0.08	3.52	0.00	0.30	0.18
k_Bacteria__p_Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Synergistetes	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_TM7	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Verrucomicrobia	0.06	0.00	0.00	0.08	0.02	0.00	0.02	0.00	0.00	0.18	0.00	0.00
k_Bacteria__p_unassigned	0.52	9.26	4.38	2.82	1.76	0.00	0.78	0.26	0.14	0.00	0.02	0.04
