response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
Cellular_Processes__Cell_Growth_and_Death__Apoptosis	0.0021345452	0.0016789529	0.0040500709	0.0021249866	0.0003205243	0.0009912123	0.0004620085	0.0001606098	0.0030704370	0.0008810252	0.0002741834	0.0004369419
Cellular_Processes__Cell_Growth_and_Death__Cell_cycle_Caulobacter	0.5035920	0.4880923	0.4869342	0.4994642	0.4673244	0.4815909	0.5108428	0.4806133	0.4970876	0.5321624	0.4487926	0.4886850
Cellular_Processes__Cell_Growth_and_Death__Meiosis_yeast	4.131378e-04	1.839948e-04	6.942979e-05	6.929304e-04	9.157836e-05	9.220580e-05	2.310042e-05	1.147213e-04	9.234397e-05	1.854790e-04	6.854586e-05	1.149847e-04
Cellular_Processes__Cell_Motility__Bacterial_chemotaxis	0.4059767	0.4839984	0.3356699	0.5047074	0.3074972	0.4777413	0.4092933	0.4073064	0.4830051	0.2764332	0.1387597	0.3779778
Cellular_Processes__Cell_Motility__Bacterial_motility_proteins	0.7524387	0.8860502	0.5778641	0.9569831	0.6177418	0.8001850	0.7508331	0.7437150	0.8498185	0.2935437	0.3143056	0.7371440
Cellular_Processes__Cell_Motility__Cytoskeleton_proteins	0.4285616	0.4263390	0.4380557	0.4119702	0.3602693	0.4387613	0.4665130	0.4390153	0.3970329	0.4173509	0.3243819	0.4971249
Cellular_Processes__Cell_Motility__Flagellar_assembly	0.28573068	0.35736398	0.21122856	0.40353958	0.20765394	0.29054047	0.28510542	0.28707849	0.35000673	0.09433925	0.05842392	0.28461017
Cellular_Processes__Transport_and_Catabolism__Lysosome	0.06192476	0.06911306	0.09740999	0.11571938	0.09569939	0.04137735	0.06445018	0.08294347	0.06676469	0.10161930	0.11926979	0.06961175
Cellular_Processes__Transport_and_Catabolism__Peroxisome	0.13144667	0.13597219	0.11694290	0.16018242	0.10442223	0.12069739	0.14058918	0.11504248	0.11921606	0.15985970	0.06598681	0.15486142
Environmental_Information_Processing__Membrane_Transport__ABC_transporters	3.641213	3.442566	3.670452	3.524198	3.096951	3.759622	3.586849	3.382763	3.698907	3.517957	2.978363	3.423578
Environmental_Information_Processing__Membrane_Transport__Bacterial_secretion_system	0.5185568	0.4964641	0.5425706	0.5093501	0.4111640	0.5181966	0.5509913	0.5153050	0.4842056	0.4940697	0.3719527	0.6059235
Environmental_Information_Processing__Membrane_Transport__Phosphotransferase_system_PTS	0.9063784	0.7026533	0.7665048	0.4910567	1.3777278	0.7361250	0.4907454	1.0047518	0.8380215	0.5640648	1.8967096	0.3912010
Environmental_Information_Processing__Membrane_Transport__Secretion_system	1.0577934	1.0787158	1.0285097	1.0726794	0.9481795	1.0756959	1.0685332	1.0791370	1.0694355	0.8664187	0.8524363	1.0895032
Environmental_Information_Processing__Membrane_Transport__Transporters	7.608713	7.491718	8.297276	7.479653	7.421075	8.084650	7.506598	7.499283	7.858749	7.205441	7.489755	6.913456
Environmental_Information_Processing__Signal_Transduction__MAPK_signaling_pathway_yeast	0.04292043	0.04588371	0.04716597	0.04668041	0.06888982	0.03835761	0.04148836	0.03817924	0.04072369	0.05432216	0.08152387	0.03564526
Environmental_Information_Processing__Signal_Transduction__Phosphatidylinositol_signaling_system	0.08024054	0.07343694	0.08736582	0.08070330	0.08235184	0.07611589	0.06542040	0.08966614	0.07888484	0.10449423	0.09413631	0.06970373
Environmental_Information_Processing__Signal_Transduction__Two_component_system	1.2678739	1.3537420	1.3269652	1.4241799	1.1642128	1.3662594	1.2830206	1.2829738	1.4020123	1.1196903	0.9767328	1.3010981
Environmental_Information_Processing__Signaling_Molecules_and_Interaction__Bacterial_toxins	0.1523331	0.1358572	0.1534167	0.1252587	0.2242754	0.1351045	0.1252505	0.1643726	0.1390700	0.1210714	0.3259813	0.1137889
Environmental_Information_Processing__Signaling_Molecules_and_Interaction__Cellular_antigens	0.014781152	0.011223685	0.014580255	0.025522937	0.006296012	0.005163525	0.012358726	0.033636274	0.008541817	0.020773647	0.005095242	0.028332234
Environmental_Information_Processing__Signaling_Molecules_and_Interaction__G_protein_coupled_receptors	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.305145e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
Environmental_Information_Processing__Signaling_Molecules_and_Interaction__Ion_channels	0.013059744	0.012074661	0.011363342	0.005797518	0.006662326	0.005278782	0.003280260	0.016221586	0.017152892	0.003477731	0.001827890	0.004783364
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Chaperones_and_folding_catalysts	0.9074342	0.9276790	0.9169823	0.9588540	0.8581350	0.9204213	0.9614858	0.9304583	0.9427396	0.9820185	0.8435025	0.9723338
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Proteasome	0.04455002	0.03967389	0.04112558	0.04194539	0.04072948	0.04395911	0.04684766	0.04861887	0.03901533	0.04182551	0.04775362	0.04534997
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Protein_export	0.5878262	0.5642892	0.5721477	0.5718524	0.5446394	0.5815881	0.5879982	0.5880382	0.5692082	0.5845370	0.5464476	0.5884228
