response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
EC__1__1__1__1	4507.27	5335.89	6210.86	4967.50	4131.91	5379.76	4766.82	3989.31	5350.33	3106.72	3743.53	4941.76
EC__1__1__1__100	 8509.39	11595.57	11147.74	13164.26	 7799.85	13502.11	10907.24	10923.02	12102.65	12628.46	 6068.35	 8872.80
EC__1__1__1__103	 68.39	 40.95	 93.43	 58.08	 31.89	 42.39	 20.58	 81.25	 66.71	178.00	 33.08	 19.25
EC__1__1__1__105	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__1__108	 46	  4	 16	  0	 14	  0	  0	 46	  0	158	 22	 18
EC__1__1__1__11	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__1__1__122	 0.00	 0.00	 1.00	 0.00	 0.50	 1.00	 0.00	 0.00	14.25	 0.00	 0.00	 0.00
EC__1__1__1__125	163.79	164.05	372.48	379.30	 82.89	 53.04	 47.00	307.65	 69.21	433.65	206.88	 44.00
EC__1__1__1__130	25.80	20.33	78.45	 7.32	13.64	 6.80	 4.00	20.66	40.96	91.66	42.28	 8.00
EC__1__1__1__132	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__1__1__133	3307.61	4506.72	5649.92	4382.47	3871.96	3561.79	3667.41	6608.37	3663.46	4627.81	4632.97	3392.80
EC__1__1__1__136	111.5	 29.5	 84.0	132.0	 32.0	128.5	159.5	 79.5	 60.0	 42.5	 54.5	 23.0
EC__1__1__1__137	866.41	  9.49	 17.50	  0.00	563.75	 25.67	  4.58	  9.10	  7.66	  0.67	707.50	  9.83
EC__1__1__1__14	1521.07	3017.79	3458.04	2982.14	2855.25	4829.32	2372.08	2489.82	3905.25	3953.57	1596.50	1290.67
EC__1__1__1__140	  25.64	 890.50	 132.43	 344.00	1265.14	 387.31	 358.00	  15.58	 422.46	 118.00	 120.58	 107.00
EC__1__1__1__157	2387.05	3294.23	1349.95	3236.15	2583.72	1250.80	2786.75	2212.33	1677.29	2597.66	1178.78	2019.50
EC__1__1__1__159	228.39	277.40	244.43	162.50	707.39	831.89	135.75	574.00	591.96	513.00	821.78	 42.50
EC__1__1__1__169	1786.22	2616.23	2288.69	3809.68	1528.69	2985.07	2577.16	3912.55	2766.09	2697.81	1270.38	2166.72
EC__1__1__1__17	1205.64	 934.00	 503.43	 513.00	1336.14	 577.56	 408.00	 153.58	 573.21	 198.00	 360.58	 138.50
EC__1__1__1__179	  0	  5	 60	  0	  3	  2	  1	103	  0	 15	 12	  3
EC__1__1__1__18	 129.25	 896.75	1106.00	 725.25	1123.00	 343.00	 399.75	1133.25	 284.50	 787.50	 219.00	 148.08
EC__1__1__1__193	2570.84	2548.41	1471.94	2965.37	1453.97	2137.92	2714.75	1198.56	2306.03	3104.08	 343.66	2193.67
EC__1__1__1__2	  0	  5	 60	  0	  3	  2	  1	103	  0	 15	 12	  3
EC__1__1__1__202	 1.33	 5.33	16.01	 2.66	 1.00	 0.33	 0.00	 6.33	 4.00	37.33	17.00	 3.00
EC__1__1__1__205	3346.30	4481.82	4201.01	4189.60	3154.52	4188.27	3790.58	4839.29	3912.65	4283.98	2722.33	3124.97
EC__1__1__1__206	5	0	0	0	0	0	0	0	0	2	0	0
EC__1__1__1__215	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
EC__1__1__1__219	  3	 72	 82	298	  3	 38	  9	124	  9	 31	 23	  4
EC__1__1__1__22	2882.84	2749.64	4028.77	3777.62	2348.13	2744.87	3232.08	3964.70	2482.54	4744.58	2705.83	2870.59
EC__1__1__1__23	3110.84	4306.08	3938.77	4042.87	3113.97	3883.42	3736.08	4681.06	3621.62	4136.58	2648.25	3061.67
EC__1__1__1__25	4659.72	5604.87	4873.33	5297.77	4087.02	6806.27	4898.33	5274.13	5818.99	5292.65	2893.33	3402.80
EC__1__1__1__251	 0.14	 0.00	 3.43	 0.00	 0.64	 4.39	 0.00	 0.00	28.96	 0.00	 0.28	 0.00
EC__1__1__1__26	  2.33	 12.33	 82.01	  4.66	  4.00	  3.33	  2.00	113.33	  8.00	 57.33	 33.00	  7.00
EC__1__1__1__261	 332.0	 456.5	 518.0	 877.5	 228.5	1427.0	 519.5	 251.0	1338.0	 266.0	 139.0	 209.5
EC__1__1__1__262	 444.75	 502.67	 453.46	 961.19	 397.47	 144.83	 441.83	 678.97	 468.96	1839.74	  90.88	 393.50
EC__1__1__1__264	 0.14	 0.00	 3.43	 0.00	 0.64	 4.14	 0.00	 0.00	28.96	 0.00	 0.28	 0.00
EC__1__1__1__267	3207.59	4324.41	3845.77	4112.37	3079.72	4033.92	3784.00	4475.06	3675.53	4178.58	2641.66	3094.67
EC__1__1__1__27	3491.93	3659.32	3634.80	3480.46	4301.85	4350.37	2720.50	5280.45	3927.81	3084.97	4026.05	1349.10
EC__1__1__1__271	 663.46	 648.96	1371.44	1477.67	 384.89	 122.92	 795.58	 845.65	 707.71	2844.33	  99.08	 843.25
EC__1__1__1__28	1693.40	1632.68	2006.19	1949.96	1425.86	2807.95	1596.08	2794.51	2430.42	1838.75	2959.66	 681.17
EC__1__1__1__281	 37	 19	 41	  5	 57	  1	246	  6	  4	 31	 19	 39
EC__1__1__1__282	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 0.28	 0.00
EC__1__1__1__284	 2.14	 4.50	19.43	 3.00	 0.89	30.39	 0.00	 2.00	34.21	10.00	 9.08	 0.00
EC__1__1__1__287	25	 8	18	 0	 7	 0	 6	45	 2	79	17	 9
