response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
K00001	 553.04	 429.44	 442.33	 936.88	 953.50	 168.17	 279.91	 831.18	 326.24	1171.92	 805.67	 344.50
K00002	  0	  5	 60	  0	  3	  2	  1	103	  0	 15	 12	  3
K00003	4876.96	4483.69	4269.57	3970.39	3060.30	5802.60	3953.33	4911.23	5102.03	3844.90	2799.75	2887.80
K00004	22.50	22.83	20.00	 7.00	10.00	 9.17	 4.33	 9.67	 3.66	 3.67	 7.67	22.33
K00005	2489.63	1404.02	 899.79	1521.98	1931.14	2374.30	1252.33	2249.41	2382.12	1237.66	1104.50	 435.33
K00007	0	0	0	0	0	0	0	0	0	0	0	0
K00008	1521.07	3017.79	3458.04	2982.14	2855.25	4829.32	2372.08	2489.82	3905.25	3953.57	1596.50	1290.67
K00009	1205.64	 934.00	 503.43	 513.00	1336.14	 577.56	 408.00	 153.58	 573.21	 198.00	 360.58	 138.50
K00010	 129.25	 896.75	1106.00	 725.25	1123.00	 343.00	 399.75	1133.25	 284.50	 787.50	 219.00	 148.08
K00012	2882.84	2749.64	4028.77	3777.62	2348.13	2744.87	3232.08	3964.70	2482.54	4744.58	2705.83	2870.59
K00013	3110.84	4306.08	3938.77	4042.87	3113.97	3883.42	3736.08	4681.06	3621.62	4136.58	2648.25	3061.67
K00014	4659.72	5604.87	4873.33	5297.77	4087.02	6806.27	4898.33	5274.13	5818.99	5292.65	2893.33	3402.80
K00015	  2.33	 12.33	 82.01	  4.66	  4.00	  3.33	  2.00	113.33	  8.00	 57.33	 33.00	  7.00
K00016	3491.93	3659.32	3634.80	3480.46	4301.85	4350.37	2720.50	5280.45	3927.81	3084.97	4026.05	1349.10
K00018	2759.48	2519.18	3354.39	2740.96	1549.00	2811.43	2879.50	4299.03	2400.00	4332.23	 783.50	2784.33
K00019	28	 8	18	 5	10	 0	 2	 4	 3	30	 6	 2
K00020	1277.08	 449.73	2194.01	 412.16	 916.25	1346.50	 269.75	1765.16	1351.00	 594.83	2274.00	 447.50
K00021	0	0	0	0	0	0	0	0	0	0	0	0
K00023	0	0	0	0	0	0	0	0	0	0	0	1
K00024	 451.88	 903.52	 388.43	1502.76	 607.22	 140.59	 477.33	1021.99	 651.71	2258.00	  28.58	 647.67
K00025	0	0	0	0	0	0	0	0	0	0	0	0
K00027	2960.60	3821.55	3391.52	3165.38	2795.44	3542.57	3504.50	3285.31	3299.41	3319.06	1448.16	2754.80
K00029	 262.76	 441.68	 209.43	 881.21	 309.47	  11.59	 233.83	 516.98	 361.96	1139.75	  19.08	 349.50
K00030	 477.50	 618.50	 778.33	 427.50	 868.25	 783.75	 382.00	2225.75	 899.25	  32.50	2054.25	 141.00
K00031	2654.56	3037.91	3154.17	3082.19	1952.44	3344.77	3272.33	2336.94	2841.17	4068.98	 587.25	2885.72
K00033	 470.25	 425.67	 584.94	 695.04	 399.97	 199.89	 257.00	 733.61	 471.44	1124.75	 188.08	 331.67
K00034	 58.99	 46.99	159.03	  9.98	 43.50	 99.49	  2.50	182.49	 28.00	301.49	 94.50	 35.00
K00036	 303.25	 407.17	 441.94	 599.04	 347.97	 129.89	 235.33	 681.61	 424.45	1114.75	 100.75	 315.00
K00039	0	0	0	0	0	0	0	0	0	0	0	0
K00040	 399.47	 392.33	 552.77	 833.66	 398.39	1285.72	 837.00	 352.33	1306.21	1991.33	 119.08	 154.00
K00041	 614.17	 632.67	 742.78	1273.87	 488.14	1291.25	1012.75	1065.97	1577.96	2239.41	 153.08	 471.42
K00042	1294.19	 460.66	2229.88	 369.32	 914.53	1066.44	 272.25	1812.66	1247.42	 774.66	2276.86	 449.00
K00045	 2.5	 8.3	 0.0	41.5	 1.0	 7.0	 2.5	 4.5	13.0	 1.0	 1.0	 0.5
K00046	1025.33	2207.31	1115.46	2330.69	1648.14	2232.41	1852.25	1718.63	2141.71	4005.07	1078.78	 665.42
K00048	1038.22	2312.20	2636.27	2331.58	1850.14	2985.72	2046.75	3599.08	3307.04	3423.08	2290.78	1100.92
K00050	  55.00	  30.50	1025.33	 162.00	  61.00	  24.00	  64.00	  90.00	  24.00	  90.00	  59.00	 358.00
K00052	3177.30	4368.90	4001.01	4048.43	3081.77	3936.85	3728.91	4629.96	3741.75	4391.98	2674.25	3077.30
K00053	3077.97	4723.57	3866.00	3996.77	2967.27	3928.27	3722.91	4482.63	3736.41	4167.65	2616.25	3082.30
K00054	 96.13	 88.16	145.23	  2.40	 35.80	 84.77	  0.33	 41.90	212.46	 82.07	 27.67	 20.13
K00055	 3.33	 6.33	31.01	 3.66	10.00	 6.33	 0.00	 8.33	 8.00	37.33	18.00	 3.00
K00057	3261.72	4314.07	4071.33	4176.77	3529.52	4263.69	3672.33	4593.96	4069.32	4235.65	2706.33	3069.80
K00058	4760.29	6226.96	6668.89	6472.56	5159.10	6278.50	5332.75	7390.51	5809.33	7704.96	4213.16	4169.47
K00059	 8509.39	11595.57	11147.74	13164.26	 7799.85	13502.11	10907.24	10923.02	12102.65	12628.46	 6068.35	 8872.80
K00060	 68.39	 40.95	 93.43	 58.08	 31.89	 42.39	 20.58	 81.25	 66.71	178.00	 33.08	 19.25
K00064	 0.00	 0.00	 1.00	 0.00	 0.50	 1.00	 0.00	 0.00	14.25	 0.00	 0.00	 0.00
K00065	163.79	164.05	372.48	379.30	 82.89	 53.04	 47.00	307.65	 69.21	433.65	206.88	 44.00
K00066	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00067	3307.61	4506.72	5649.92	4382.47	3871.96	3561.79	3667.41	6608.37	3663.46	4627.81	4632.97	3392.80
K00068	  25.64	 890.50	 132.43	 344.00	1265.14	 387.31	 358.00	  15.58	 422.46	 118.00	 120.58	 107.00
K00073	  1.47	 12.33	 95.44	  5.66	  4.64	 32.72	  1.00	113.33	 37.96	 62.33	 37.28	  8.00
K00074	2387.05	3294.23	1349.95	3236.15	2583.72	1250.80	2786.75	2212.33	1677.29	2597.66	1178.78	2019.50
K00075	3520.47	4441.57	4113.00	4292.94	3717.27	4394.69	3816.92	5952.46	4096.81	4215.15	3413.66	3138.47
K00076	228.39	277.40	244.43	162.50	707.39	831.89	135.75	574.00	591.96	513.00	821.78	 42.50
K00077	1786.22	2616.23	2288.69	3809.68	1528.69	2985.07	2577.16	3912.55	2766.09	2697.81	1270.38	2166.72
K00078	  0	  5	 60	  0	  3	  2	  1	103	  0	 15	 12	  3
K00082	 0.0	12.5	 0.0	75.5	 1.5	 0.0	 4.5	 0.0	 0.0	65.0	 0.0	 2.5
K00086	 1.33	 5.33	16.01	 2.66	 1.00	 0.33	 0.00	 6.33	 4.00	37.33	17.00	 3.00
K00087	921.46	344.52	691.47	172.64	269.64	 78.71	113.00	858.32	 80.96	564.32	263.28	100.00
K00088	3346.30	4481.82	4201.01	4189.60	3154.52	4188.27	3790.58	4839.29	3912.65	4283.98	2722.33	3124.97
K00090	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
K00091	  3	 72	 82	298	  3	 38	  9	124	  9	 31	 23	  4
K00094	 0.14	 0.00	 3.43	 0.00	 0.64	 4.39	 0.00	 0.00	28.96	 0.00	 0.28	 0.00
K00096	 332.0	 456.5	 518.0	 877.5	 228.5	1427.0	 519.5	 251.0	1338.0	 266.0	 139.0	 209.5
K00097	 444.75	 502.67	 453.46	 961.19	 397.47	 144.83	 441.83	 678.97	 468.96	1839.74	  90.88	 393.50
K00098	 0.14	 0.00	 3.43	 0.00	 0.64	 4.14	 0.00	 0.00	28.96	 0.00	 0.28	 0.00
K00099	3207.59	4324.41	3845.77	4112.37	3079.72	4033.92	3784.00	4475.06	3675.53	4178.58	2641.66	3094.67
K00100	3749.86	5051.48	2712.69	4614.61	4262.75	3836.94	4329.25	4455.55	3980.90	5734.74	2751.83	3066.59
K00101	 2.14	10.67	 4.43	 0.00	 1.89	12.89	 0.00	 2.00	29.21	 1.00	 2.08	 1.00
K00102	  4.0	  7.0	  0.0	 87.5	  0.0	141.5	  9.5	  1.0	160.0	 16.0	  2.0	  7.5
K00104	 277.22	1117.93	 135.27	 463.99	1366.14	 579.22	 436.58	  56.08	 557.21	 159.33	 172.03	 142.00
K00105	15.16	 2.50	32.00	 0.00	 9.00	11.83	 0.00	 9.50	 5.33	 1.00	 6.67	 2.00
K00108	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
K00111	2166.02	2582.90	3161.89	2540.89	2193.19	2942.77	1946.75	3691.83	2482.75	2628.99	2044.66	 918.25
K00112	  8.14	 17.34	  8.43	 10.33	  1.22	 12.39	  0.00	304.67	 45.21	  1.00	  9.08	  5.00
K00113	  8.14	 17.34	  8.43	 10.33	  1.22	 12.39	  0.00	304.67	 45.21	  1.00	  9.08	  5.00
K00114	0	0	0	0	0	0	0	0	0	0	0	0
K00116	 2.14	 9.67	 4.43	 0.00	 0.89	 6.89	 0.00	 2.00	29.21	 1.00	 1.88	 1.00
K00117	 0.14	 1.50	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
K00121	 2.14	 4.50	19.43	 3.00	 0.89	30.39	 0.00	 2.00	34.21	10.00	 9.08	 0.00
K00123	399.39	710.07	228.73	400.66	247.06	764.89	 94.00	179.83	234.17	 76.33	125.62	 77.50
K00124	 54.64	 27.17	 16.43	101.00	  9.89	121.89	  0.50	 16.50	 68.71	  5.50	 19.58	  8.50
K00126	0	0	0	0	0	0	0	0	0	0	0	0
K00127	 47.64	 37.67	 26.43	100.00	 11.39	212.39	  1.00	 23.00	 76.71	 10.00	  6.08	 16.50
K00128	1660.00	1399.57	2205.83	1570.08	1636.58	2864.00	1345.50	2583.92	2823.91	1130.50	1574.55	 732.25
K00129	0	0	0	0	0	0	0	0	0	0	0	0
K00130	 2.14	 2.00	 4.43	 0.00	 0.89	 4.39	 0.00	 2.00	29.21	 1.00	 1.08	 1.00
K00131	 62.97	 59.00	133.06	  8.40	 13.80	 70.10	  4.00	  3.80	200.30	  6.40	  4.00	  3.80
K00132	12	 1	35	 1	 1	 1	 4	 6	 3	 8	 4	 1
K00133	3305.72	4410.57	3983.00	4114.77	3109.52	4100.69	3784.33	4492.96	3887.99	4181.65	2658.33	3105.80
K00134	3497.61	4647.74	4049.43	4251.77	3274.91	4314.50	3875.08	4532.54	3943.78	4240.65	2712.46	3149.30
K00135	 13.39	 35.92	 23.43	  8.75	 18.89	 25.89	  2.25	  6.25	106.71	  1.00	 16.88	  7.25
K00137	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
K00138	 0.14	 0.00	 3.43	 0.00	 0.89	 4.89	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
K00140	 16.0	 13.0	107.0	  3.0	 15.0	 16.5	  6.0	109.0	 11.0	 23.0	 20.0	  3.0
K00141	0	0	0	0	0	0	0	0	0	0	0	0
K00145	3072.81	4320.68	2740.50	3992.77	2951.77	3877.02	3660.58	4491.86	3687.92	4204.98	2548.25	2709.97
K00146	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 0.28	 0.00
K00147	3029.97	4336.50	3889.00	3995.44	3058.44	3960.02	3736.58	4434.36	3839.74	4115.65	2595.58	3054.97
K00148	0	0	0	0	0	0	0	0	0	0	0	0
K00151	 0.14	 0.00	 3.43	 0.00	 0.89	 4.14	 0.00	 0.00	29.21	 0.00	 0.28	 0.00
K00153	2.0	2.0	1.0	0.0	0.0	0.5	0.0	2.0	0.0	1.0	0.0	1.0
K00154	0	0	0	0	0	0	0	0	0	0	0	0
K00156	  5.64	 54.64	175.43	 70.58	  6.22	 14.64	 16.83	 23.92	 52.71	  7.25	  2.08	  8.42
K00158	 75.13	 81.16	167.23	  2.40	 58.80	 62.10	  0.33	 18.57	354.46	  3.07	 18.67	  9.13
K00161	237.46	238.49	248.24	148.39	101.55	108.60	 73.66	118.48	155.79	323.40	 97.17	 47.13
K00162	237.46	163.49	248.24	147.39	 98.55	108.60	 46.66	118.48	155.79	323.40	 97.17	 46.13
K00163	 5.14	14.17	 9.43	 7.00	 1.89	18.89	 0.00	 2.00	35.21	 2.00	 2.08	 1.00
K00164	26.14	28.17	11.43	58.33	 1.89	16.39	 1.33	 5.00	47.21	 5.00	 4.08	10.00
K00166	1.00	0.00	0.00	1.33	0.00	0.00	0.33	0.00	0.00	3.00	0.00	2.00
K00167	1.00	0.00	0.00	1.33	0.00	0.00	0.33	0.00	0.00	3.00	0.00	2.00
K00169	188.5	298.4	964.0	189.0	316.0	908.0	 74.0	990.5	 37.0	147.5	840.5	 73.0
K00170	175.5	455.4	465.0	531.0	418.0	936.0	301.0	 59.5	223.0	104.5	 39.5	161.0
K00171	151.5	228.4	294.0	135.0	284.5	467.0	 70.5	 19.0	  9.0	 97.0	 36.0	 49.0
K00172	 245.5	 653.4	1206.0	 547.0	 622.0	1709.0	 332.0	 916.5	 229.0	 134.5	 831.5	 198.0
K00174	1781.57	2943.25	1488.84	3118.42	1707.91	 519.70	1887.17	1896.57	 846.99	2832.33	 372.83	2288.67
K00175	1781.57	2943.25	1488.84	3118.42	1707.91	 519.70	1887.17	1896.57	 846.99	2832.33	 372.83	2288.67
K00176	 776.95	1663.24	 581.01	1806.54	1058.83	 446.53	 810.50	 899.06	 369.75	1647.58	 212.50	 507.00
K00177	 776.95	1668.24	 641.01	1806.54	1061.83	 450.03	 811.50	1002.06	 369.75	1662.58	 225.50	 510.00
K00179	1542.03	2127.97	1466.02	1892.95	1338.58	2021.16	2333.75	1836.59	1160.50	2173.41	 409.75	2364.42
K00180	1488.03	2130.97	1526.02	1836.95	1316.58	2023.16	2334.75	1938.59	1160.50	2188.41	 421.75	2367.42
K00183	 18.0	 36.0	 24.0	  4.0	 28.5	321.5	  1.5	 25.5	 35.0	 16.5	  1.5	  1.0
K00184	 72.00	101.50	 58.00	 58.33	 76.50	720.50	  4.83	 64.50	 91.50	 44.50	 13.50	  9.50
K00185	 32.00	 64.50	 40.00	  6.33	 31.50	512.50	  3.83	 44.50	 57.00	 27.50	 10.50	  1.00
K00187	0	1	0	0	0	0	0	0	0	0	0	0
K00188	0	1	0	0	0	0	0	0	0	0	0	0
K00194	 256.75	 160.00	 179.00	 379.00	  69.50	1165.75	 250.75	 147.25	1135.25	 191.00	  36.25	  82.50
K00196	1819.41	 253.06	 266.02	 689.32	 103.50	1175.41	 265.75	 283.91	1150.25	 294.66	 102.25	 116.50
K00197	 256.75	 160.00	 179.00	 379.00	  69.50	1169.75	 250.75	 147.25	1135.25	 191.00	  37.25	  82.50
K00198	1339.33	 509.23	1042.51	1026.66	 249.75	2487.33	1273.25	1010.08	2419.00	 509.33	 281.75	1628.25
K00208	 264.76	 426.68	 210.43	 882.21	 322.47	  18.59	 233.83	 524.98	 432.96	1139.75	  33.08	 343.50
K00209	 120.00	 456.00	 209.33	 493.00	 478.00	1158.00	 364.00	 145.00	1248.00	 230.00	  52.00	  93.00
K00210	 196.50	 277.30	 196.00	 558.25	 261.00	   3.75	 201.00	 473.75	 280.50	1045.75	   9.00	 286.25
K00215	3747.55	5500.07	4650.01	4479.43	3333.77	4711.77	4105.58	5481.79	4626.40	4338.48	4008.25	3270.30
K00216	 2.14	 2.00	 4.43	 0.00	 0.89	 4.39	 0.00	 2.00	29.21	 1.00	 1.08	 1.00
K00218	  0	  5	 60	  0	  3	  2	  1	103	  0	 15	 12	  3
K00219	 15.47	 41.33	130.44	 21.66	 11.89	198.22	  2.00	151.33	 56.21	 85.33	 41.08	 10.00
K00220	0	0	0	0	0	0	0	0	0	0	0	0
K00226	 294.08	 473.40	 321.24	 776.69	 350.38	  91.85	 233.33	 524.41	 523.54	1180.15	  46.67	 330.05
K00228	 0.14	16.17	 3.43	 0.00	 0.89	 4.39	 1.00	 0.00	29.21	 0.00	 1.08	 1.00
K00230	 34.14	 22.47	 99.43	 84.00	  5.89	 22.39	  6.00	108.00	 57.21	 20.00	 17.08	 11.00
K00231	 5.37	13.79	 6.00	 8.05	 1.25	15.45	 4.25	17.56	10.25	 2.00	 1.00	18.50
K00232	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
K00239	 299.76	 596.08	 390.43	 790.21	 420.47	 143.59	 507.83	 644.48	 358.29	1176.25	  36.58	 396.50
K00240	 221.76	 531.58	 242.43	 781.21	 328.97	  44.09	 264.33	 515.98	 344.29	1147.75	  16.08	 337.50
K00241	 221.76	 517.18	 205.43	 780.21	 314.97	  32.09	 262.33	 513.98	 343.96	1141.75	  16.08	 335.50
K00242	 2.14	 9.17	 4.43	 0.00	 0.89	 4.39	 1.00	 2.00	29.21	 1.00	 1.08	 2.00
K00243	1909.83	2077.00	1178.07	2553.94	1347.38	2832.30	1828.25	1570.46	2691.28	3628.15	 295.75	 755.30
K00244	 514.97	 256.50	2326.77	 903.66	 345.39	1274.47	 328.00	 329.33	 772.21	1571.33	 187.88	 841.00
K00245	 29.14	 20.17	 16.43	 51.00	  5.39	100.89	  0.50	 12.50	 53.21	  4.50	 10.58	  8.00
K00246	25.14	 9.67	 8.43	50.00	 0.89	 6.39	 0.00	 4.00	43.21	 0.00	10.08	 8.00
K00247	 1.14	 5.67	 6.43	 0.00	 0.89	 4.39	 0.00	 0.00	30.21	 0.00	 1.08	 0.00
K00248	1491.08	2786.00	 493.01	1887.99	2478.08	1000.83	1215.42	1734.00	 853.24	2006.33	 357.08	 387.17
K00249	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0
K00252	0.0	9.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
K00253	0	0	0	0	0	0	0	0	0	0	0	0
