response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
X1CMET2_PWY	3174.110	3891.529	3420.572	3921.677	2824.282	3974.047	3657.084	4303.702	4000.610	4237.681	2609.365	2915.043
X3_HYDROXYPHENYLACETATE_DEGRADATION_PWY	 0.2428551	 0.0000000	 5.6800298	 0.0000000	 1.4550071	 5.7539745	 0.0000000	 0.0000000	37.3031360	 0.0000000	 0.4870472	 0.0000000
AEROBACTINSYN_PWY	0	0	0	0	0	0	0	0	0	0	0	0
ALL_CHORISMATE_PWY	 26.836889	 56.638815	 27.089032	  0.000000	 20.973866	 30.107659	  0.000000	 16.064191	130.634815	 27.469231	 13.393361	  7.447273
ANAEROFRUCAT_PWY	2128.546	2620.381	3124.350	3458.897	1915.089	2160.804	1881.260	4744.539	3098.949	4078.995	2561.320	1959.233
ANAGLYCOLYSIS_PWY	4486.287	5517.034	5212.328	5100.639	4185.185	5344.079	4626.846	6009.859	5225.285	5472.901	3958.959	3648.402
ARG__POLYAMINE_SYN	861.66669	257.16018	428.80142	795.61159	324.40283	 81.72638	904.17299	 98.11179	888.22166	284.62822	 43.24725	224.40856
ARGDEG_PWY	 0.3254804	 0.0000000	 7.3604388	 0.0000000	 1.6734741	 9.5465092	 0.0000000	 0.0000000	53.7929206	 0.0000000	 2.4185627	 0.0000000
ARGORNPROST_PWY	228.28424	506.15794	172.82377	541.99187	101.46161	521.69728	302.89331	164.26021	148.64258	261.07593	 84.13525	135.87726
ARGSYN_PWY	3454.101	4367.876	3502.140	3984.516	3003.366	4187.607	3908.230	4658.203	3869.406	3907.314	2743.075	3206.002
ARGSYNBSUB_PWY	3506.302	4484.196	3463.262	4017.145	3073.922	4345.224	3999.781	4720.388	3967.212	3904.636	2845.336	3177.628
ARO_PWY	3805.704	5073.328	4375.689	4722.395	3572.331	5064.404	4383.164	4896.633	4630.958	4807.779	2929.397	3401.677
ASPASN_PWY	3380.365	3401.383	3154.717	3502.416	2455.591	3053.038	3247.135	4285.913	3553.706	4159.817	1097.683	2766.687
AST_PWY	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
BIOTIN_BIOSYNTHESIS_PWY	 676.62454	 627.48146	  77.96490	1588.90939	 480.32663	  29.41727	 577.63620	 850.80842	 859.32275	2267.08179	  38.23970	 791.80284
BRANCHED_CHAIN_AA_SYN_PWY	4097.147	5265.838	4755.108	4802.815	3669.816	4869.341	4289.353	5491.505	4501.016	5014.622	3267.812	3509.324
CALVIN_PWY	3888.260	5240.201	4847.443	5167.415	4069.577	5858.823	4554.804	4846.073	5367.833	5480.240	3195.569	3678.447
CATECHOL_ORTHO_CLEAVAGE_PWY	0	0	0	0	0	0	0	0	0	0	0	0
CENTFERM_PWY	 26.36632	 79.12004	 80.02842	 40.08695	 86.79937	 38.91744	 17.15916	 28.67766	180.26608	150.16373	 55.70142	 36.83594
COA_PWY	3276.377	4255.144	3951.640	4098.343	2987.365	4130.188	3721.267	4451.097	3880.689	4143.165	2639.437	3096.425
COBALSYN_PWY	2848.7013	3550.7228	3638.1851	3721.0669	2313.9068	3243.1767	3453.6726	2474.8288	2871.1973	3986.5019	 811.1104	3008.6019
CODH_PWY	39.763039	 7.992502	 3.998025	98.756921	 0.000000	55.623391	 0.000000	 5.996090	25.236749	 0.000000	 3.997010	15.958638
COLANSYN_PWY	1013.7418	1420.5838	1052.5552	2150.1484	 863.3154	 169.2843	 947.2867	1498.4425	 985.3809	1387.7480	 157.2184	1015.5819
COMPLETE_ARO_PWY	4016.196	5269.001	4583.504	4930.616	3715.872	5259.839	4589.782	5071.272	4838.906	5046.413	3087.077	3564.425
CRNFORCAT_PWY	0	0	0	0	0	0	0	0	0	0	0	0
DAPLYSINESYN_PWY	3509.000	4699.493	4020.151	4032.388	3138.118	4607.226	4007.168	5222.741	4466.657	4382.377	3276.047	3077.405
DENITRIFICATION_PWY	0	0	0	0	0	0	0	0	0	0	0	0
DENOVOPURINE2_PWY	1728.8333	1759.9661	1676.4521	2441.7163	2091.3933	1694.1114	1170.6780	 949.2978	2285.3348	2285.0816	2161.1783	1278.1724
DTDPRHAMSYN_PWY	3115.090	4275.044	4752.987	4222.067	3104.721	3803.461	3634.400	5212.252	3779.434	4357.910	3112.882	3179.404
ECASYN_PWY	 0.3414938	13.4441329	 7.3096139	 0.0000000	 2.0848252	 9.5212827	 0.0000000	 0.0000000	54.7947528	 0.0000000	 2.0473758	 0.0000000
ENTBACSYN_PWY	 11.319886	 11.213584	 23.310355	  0.000000	  4.716725	 22.864091	  0.000000	 10.590315	141.598294	  5.298027	  5.634708	  5.317232
FAO_PWY	 20.141523	 37.727523	 40.570644	 21.184111	 56.052417	 18.173319	  9.632467	 21.360562	 95.322164	106.760127	 31.317385	 24.483151
FASYN_ELONG_PWY	1086.83003	1399.79464	 750.95025	2701.55429	1045.60542	  73.62255	1072.85852	1556.92659	1677.21061	3426.27440	 128.44826	1693.65574
FASYN_INITIAL_PWY	 745.26824	 457.53030	  30.96090	1975.73176	 339.82718	  16.93947	 724.71593	 545.61427	1165.10025	2559.20286	  29.54530	1222.48755
FERMENTATION_PWY	2018.169	2271.264	1249.519	2849.538	1549.394	1087.144	1424.002	2482.419	1795.017	2822.861	 109.676	1688.197
FOLSYN_PWY	2871.7090	2980.2490	2125.5581	3294.5212	2149.6810	3400.1017	2608.5515	2603.6704	3491.4515	3554.0399	 656.2473	2018.5382
FUC_RHAMCAT_PWY	432.7618	547.1642	659.1998	849.4530	320.6230	151.9535	422.7928	832.8818	927.8622	845.5172	169.8335	217.1623
FUCCAT_PWY	 279.0478	 442.6237	 473.3258	 628.7742	 259.0208	1270.3685	 399.7436	 790.7622	1427.4609	 483.8726	 179.0602	 124.8594
GALACT_GLUCUROCAT_PWY	 732.0624	 811.5608	 982.5208	1444.0932	 710.9260	1633.2698	1222.7562	 902.8451	1860.6308	2928.2756	 232.0257	 392.2909
GALACTARDEG_PWY	 84.368367	  9.588364	 39.337621	  1.980898	 34.371286	 17.549585	  5.617927	 63.104151	 43.283416	175.335491	 41.069829	 25.805628
GALACTUROCAT_PWY	1038.4495	1238.4698	1367.5508	1930.0508	 921.3572	1914.0106	1476.7059	1799.7410	2287.8101	3399.6678	 335.7653	 750.2660
GALLATE_DEGRADATION_I_PWY	0	0	0	0	0	0	0	0	0	0	0	0
GALLATE_DEGRADATION_II_PWY	0	0	0	0	0	0	0	0	0	0	0	0
GLCMANNANAUT_PWY	2105.5511	1538.7803	2156.1902	1764.8328	1212.6158	2362.4233	1466.6433	2435.5952	2704.3277	1432.1668	 791.5261	 672.9646
GLUCARDEG_PWY	 93.671266	 13.206263	130.205880	  5.831307	 34.371286	 18.307828	 13.543723	 49.680139	 50.519207	141.672473	 42.645531	 18.996915
GLUCARGALACTSUPER_PWY	 84.368367	  9.588364	 39.337621	  1.980898	 34.371286	 17.549585	  5.617927	 63.104151	 43.283416	175.335491	 41.069829	 25.805628
GLUCONEO_PWY	2541.3238	3893.8885	2636.6223	4092.7422	2809.2871	1591.1970	2907.0282	3813.9881	3430.3783	4552.4284	 481.8478	2705.6393
GLUCOSE1PMETAB_PWY	 8.2706614	24.2808920	16.8283765	 6.6553209	 3.7778038	36.6515298	 0.6599498	 0.0000000	70.6002414	 7.9936640	 4.1568534	 0.6599462
GLUCUROCAT_PWY	 735.7363	 809.5765	1021.8348	1451.4566	 792.0422	1783.7868	1298.9500	 809.9872	1956.2752	3102.7365	 251.4430	 351.2292
GLUTORN_PWY	3015.812	4172.622	2637.146	3676.034	2833.073	3893.592	3564.281	4233.085	3567.607	3657.969	2546.236	2557.367
GLYCOCAT_PWY	4439.965	5430.373	5033.283	5440.174	3752.877	5203.371	4726.137	5230.995	5390.744	6075.094	2553.807	3092.551
GLYCOGENSYNTH_PWY	4391.432	5424.031	5022.039	4869.344	3687.519	5170.929	5042.415	5329.153	5215.662	5260.299	3054.087	3826.139
