response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
k_Bacteria__p_Actinobacteria__c_Actinobacteria	1.18	0.38	3.68	0.38	7.00	0.90	0.04
k_Bacteria__p_Bacteroidetes__c_Bacteroidia	11.18	 4.10	24.58	12.98	 6.68	36.34	 0.34
k_Bacteria__p_Bacteroidetes__c_unassigned	0.18	0.02	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli	 6.18	12.94	 0.40	27.62	14.70	 0.20	 1.50
k_Bacteria__p_Firmicutes__c_Clostridia	61.00	66.52	63.64	41.52	51.62	62.36	16.28
k_Bacteria__p_Firmicutes__c_Erysipelotrichia	 9.26	11.10	 1.66	16.92	14.24	 0.00	81.46
k_Bacteria__p_Firmicutes__c_Negativicutes	0.76	0.00	2.00	0.24	2.10	0.00	0.06
k_Bacteria__p_Firmicutes__c_unassigned	0.04	0.04	0.02	0.00	0.00	0.02	0.00
k_Bacteria__p_Fusobacteria__c_Fusobacteria	0	0	0	0	0	0	0
k_Bacteria__p_Lentisphaerae__c_Lentisphaeria	0.02	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Alphaproteobacteria	0.68	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Proteobacteria__c_Betaproteobacteria	0.22	0.04	1.12	0.06	0.24	0.00	0.04
k_Bacteria__p_Proteobacteria__c_Deltaproteobacteria	0.00	0.00	0.00	0.02	0.02	0.00	0.14
k_Bacteria__p_Proteobacteria__c_Epsilonproteobacteria	0	0	0	0	0	0	0
k_Bacteria__p_Proteobacteria__c_Gammaproteobacteria	0.00	0.48	0.00	0.00	3.26	0.00	0.12
k_Bacteria__p_Proteobacteria__c_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Spirochaetes__c_Spirochaetes	0	0	0	0	0	0	0
k_Bacteria__p_Synergistetes__c_Synergistia	0.04	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_TM7__c_Incertae_sedis	0	0	0	0	0	0	0
k_Bacteria__p_Verrucomicrobia__c_Verrucomicrobiae	0.00	0.00	0.08	0.00	0.00	0.18	0.00
k_Bacteria__p_unassigned__c_unassigned	9.26	4.38	2.82	0.26	0.14	0.00	0.02
