response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Actinomycetaceae	0.10	0.04	0.04	0.00	0.10	0.02	0.02
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Corynebacteriaceae	0.02	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Micrococcaceae	0.04	0.02	0.00	0.04	0.00	0.02	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Propionibacteriaceae	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Bifidobacteriales__f_Bifidobacteriaceae	0.00	0.00	0.00	0.00	0.04	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae	1.02	0.32	3.64	0.34	6.86	0.86	0.02
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_unassigned__f_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Bacteroidaceae	 7.52	 3.46	18.24	11.14	 5.96	33.20	 0.26
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae	2.02	0.64	0.88	0.90	0.32	0.02	0.02
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Prevotellaceae	0.00	0.00	0.00	0.88	0.02	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Rikenellaceae	1.64	0.00	5.46	0.06	0.38	3.12	0.06
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Bacteroidetes__c_unassigned__o_unassigned__f_unassigned	0.18	0.02	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillaceae_1	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillaceae_2	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillales_Incertae_Sedis_XI	0.02	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Bacillales_Incertae_Sedis_XII	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Listeriaceae	0.00	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Paenibacillaceae_1	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Planococcaceae	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Staphylococcaceae	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_Thermoactinomycetaceae_1	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Bacilli__o_Bacillales__f_unassigned	0.00	0.00	0.18	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Bacilli__o_Lactobacillales__f_Carnobacteriaceae	0.06	0.06	0.00	0.06	0.00	0.00	0.14
