response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Actinomycetaceae__g_Actinomyces	0.10	0.04	0.04	0.00	0.10	0.02	0.02
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Actinomycetaceae__g_Mobiluncus	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Actinomycetaceae__g_Varibaculum	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Corynebacteriaceae__g_Corynebacterium	0.02	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Micrococcaceae__g_Rothia	0.04	0.02	0.00	0.04	0.00	0.02	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Propionibacteriaceae__g_Propionibacterium	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_Propionibacteriaceae__g_Tessaracoccus	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Actinomycetales__f_unassigned__g_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Bifidobacteriales__f_Bifidobacteriaceae__g_Bifidobacterium	0.00	0.00	0.00	0.00	0.04	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Adlercreutzia	0.00	0.00	0.04	0.00	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Atopobium	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Collinsella	0.28	0.00	3.50	0.00	6.36	0.64	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Cryptobacterium	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Denitrobacterium	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Eggerthella	0.42	0.32	0.00	0.34	0.40	0.18	0.02
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Enterorhabdus	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Gordonibacter	0.06	0.00	0.00	0.00	0.00	0.04	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Incertae_sedis	0.00	0.00	0.02	0.00	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Olsenella	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Paraeggerthella	0	0	0	0	0	0	0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_Slackia	0.0	0.0	0.0	0.0	0.1	0.0	0.0
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_Coriobacteriales__f_Coriobacteriaceae__g_unassigned	0.26	0.00	0.08	0.00	0.00	0.00	0.00
k_Bacteria__p_Actinobacteria__c_Actinobacteria__o_unassigned__f_unassigned__g_unassigned	0	0	0	0	0	0	0
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Bacteroidaceae__g_Acetomicrobium	0.06	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Bacteroidaceae__g_Bacteroides	 7.46	 3.46	18.24	11.14	 5.96	33.20	 0.26
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Barnesiella	0.54	0.00	0.18	0.00	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Butyricimonas	0.08	0.00	0.14	0.06	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Dysgonomonas	0.00	0.64	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Odoribacter	0.22	0.00	0.08	0.04	0.00	0.00	0.00
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Paludibacter	0	0	0	0	0	0	0
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Parabacteroides	1.18	0.00	0.48	0.80	0.32	0.02	0.02
k_Bacteria__p_Bacteroidetes__c_Bacteroidia__o_Bacteroidales__f_Porphyromonadaceae__g_Porphyromonas	0	0	0	0	0	0	0
