response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
Cellular_Processes__Cell_Growth_and_Death__Apoptosis	0.0016789529	0.0040500709	0.0021249866	0.0001606098	0.0030704370	0.0008810252	0.0002741834
Cellular_Processes__Cell_Growth_and_Death__Cell_cycle_Caulobacter	0.4880923	0.4869342	0.4994642	0.4806133	0.4970876	0.5321624	0.4487926
Cellular_Processes__Cell_Growth_and_Death__Meiosis_yeast	1.839948e-04	6.942979e-05	6.929304e-04	1.147213e-04	9.234397e-05	1.854790e-04	6.854586e-05
Cellular_Processes__Cell_Motility__Bacterial_chemotaxis	0.4839984	0.3356699	0.5047074	0.4073064	0.4830051	0.2764332	0.1387597
Cellular_Processes__Cell_Motility__Bacterial_motility_proteins	0.8860502	0.5778641	0.9569831	0.7437150	0.8498185	0.2935437	0.3143056
Cellular_Processes__Cell_Motility__Cytoskeleton_proteins	0.4263390	0.4380557	0.4119702	0.4390153	0.3970329	0.4173509	0.3243819
Cellular_Processes__Cell_Motility__Flagellar_assembly	0.35736398	0.21122856	0.40353958	0.28707849	0.35000673	0.09433925	0.05842392
Cellular_Processes__Transport_and_Catabolism__Lysosome	0.06911306	0.09740999	0.11571938	0.08294347	0.06676469	0.10161930	0.11926979
Cellular_Processes__Transport_and_Catabolism__Peroxisome	0.13597219	0.11694290	0.16018242	0.11504248	0.11921606	0.15985970	0.06598681
Environmental_Information_Processing__Membrane_Transport__ABC_transporters	3.442566	3.670452	3.524198	3.382763	3.698907	3.517957	2.978363
Environmental_Information_Processing__Membrane_Transport__Bacterial_secretion_system	0.4964641	0.5425706	0.5093501	0.5153050	0.4842056	0.4940697	0.3719527
Environmental_Information_Processing__Membrane_Transport__Phosphotransferase_system_PTS	0.7026533	0.7665048	0.4910567	1.0047518	0.8380215	0.5640648	1.8967096
Environmental_Information_Processing__Membrane_Transport__Secretion_system	1.0787158	1.0285097	1.0726794	1.0791370	1.0694355	0.8664187	0.8524363
Environmental_Information_Processing__Membrane_Transport__Transporters	7.491718	8.297276	7.479653	7.499283	7.858749	7.205441	7.489755
Environmental_Information_Processing__Signal_Transduction__MAPK_signaling_pathway_yeast	0.04588371	0.04716597	0.04668041	0.03817924	0.04072369	0.05432216	0.08152387
Environmental_Information_Processing__Signal_Transduction__Phosphatidylinositol_signaling_system	0.07343694	0.08736582	0.08070330	0.08966614	0.07888484	0.10449423	0.09413631
Environmental_Information_Processing__Signal_Transduction__Two_component_system	1.3537420	1.3269652	1.4241799	1.2829738	1.4020123	1.1196903	0.9767328
Environmental_Information_Processing__Signaling_Molecules_and_Interaction__Bacterial_toxins	0.1358572	0.1534167	0.1252587	0.1643726	0.1390700	0.1210714	0.3259813
Environmental_Information_Processing__Signaling_Molecules_and_Interaction__Cellular_antigens	0.011223685	0.014580255	0.025522937	0.033636274	0.008541817	0.020773647	0.005095242
Environmental_Information_Processing__Signaling_Molecules_and_Interaction__G_protein_coupled_receptors	0	0	0	0	0	0	0
Environmental_Information_Processing__Signaling_Molecules_and_Interaction__Ion_channels	0.012074661	0.011363342	0.005797518	0.016221586	0.017152892	0.003477731	0.001827890
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Chaperones_and_folding_catalysts	0.9276790	0.9169823	0.9588540	0.9304583	0.9427396	0.9820185	0.8435025
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Proteasome	0.03967389	0.04112558	0.04194539	0.04861887	0.03901533	0.04182551	0.04775362
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Protein_export	0.5642892	0.5721477	0.5718524	0.5880382	0.5692082	0.5845370	0.5464476
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Protein_processing_in_endoplasmic_reticulum	0.04811465	0.05410895	0.06201727	0.05552509	0.04497151	0.05919098	0.04933017
Genetic_Information_Processing__Folding_Sorting_and_Degradation__RNA_degradation	0.4308239	0.4269469	0.4467322	0.4379369	0.4339012	0.4316792	0.4975744
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Sulfur_relay_system	0.2664935	0.2399493	0.2504943	0.2603025	0.2766394	0.2996645	0.1795673
Genetic_Information_Processing__Folding_Sorting_and_Degradation__Ubiquitin_system	0.0012649645	0.0008563007	0.0039497034	0.0023173695	0.0015929335	0.0041037226	0.0002284862
Genetic_Information_Processing__Replication_and_Repair__Base_excision_repair	0.4422316	0.4517333	0.4301019	0.4864870	0.4441514	0.4289433	0.4971860
Genetic_Information_Processing__Replication_and_Repair__Chromosome	1.558344	1.544165	1.539992	1.584989	1.545815	1.491831	1.430072
Genetic_Information_Processing__Replication_and_Repair__DNA_repair_and_recombination_proteins	2.785797	2.834170	2.763407	2.843045	2.731465	2.780307	2.858248
Genetic_Information_Processing__Replication_and_Repair__DNA_replication	0.6330113	0.6421330	0.6265708	0.6817426	0.6224676	0.6621600	0.7341718
Genetic_Information_Processing__Replication_and_Repair__DNA_replication_proteins	1.203119	1.267927	1.195952	1.246424	1.168428	1.243358	1.243422
Genetic_Information_Processing__Replication_and_Repair__Homologous_recombination	0.9290819	0.9132794	0.9122429	0.9350471	0.8997766	0.8922930	0.9608530
Genetic_Information_Processing__Replication_and_Repair__Mismatch_repair	0.8175581	0.7989517	0.7959230	0.8378323	0.7971131	0.8400807	0.8144162
Genetic_Information_Processing__Replication_and_Repair__Non_homologous_end_joining	0.003978888	0.007428987	0.002309768	0.004015244	0.001939223	0.002759000	0.002102073
Genetic_Information_Processing__Replication_and_Repair__Nucleotide_excision_repair	0.3800643	0.3663347	0.3860777	0.3835132	0.3863903	0.4066627	0.3719070
Genetic_Information_Processing__Transcription__Basal_transcription_factors	0.000000e+00	1.110877e-03	6.467351e-04	1.009547e-03	0.000000e+00	6.955462e-05	2.284862e-05
