response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
EC__1__1__1__1	5335.89	6210.86	4967.50	3989.31	5350.33	3106.72	3743.53
EC__1__1__1__100	11595.57	11147.74	13164.26	10923.02	12102.65	12628.46	 6068.35
EC__1__1__1__103	 40.95	 93.43	 58.08	 81.25	 66.71	178.00	 33.08
EC__1__1__1__105	0	0	0	0	0	0	0
EC__1__1__1__108	  4	 16	  0	 46	  0	158	 22
EC__1__1__1__11	0	0	0	0	0	0	0
EC__1__1__1__122	 0.00	 1.00	 0.00	 0.00	14.25	 0.00	 0.00
EC__1__1__1__125	164.05	372.48	379.30	307.65	 69.21	433.65	206.88
EC__1__1__1__130	20.33	78.45	 7.32	20.66	40.96	91.66	42.28
EC__1__1__1__132	0.8	0.0	0.0	0.0	0.0	0.0	0.0
EC__1__1__1__133	4506.72	5649.92	4382.47	6608.37	3663.46	4627.81	4632.97
EC__1__1__1__136	 29.5	 84.0	132.0	 79.5	 60.0	 42.5	 54.5
EC__1__1__1__137	  9.49	 17.50	  0.00	  9.10	  7.66	  0.67	707.50
EC__1__1__1__14	3017.79	3458.04	2982.14	2489.82	3905.25	3953.57	1596.50
EC__1__1__1__140	890.50	132.43	344.00	 15.58	422.46	118.00	120.58
EC__1__1__1__157	3294.23	1349.95	3236.15	2212.33	1677.29	2597.66	1178.78
EC__1__1__1__159	277.40	244.43	162.50	574.00	591.96	513.00	821.78
EC__1__1__1__169	2616.23	2288.69	3809.68	3912.55	2766.09	2697.81	1270.38
EC__1__1__1__17	934.00	503.43	513.00	153.58	573.21	198.00	360.58
EC__1__1__1__179	  5	 60	  0	103	  0	 15	 12
EC__1__1__1__18	 896.75	1106.00	 725.25	1133.25	 284.50	 787.50	 219.00
EC__1__1__1__193	2548.41	1471.94	2965.37	1198.56	2306.03	3104.08	 343.66
EC__1__1__1__2	  5	 60	  0	103	  0	 15	 12
EC__1__1__1__202	 5.33	16.01	 2.66	 6.33	 4.00	37.33	17.00
EC__1__1__1__205	4481.82	4201.01	4189.60	4839.29	3912.65	4283.98	2722.33
EC__1__1__1__206	0	0	0	0	0	2	0
EC__1__1__1__215	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__1__1__219	 72	 82	298	124	  9	 31	 23
EC__1__1__1__22	2749.64	4028.77	3777.62	3964.70	2482.54	4744.58	2705.83
EC__1__1__1__23	4306.08	3938.77	4042.87	4681.06	3621.62	4136.58	2648.25
EC__1__1__1__25	5604.87	4873.33	5297.77	5274.13	5818.99	5292.65	2893.33
EC__1__1__1__251	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
EC__1__1__1__26	 12.33	 82.01	  4.66	113.33	  8.00	 57.33	 33.00
EC__1__1__1__261	 456.5	 518.0	 877.5	 251.0	1338.0	 266.0	 139.0
EC__1__1__1__262	 502.67	 453.46	 961.19	 678.97	 468.96	1839.74	  90.88
EC__1__1__1__264	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
EC__1__1__1__267	4324.41	3845.77	4112.37	4475.06	3675.53	4178.58	2641.66
EC__1__1__1__27	3659.32	3634.80	3480.46	5280.45	3927.81	3084.97	4026.05
EC__1__1__1__271	 648.96	1371.44	1477.67	 845.65	 707.71	2844.33	  99.08
EC__1__1__1__28	1632.68	2006.19	1949.96	2794.51	2430.42	1838.75	2959.66
EC__1__1__1__281	19	41	 5	 6	 4	31	19
EC__1__1__1__282	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
