response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
K00001	 429.44	 442.33	 936.88	 831.18	 326.24	1171.92	 805.67
K00002	  5	 60	  0	103	  0	 15	 12
K00003	4483.69	4269.57	3970.39	4911.23	5102.03	3844.90	2799.75
K00004	22.83	20.00	 7.00	 9.67	 3.66	 3.67	 7.67
K00005	1404.02	 899.79	1521.98	2249.41	2382.12	1237.66	1104.50
K00007	0	0	0	0	0	0	0
K00008	3017.79	3458.04	2982.14	2489.82	3905.25	3953.57	1596.50
K00009	934.00	503.43	513.00	153.58	573.21	198.00	360.58
K00010	 896.75	1106.00	 725.25	1133.25	 284.50	 787.50	 219.00
K00012	2749.64	4028.77	3777.62	3964.70	2482.54	4744.58	2705.83
K00013	4306.08	3938.77	4042.87	4681.06	3621.62	4136.58	2648.25
K00014	5604.87	4873.33	5297.77	5274.13	5818.99	5292.65	2893.33
K00015	 12.33	 82.01	  4.66	113.33	  8.00	 57.33	 33.00
K00016	3659.32	3634.80	3480.46	5280.45	3927.81	3084.97	4026.05
K00018	2519.18	3354.39	2740.96	4299.03	2400.00	4332.23	 783.50
K00019	 8	18	 5	 4	 3	30	 6
K00020	 449.73	2194.01	 412.16	1765.16	1351.00	 594.83	2274.00
K00021	0	0	0	0	0	0	0
K00023	0	0	0	0	0	0	0
K00024	 903.52	 388.43	1502.76	1021.99	 651.71	2258.00	  28.58
K00025	0	0	0	0	0	0	0
K00027	3821.55	3391.52	3165.38	3285.31	3299.41	3319.06	1448.16
K00029	 441.68	 209.43	 881.21	 516.98	 361.96	1139.75	  19.08
K00030	 618.50	 778.33	 427.50	2225.75	 899.25	  32.50	2054.25
K00031	3037.91	3154.17	3082.19	2336.94	2841.17	4068.98	 587.25
K00033	 425.67	 584.94	 695.04	 733.61	 471.44	1124.75	 188.08
K00034	 46.99	159.03	  9.98	182.49	 28.00	301.49	 94.50
K00036	 407.17	 441.94	 599.04	 681.61	 424.45	1114.75	 100.75
K00039	0	0	0	0	0	0	0
K00040	 392.33	 552.77	 833.66	 352.33	1306.21	1991.33	 119.08
K00041	 632.67	 742.78	1273.87	1065.97	1577.96	2239.41	 153.08
K00042	 460.66	2229.88	 369.32	1812.66	1247.42	 774.66	2276.86
K00045	 8.3	 0.0	41.5	 4.5	13.0	 1.0	 1.0
K00046	2207.31	1115.46	2330.69	1718.63	2141.71	4005.07	1078.78
K00048	2312.20	2636.27	2331.58	3599.08	3307.04	3423.08	2290.78
K00050	  30.50	1025.33	 162.00	  90.00	  24.00	  90.00	  59.00
K00052	4368.90	4001.01	4048.43	4629.96	3741.75	4391.98	2674.25
K00053	4723.57	3866.00	3996.77	4482.63	3736.41	4167.65	2616.25
K00054	 88.16	145.23	  2.40	 41.90	212.46	 82.07	 27.67
K00055	 6.33	31.01	 3.66	 8.33	 8.00	37.33	18.00
K00057	4314.07	4071.33	4176.77	4593.96	4069.32	4235.65	2706.33
K00058	6226.96	6668.89	6472.56	7390.51	5809.33	7704.96	4213.16
K00059	11595.57	11147.74	13164.26	10923.02	12102.65	12628.46	 6068.35
K00060	 40.95	 93.43	 58.08	 81.25	 66.71	178.00	 33.08
K00064	 0.00	 1.00	 0.00	 0.00	14.25	 0.00	 0.00
K00065	164.05	372.48	379.30	307.65	 69.21	433.65	206.88
K00066	0.8	0.0	0.0	0.0	0.0	0.0	0.0
K00067	4506.72	5649.92	4382.47	6608.37	3663.46	4627.81	4632.97
K00068	890.50	132.43	344.00	 15.58	422.46	118.00	120.58
K00073	 12.33	 95.44	  5.66	113.33	 37.96	 62.33	 37.28
K00074	3294.23	1349.95	3236.15	2212.33	1677.29	2597.66	1178.78
K00075	4441.57	4113.00	4292.94	5952.46	4096.81	4215.15	3413.66
K00076	277.40	244.43	162.50	574.00	591.96	513.00	821.78
K00077	2616.23	2288.69	3809.68	3912.55	2766.09	2697.81	1270.38
K00078	  5	 60	  0	103	  0	 15	 12
K00082	12.5	 0.0	75.5	 0.0	 0.0	65.0	 0.0
K00086	 5.33	16.01	 2.66	 6.33	 4.00	37.33	17.00
K00087	344.52	691.47	172.64	858.32	 80.96	564.32	263.28
K00088	4481.82	4201.01	4189.60	4839.29	3912.65	4283.98	2722.33
K00090	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00091	 72	 82	298	124	  9	 31	 23
K00094	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
K00096	 456.5	 518.0	 877.5	 251.0	1338.0	 266.0	 139.0
K00097	 502.67	 453.46	 961.19	 678.97	 468.96	1839.74	  90.88
K00098	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
K00099	4324.41	3845.77	4112.37	4475.06	3675.53	4178.58	2641.66
K00100	5051.48	2712.69	4614.61	4455.55	3980.90	5734.74	2751.83
K00101	10.67	 4.43	 0.00	 2.00	29.21	 1.00	 2.08
K00102	  7.0	  0.0	 87.5	  1.0	160.0	 16.0	  2.0
K00104	1117.93	 135.27	 463.99	  56.08	 557.21	 159.33	 172.03
K00105	 2.50	32.00	 0.00	 9.50	 5.33	 1.00	 6.67
K00108	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00111	2582.90	3161.89	2540.89	3691.83	2482.75	2628.99	2044.66
K00112	 17.34	  8.43	 10.33	304.67	 45.21	  1.00	  9.08
K00113	 17.34	  8.43	 10.33	304.67	 45.21	  1.00	  9.08
K00114	0	0	0	0	0	0	0
K00116	 9.67	 4.43	 0.00	 2.00	29.21	 1.00	 1.88
K00117	 1.50	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00121	 4.50	19.43	 3.00	 2.00	34.21	10.00	 9.08
K00123	710.07	228.73	400.66	179.83	234.17	 76.33	125.62
K00124	 27.17	 16.43	101.00	 16.50	 68.71	  5.50	 19.58
K00126	0	0	0	0	0	0	0
K00127	 37.67	 26.43	100.00	 23.00	 76.71	 10.00	  6.08
K00128	1399.57	2205.83	1570.08	2583.92	2823.91	1130.50	1574.55
K00129	0	0	0	0	0	0	0
K00130	 2.00	 4.43	 0.00	 2.00	29.21	 1.00	 1.08
K00131	 59.00	133.06	  8.40	  3.80	200.30	  6.40	  4.00
K00132	 1	35	 1	 6	 3	 8	 4
K00133	4410.57	3983.00	4114.77	4492.96	3887.99	4181.65	2658.33
K00134	4647.74	4049.43	4251.77	4532.54	3943.78	4240.65	2712.46
K00135	 35.92	 23.43	  8.75	  6.25	106.71	  1.00	 16.88
K00137	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00138	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
K00140	 13	107	  3	109	 11	 23	 20
K00141	0	0	0	0	0	0	0
K00145	4320.68	2740.50	3992.77	4491.86	3687.92	4204.98	2548.25
K00146	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
K00147	4336.50	3889.00	3995.44	4434.36	3839.74	4115.65	2595.58
K00148	0	0	0	0	0	0	0
K00151	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 0.28
K00153	2	1	0	2	0	1	0
K00154	0	0	0	0	0	0	0
K00156	 54.64	175.43	 70.58	 23.92	 52.71	  7.25	  2.08
