response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
X1CMET2_PWY	3891.529	3420.572	3921.677	4303.702	4000.610	4237.681	2609.365
X3_HYDROXYPHENYLACETATE_DEGRADATION_PWY	 0.0000000	 5.6800298	 0.0000000	 0.0000000	37.3031360	 0.0000000	 0.4870472
AEROBACTINSYN_PWY	0	0	0	0	0	0	0
ALL_CHORISMATE_PWY	 56.63881	 27.08903	  0.00000	 16.06419	130.63481	 27.46923	 13.39336
ANAEROFRUCAT_PWY	2620.381	3124.350	3458.897	4744.539	3098.949	4078.995	2561.320
ANAGLYCOLYSIS_PWY	5517.034	5212.328	5100.639	6009.859	5225.285	5472.901	3958.959
ARG__POLYAMINE_SYN	257.16018	428.80142	795.61159	 98.11179	888.22166	284.62822	 43.24725
ARGDEG_PWY	 0.000000	 7.360439	 0.000000	 0.000000	53.792921	 0.000000	 2.418563
ARGORNPROST_PWY	506.15794	172.82377	541.99187	164.26021	148.64258	261.07593	 84.13525
ARGSYN_PWY	4367.876	3502.140	3984.516	4658.203	3869.406	3907.314	2743.075
ARGSYNBSUB_PWY	4484.196	3463.262	4017.145	4720.388	3967.212	3904.636	2845.336
ARO_PWY	5073.328	4375.689	4722.395	4896.633	4630.958	4807.779	2929.397
ASPASN_PWY	3401.383	3154.717	3502.416	4285.913	3553.706	4159.817	1097.683
AST_PWY	 0.00	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
BIOTIN_BIOSYNTHESIS_PWY	 627.4815	  77.9649	1588.9094	 850.8084	 859.3228	2267.0818	  38.2397
BRANCHED_CHAIN_AA_SYN_PWY	5265.838	4755.108	4802.815	5491.505	4501.016	5014.622	3267.812
CALVIN_PWY	5240.201	4847.443	5167.415	4846.073	5367.833	5480.240	3195.569
CATECHOL_ORTHO_CLEAVAGE_PWY	0	0	0	0	0	0	0
CENTFERM_PWY	 79.12004	 80.02842	 40.08695	 28.67766	180.26608	150.16373	 55.70142
COA_PWY	4255.144	3951.640	4098.343	4451.097	3880.689	4143.165	2639.437
COBALSYN_PWY	3550.7228	3638.1851	3721.0669	2474.8288	2871.1973	3986.5019	 811.1104
CODH_PWY	 7.992502	 3.998025	98.756921	 5.996090	25.236749	 0.000000	 3.997010
COLANSYN_PWY	1420.5838	1052.5552	2150.1484	1498.4425	 985.3809	1387.7480	 157.2184
