response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
Acidaminococcus_intestini	0	0	0	0	0	0	0
Actinomyces_odontolyticus	0.08	0.00	0.02	0.00	0.04	0.00	0.00
Actinomyces_oris	0.02	0.00	0.00	0.00	0.00	0.00	0.00
Adlercreutzia_equolifaciens	0.00	0.00	0.04	0.00	0.00	0.00	0.00
Akkermansia_muciniphila	0.00	0.00	0.08	0.00	0.00	0.18	0.00
Alistipes_finegoldii	0.42	0.00	1.74	0.00	0.34	0.52	0.04
Alistipes_massiliensis	0	0	0	0	0	0	0
Alistipes_onderdonkii	0.44	0.00	3.00	0.00	0.00	2.60	0.00
Alistipes_shahii	0.52	0.00	0.64	0.04	0.00	0.00	0.02
Anaerofustis_stercorihominis	0.04	0.00	0.00	0.00	0.00	0.00	0.00
Anaerosporobacter_mobilis	0.78	0.30	0.12	0.00	0.00	0.00	0.00
Anaerostipes_caccae	0.02	0.52	0.04	0.02	0.00	0.40	0.00
Anaerotruncus_colihominis	0.14	0.24	0.00	0.02	0.00	0.08	0.10
Anaerovorax_odorimutans	0	0	0	0	0	0	0
Azospirillum_palatum	0.68	0.00	0.00	0.00	0.00	0.00	0.00
Bacteroides_barnesiae	0.56	0.00	0.00	0.00	0.00	0.00	0.00
Bacteroides_caccae	0.02	0.00	0.08	0.00	0.00	0.00	0.00
Bacteroides_cellulosilyticus	0.70	0.00	0.00	0.04	0.00	0.00	0.00
Bacteroides_clarus	0	0	0	0	0	0	0
Bacteroides_dorei	0.26	0.00	0.00	0.60	4.84	0.02	0.00
Bacteroides_eggerthii	0.22	0.00	0.00	0.00	0.00	0.00	0.00
Bacteroides_finegoldii	0	0	0	0	0	0	0
Bacteroides_fragilis	0.02	0.00	0.18	0.00	0.08	0.00	0.00
Bacteroides_intestinalis	0.04	0.00	1.10	0.00	0.00	0.00	0.00
Bacteroides_massiliensis	0.02	0.00	0.00	0.00	0.00	0.00	0.04
Bacteroides_nordii	0.02	0.00	0.04	0.00	0.00	0.00	0.00
Bacteroides_ovatus	0.14	0.00	0.22	0.18	0.20	0.00	0.00
Bacteroides_plebeius	0	0	0	0	0	0	0
Bacteroides_salyersiae	0.00	0.00	0.00	0.02	0.00	0.00	0.00
Bacteroides_stercoris	0.00	0.00	0.00	5.88	0.18	0.00	0.02
Bacteroides_thetaiotaomicron	0.28	3.30	0.04	0.00	0.00	0.00	0.00
Bacteroides_uniformis	2.76	0.00	2.38	0.98	0.08	8.50	0.06
Bacteroides_vulgatus	 2.26	 0.00	13.48	 3.04	 0.24	24.38	 0.12
Bacteroides_xylanisolvens	0.04	0.00	0.58	0.00	0.16	0.00	0.00
Barnesiella_intestinihominis	0.46	0.00	0.16	0.00	0.00	0.00	0.00
Bilophila_wadsworthia	0.00	0.00	0.00	0.02	0.02	0.00	0.02
Blautia_coccoides	0.02	0.04	0.00	0.00	0.00	0.04	0.00
Blautia_glucerasea	0.40	1.06	1.76	0.40	0.36	1.72	0.02
Blautia_hansenii	0.56	0.10	0.00	0.00	0.04	2.78	0.00
Blautia_luti	 2.70	 0.00	 5.30	 0.58	21.56	 0.68	 0.00
Blautia_producta	0.10	2.18	0.04	2.20	0.06	1.06	0.34
Butyricicoccus_pullicaecorum	0.54	0.06	1.56	0.00	0.08	0.10	0.00
Butyricimonas_virosa	0.08	0.00	0.08	0.06	0.00	0.00	0.00
Catenibacterium_mitsuokai	0.00	0.00	0.00	0.02	0.00	0.00	0.00
Christensenella_minuta	0	0	0	0	0	0	0
Citrobacter_braakii	0	0	0	0	0	0	0
Cloacibacillus_porcorum	0.04	0.00	0.00	0.00	0.00	0.00	0.00
Clostridium_algidixylanolyticum	0.00	0.00	0.00	0.14	0.00	0.00	0.00
Clostridium_aminophilum	0.34	0.14	0.00	0.22	0.06	0.12	0.00
Clostridium_bartlettii	0.00	0.00	0.16	0.56	0.04	0.00	1.66
Clostridium_bifermentans	0	0	0	0	0	0	0
Clostridium_bolteae	0.08	0.10	0.14	0.06	0.00	0.14	0.02
Clostridium_clostridioforme	0.06	0.54	0.02	0.24	0.20	1.34	0.48
Clostridium_cocleatum	2.72	0.00	0.02	0.00	0.00	0.00	0.00
Clostridium_glycyrrhizinilyticum	5.84	0.00	2.16	0.12	2.34	0.00	0.04
Clostridium_hathewayi	0.00	0.10	0.00	0.04	0.02	0.08	0.00
Clostridium_indolis	0.12	0.00	0.20	0.22	0.02	0.00	0.02
Clostridium_lactatifermentans	0.06	0.50	0.20	0.24	0.00	0.10	0.00
Clostridium_lavalense	0.02	0.10	0.00	0.04	0.02	0.02	0.08
Clostridium_lentocellum	0	0	0	0	0	0	0
Clostridium_maritimum	0.0	0.0	0.0	0.0	0.6	0.0	0.0
Clostridium_mayombei	0.00	0.00	0.00	0.00	0.02	0.00	0.00
Clostridium_methylpentosum	0	0	0	0	0	0	0
Clostridium_oroticum	2.24	1.40	0.14	3.96	6.34	0.32	1.28
Clostridium_paraputrificum	0.00	0.04	0.02	0.00	0.04	0.00	0.00
Clostridium_polysaccharolyticum	0.02	0.00	0.00	0.00	0.00	0.00	0.00
Clostridium_ramosum	 0.78	 9.56	 0.08	13.00	 0.12	 0.00	15.28
