"","Total Cmpd","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glycine, serine and threonine metabolism",33,1,0.00011701,3.9318,0.0015212,0.0015212,0
"Arginine and proline metabolism",38,2,0.00088345,3.0538,0.010601,0.0057425,0.05786
"Steroid hormone biosynthesis",85,2,0.0037412,2.427,0.041153,0.016212,0.06807
"Glyoxylate and dicarboxylate metabolism",32,2,0.0066494,2.1772,0.066494,0.02161,0.29894
"Citrate cycle (TCA cycle)",20,1,0.01009,1.9961,0.090809,0.023596,0.05003
"Purine metabolism",65,2,0.01089,1.963,0.090809,0.023596,0.08085
"Lysine degradation",25,1,0.014268,1.8456,0.099875,0.026497,0.01878
"Starch and sucrose metabolism",18,1,0.023786,1.6237,0.14272,0.034358,0.01826
"Amino sugar and nucleotide sugar metabolism",37,1,0.023786,1.6237,0.14272,0.034358,0
"Pyrimidine metabolism",39,1,0.03664,1.436,0.14656,0.047632,0.05729
"Retinol metabolism",17,1,0.086479,1.0631,0.25944,0.087118,0
"Arginine biosynthesis",14,1,0.087118,1.0599,0.25944,0.087118,0.07614
"Aminoacyl-tRNA biosynthesis",48,1,0.087118,1.0599,0.25944,0.087118,0
