Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,Pathway
1-Pyrroline-5-carboxylic acid,1-Pyrroline-5-carboxylic acid,HMDB0001301,6642,C03912,C1CC(N=C1)C(=O)O,1,"Alanine, aspartate and glutamate metabolism"
Ornithine,Ornithine,HMDB0000214,6262,C00077,C(C[C@@H](C(=O)O)N)CN,1,Arginine biosynthesis
L-Arginine,L-Arginine,HMDB0000517,6322,C00062,C(C[C@@H](C(=O)O)N)CN=C(N)N,1,Arginine biosynthesis
Carbamoyl phosphate,Carbamoyl phosphate,HMDB0001096,278,C00169,C(=O)(N)OP(=O)(O)O,1,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism"
L-Glutamine,L-Glutamine,HMDB0000641,5961,C00064,C(CC(=O)N)[C@@H](C(=O)O)N,1,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism"
L-Glutamic acid,L-Glutamic acid,HMDB0000148,33032,C00025,C(CC(=O)O)[C@@H](C(=O)O)N,1,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism"
L-Aspartic acid,L-Aspartic acid,HMDB0000191,5960,C00049,C([C@@H](C(=O)O)N)C(=O)O,1,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism"
cis-Aconitic acid,cis-Aconitic acid,HMDB0000072,643757,C00417,C(/C(=C/C(=O)O)/C(=O)O)C(=O)O,1,Citrate cycle (TCA cycle)
L-Malic acid,L-Malic acid,HMDB0000156,222656,C00149,C([C@@H](C(=O)O)O)C(=O)O,1,Citrate cycle (TCA cycle)
Phosphoenolpyruvic acid,Phosphoenolpyruvic acid,HMDB0000263,1005,C00074,C=C(C(=O)O)OP(=O)(O)O,1,Citrate cycle (TCA cycle)
Citric acid,Citric acid,HMDB0000094,311,C00158,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1,"Citrate cycle (TCA cycle);Alanine, aspartate and glutamate metabolism"
Oxoglutaric acid,Oxoglutaric acid,HMDB0000208,51,C00026,C(CC(=O)O)C(=O)C(=O)O,1,"Citrate cycle (TCA cycle);Arginine biosynthesis;Alanine, aspartate and glutamate metabolism"
