"v1"	"log2_FC"	"Pvalue"	"fdr"
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae.g_Actinomyces"	1.71616402317551	"0.117432474359252"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Corynebacteriaceae.g_Corynebacterium"	14.0247645328214	"0.175734335644225"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae.g_Rothia"	0.321906455922379	"0.862086224389653"	1
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_unassigned.g_unassigned"	12.7029662668557	"0.173945016799909"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium"	-12.7029662668557	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Adlercreutzia"	14.702803978878	"0.0731397996589089"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Atopobium"	12.7029662668557	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella"	0.27301830007802	"0.678070679487631"	0.918272836092953
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella"	2.27402639817841	"0.572475573921105"	0.83826780467019
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Gordonibacter"	2.90670306119336	"0.18120322549039"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Incertae_sedis"	11.7031826224323	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Paraeggerthella"	16.9122149419372	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Slackia"	-14.2877845124982	"0.175734335644225"	0.73195267230965
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_unassigned"	2.19259677468242	"0.421671443406874"	0.740936964843507
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Acetomicrobium"	14.0247645328214	"0.0731397996589089"	0.73195267230965
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides"	-0.734293982059435	"0.393939393939394"	0.73195267230965
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Barnesiella"	5.28498057286975	"0.0735334860346203"	0.73195267230965
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Butyricimonas"	1.13745631033609	"0.775029260163904"	0.972740806124084
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Dysgonomonas"	16.7027634040309	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Odoribacter"	2.99981066225098	"0.252951122873848"	0.73195267230965
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Parabacteroides"	0.441703746056502	"1"	1
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_unassigned"	-12.7029662668557	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae.g_Prevotella"	-6.06587603234099	"0.143028118936572"	0.73195267230965
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae.g_Alistipes"	0.803915067678666	"1"	1
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_unassigned.g_unassigned"	11.7031826224323	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Bacteroidetes.c_unassigned.o_unassigned.f_unassigned.g_unassigned"	15.0247212539177	"0.175734335644225"	0.73195267230965
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillales_Incertae_Sedis_XI.g_Gemella"	1.58467401940828	"0.527089256865538"	0.807844014529193
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Listeriaceae.g_Brochothrix"	-11.7031826224323	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_unassigned.g_unassigned"	-0.637412746144582	"1"	1
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Carnobacteriaceae.g_Carnobacterium"	-12.7029662668557	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Carnobacteriaceae.g_Granulicatella"	0	"0.654603379504403"	0.914956996352745
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Enterococcaceae.g_Enterococcus"	-4.75160386521607	"0.591370147099849"	0.840913565939753
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae.g_Lactobacillus"	-0.765531182074564	"0.195431418612111"	0.73195267230965
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Leuconostocaceae.g_Leuconostoc"	-11.7031826224323	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae.g_Lactococcus"	1.92593563866606	"0.252951122873848"	0.73195267230965
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae.g_Streptococcus"	0.875710642502784	"0.393939393939394"	0.73195267230965
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_unassigned.g_unassigned"	-11.7031826224323	"0.404656761927286"	0.73195267230965
"k_Bacteria.p_Firmicutes.c_Bacilli.o_unassigned.f_unassigned.g_unassigned"	1.26158214956127	"0.171978681924558"	0.73195267230965
"k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiaceae_1.g_Anaerosporobacter"	2.20642479834626	"0.252951122873848"	0.73195267230965
