"v1"	"log2_FC"	"Pvalue"	"fdr"
"Cellular_Processes.Cell_Growth_and_Death.Apoptosis"	1.09545746755733	"0.132034632034632"	1
"Cellular_Processes.Cell_Growth_and_Death.Cell_cycle_Caulobacter"	-0.0152897886015496	"0.699134199134199"	1
"Cellular_Processes.Cell_Growth_and_Death.Meiosis_yeast"	1.35617028756557	"0.484848484848485"	1
"Cellular_Processes.Cell_Motility.Bacterial_chemotaxis"	0.265479140104492	"0.393939393939394"	1
"Cellular_Processes.Cell_Motility.Bacterial_motility_proteins"	0.31552006196875	"0.24025974025974"	1
"Cellular_Processes.Cell_Motility.Cytoskeleton_proteins"	-0.0214243242654623	"0.699134199134199"	1
"Cellular_Processes.Cell_Motility.Flagellar_assembly"	0.369194356496703	"0.30952380952381"	1
"Cellular_Processes.Transport_and_Catabolism.Lysosome"	-0.0685402140920961	"0.699134199134199"	1
"Cellular_Processes.Transport_and_Catabolism.Peroxisome"	0.0266901463990464	"1"	1
"Environmental_Information_Processing.Membrane_Transport.ABC_transporters"	0.0378013917708332	"0.393939393939394"	1
"Environmental_Information_Processing.Membrane_Transport.Bacterial_secretion_system"	-0.0125342487629786	"0.937229437229437"	1
"Environmental_Information_Processing.Membrane_Transport.Phosphotransferase_system_PTS"	-0.0582064485277229	"0.818181818181818"	1
"Environmental_Information_Processing.Membrane_Transport.Secretion_system"	0.0554528912594179	"1"	1
"Environmental_Information_Processing.Membrane_Transport.Transporters"	0.06065990405686	"0.393939393939394"	1
"Environmental_Information_Processing.Signal_Transduction.MAPK_signaling_pathway_yeast"	-0.00984276495159271	"0.484848484848485"	1
"Environmental_Information_Processing.Signal_Transduction.Phosphatidylinositol_signaling_system"	-0.0648862762501959	"0.818181818181818"	1
"Environmental_Information_Processing.Signal_Transduction.Two_component_system"	0.101654012294851	"0.30952380952381"	1
"Environmental_Information_Processing.Signaling_Molecules_and_Interaction.Bacterial_toxins"	-0.0953548323741188	"0.588744588744589"	1
"Environmental_Information_Processing.Signaling_Molecules_and_Interaction.Cellular_antigens"	-0.487297973938228	"0.588744588744589"	1
"Environmental_Information_Processing.Signaling_Molecules_and_Interaction.G_protein_coupled_receptors"	2.27557573938587	"0.404656761927286"	1
"Environmental_Information_Processing.Signaling_Molecules_and_Interaction.Ion_channels"	0.214462464258464	"0.393939393939394"	1
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Chaperones_and_folding_catalysts"	-0.0371089083444912	"0.132034632034632"	1
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Proteasome"	-0.0964772119546463	"0.17965367965368"	1
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Protein_export"	-0.0177260912503955	"0.24025974025974"	1
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Protein_processing_in_endoplasmic_reticulum"	-0.0353848720192971	"0.699134199134199"	1
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.RNA_degradation"	-0.0374271729792612	"0.17965367965368"	1
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Sulfur_relay_system"	-0.0310380665907978	"0.484848484848485"	1
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Ubiquitin_system"	-0.790833251204676	"0.17965367965368"	1
"Genetic_Information_Processing.Replication_and_Repair.Base_excision_repair"	-0.0349527123837047	"0.699134199134199"	1
"Genetic_Information_Processing.Replication_and_Repair.Chromosome"	-0.00894245474530479	"0.484848484848485"	1
"Genetic_Information_Processing.Replication_and_Repair.DNA_repair_and_recombination_proteins"	-0.0100172066056707	"0.393939393939394"	1
"Genetic_Information_Processing.Replication_and_Repair.DNA_replication"	-0.0484620841686913	"0.24025974025974"	1
"Genetic_Information_Processing.Replication_and_Repair.DNA_replication_proteins"	-0.0389563293221562	"0.393939393939394"	1
"Genetic_Information_Processing.Replication_and_Repair.Homologous_recombination"	-0.0149884018024617	"0.588744588744589"	1
"Genetic_Information_Processing.Replication_and_Repair.Mismatch_repair"	-0.0226904550682711	"0.30952380952381"	1
"Genetic_Information_Processing.Replication_and_Repair.Non_homologous_end_joining"	1.01505652339291	"0.17965367965368"	1
"Genetic_Information_Processing.Replication_and_Repair.Nucleotide_excision_repair"	-0.0257658733228029	"0.484848484848485"	1
"Genetic_Information_Processing.Transcription.Basal_transcription_factors"	-0.454103115512037	"0.808865613239999"	1
"Genetic_Information_Processing.Transcription.RNA_polymerase"	0.01761425300573	"0.484848484848485"	1
"Genetic_Information_Processing.Transcription.Transcription_factors"	0.0528548733484332	"0.0930735930735931"	1
"Genetic_Information_Processing.Transcription.Transcription_machinery"	-0.0048255387666004	"0.937229437229437"	1
"Genetic_Information_Processing.Translation.Aminoacyl_tRNA_biosynthesis"	-0.0100496371905379	"0.484848484848485"	1
"Genetic_Information_Processing.Translation.RNA_transport"	-0.0470088393849478	"0.588744588744589"	1
"Genetic_Information_Processing.Translation.Ribosome"	-0.0209131347989932	"0.393939393939394"	1
"Genetic_Information_Processing.Translation.Ribosome_Biogenesis"	-0.034803603676777	"0.484848484848485"	1
"Genetic_Information_Processing.Translation.Ribosome_biogenesis_in_eukaryotes"	-0.0347580408416714	"0.30952380952381"	1
"Genetic_Information_Processing.Translation.Translation_factors"	-0.0310414952512174	"0.484848484848485"	1
"Human_Diseases.Cancers.Bladder_cancer"	-1.2071094382566	"0.361129976345835"	1
"Human_Diseases.Cancers.Pathways_in_cancer"	-0.150637433815442	"0.24025974025974"	1
"Human_Diseases.Cancers.Prostate_cancer"	-0.0793640501998242	"0.17965367965368"	1
"Human_Diseases.Cancers.Renal_cell_carcinoma"	-1.40160772332137	"0.937229437229437"	1
"Human_Diseases.Immune_System_Diseases.Primary_immunodeficiency"	-0.108467687632017	"0.484848484848485"	1
"Human_Diseases.Infectious_Diseases.African_trypanosomiasis"	1.04503164111377	"0.484848484848485"	1
"Human_Diseases.Infectious_Diseases.Amoebiasis"	0.36272391187752	"0.588744588744589"	1
"Human_Diseases.Infectious_Diseases.Bacterial_invasion_of_epithelial_cells"	0.779929282770543	"0.30952380952381"	1
"Human_Diseases.Infectious_Diseases.Chagas_disease_American_trypanosomiasis"	-0.94432801365185	"0.937229437229437"	1
"Human_Diseases.Infectious_Diseases.Epithelial_cell_signaling_in_Helicobacter_pylori_infection"	-0.0680101731566618	"0.132034632034632"	1
"Human_Diseases.Infectious_Diseases.Pertussis"	-0.436886792070087	"0.393939393939394"	1
"Human_Diseases.Infectious_Diseases.Staphylococcus_aureus_infection"	1.13803741128298	"0.132034632034632"	1
"Human_Diseases.Infectious_Diseases.Tuberculosis"	-0.0505437860851521	"0.24025974025974"	1
"Human_Diseases.Infectious_Diseases.Vibrio_cholerae_pathogenic_cycle"	-0.0657743605468287	"0.24025974025974"	1
"Human_Diseases.Metabolic_Diseases.Type_I_diabetes_mellitus"	0.00702892695496185	"0.937229437229437"	1
"Human_Diseases.Metabolic_Diseases.Type_II_diabetes_mellitus"	-0.0418635013357328	"0.699134199134199"	1
"Human_Diseases.Neurodegenerative_Diseases.Alzheimers_disease"	-0.0283333516670176	"0.588744588744589"	1
"Human_Diseases.Neurodegenerative_Diseases.Amyotrophic_lateral_sclerosis_ALS"	-0.101455092157361	"0.588744588744589"	1
"Human_Diseases.Neurodegenerative_Diseases.Huntingtons_disease"	0.152344554922754	"0.0649350649350649"	1
"Human_Diseases.Neurodegenerative_Diseases.Parkinsons_disease"	0.185960940840907	"0.441788161749779"	1
"Human_Diseases.Neurodegenerative_Diseases.Prion_diseases"	-0.339861401662358	"0.937229437229437"	1
"Metabolism.Amino_Acid_Metabolism.Alanine_aspartate_and_glutamate_metabolism"	-0.0557831449139657	"0.025974025974026"	1
"Metabolism.Amino_Acid_Metabolism.Amino_acid_related_enzymes"	-0.0205452488197284	"0.24025974025974"	1
"Metabolism.Amino_Acid_Metabolism.Arginine_and_proline_metabolism"	-0.0367271933802946	"0.484848484848485"	1
"Metabolism.Amino_Acid_Metabolism.Cysteine_and_methionine_metabolism"	-0.0028406890536828	"0.937229437229437"	1
"Metabolism.Amino_Acid_Metabolism.Glycine_serine_and_threonine_metabolism"	-0.0215362469760023	"1"	1
"Metabolism.Amino_Acid_Metabolism.Histidine_metabolism"	-0.0681623546986507	"0.484848484848485"	1
"Metabolism.Amino_Acid_Metabolism.Lysine_biosynthesis"	-0.0506222752481515	"0.30952380952381"	1
"Metabolism.Amino_Acid_Metabolism.Lysine_degradation"	-0.00156991841377693	"0.818181818181818"	1
"Metabolism.Amino_Acid_Metabolism.Phenylalanine_metabolism"	-0.0547461000972258	"0.588744588744589"	1
"Metabolism.Amino_Acid_Metabolism.Phenylalanine_tyrosine_and_tryptophan_biosynthesis"	-0.0441702016337228	"0.30952380952381"	1
"Metabolism.Amino_Acid_Metabolism.Tryptophan_metabolism"	0.104612946874114	"0.132034632034632"	1
"Metabolism.Amino_Acid_Metabolism.Tyrosine_metabolism"	0.00139974584576529	"0.818181818181818"	1
"Metabolism.Amino_Acid_Metabolism.Valine_leucine_and_isoleucine_biosynthesis"	0.00673280518174793	"1"	1
"Metabolism.Amino_Acid_Metabolism.Valine_leucine_and_isoleucine_degradation"	0.134849764760761	"0.393939393939394"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Butirosin_and_neomycin_biosynthesis"	-0.0122702720604416	"0.937229437229437"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Flavone_and_flavonol_biosynthesis"	0.130582754163563	"0.699134199134199"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Flavonoid_biosynthesis"	0.0776147965288674	"0.588744588744589"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Isoquinoline_alkaloid_biosynthesis"	0.0758833111647181	"1"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Novobiocin_biosynthesis"	0.00550522885637493	"0.818181818181818"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Penicillin_and_cephalosporin_biosynthesis"	0.126674683068678	"1"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Phenylpropanoid_biosynthesis"	0.036978103012889	"0.699134199134199"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Stilbenoid_diarylheptanoid_and_gingerol_biosynthesis"	-1.39199849415047	"0.484848484848485"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Streptomycin_biosynthesis"	-0.0129541921108568	"1"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.Tropane_piperidine_and_pyridine_alkaloid_biosynthesis"	0.0306709528699707	"0.699134199134199"	1
"Metabolism.Biosynthesis_of_Other_Secondary_Metabolites.beta_Lactam_resistance"	-0.014669789584843	"0.937229437229437"	1
"Metabolism.Carbohydrate_Metabolism.Amino_sugar_and_nucleotide_sugar_metabolism"	-0.0430532963347148	"1"	1
"Metabolism.Carbohydrate_Metabolism.Ascorbate_and_aldarate_metabolism"	0.360768453467917	"0.0151515151515152"	1
"Metabolism.Carbohydrate_Metabolism.Butanoate_metabolism"	0.0886701385259288	"0.17965367965368"	1
"Metabolism.Carbohydrate_Metabolism.C5_Branched_dibasic_acid_metabolism"	0.0124753808235537	"1"	1
"Metabolism.Carbohydrate_Metabolism.Citrate_cycle_TCA_cycle"	0.0161027130492882	"0.937229437229437"	1
"Metabolism.Carbohydrate_Metabolism.Fructose_and_mannose_metabolism"	-6.71435551478927e-05	"1"	1
"Metabolism.Carbohydrate_Metabolism.Galactose_metabolism"	0.000985430971683027	"0.818181818181818"	1
"Metabolism.Carbohydrate_Metabolism.Glycolysis_Gluconeogenesis"	-0.0313020509104006	"0.699134199134199"	1
"Metabolism.Carbohydrate_Metabolism.Glyoxylate_and_dicarboxylate_metabolism"	-0.0483989053539685	"0.393939393939394"	1
"Metabolism.Carbohydrate_Metabolism.Inositol_phosphate_metabolism"	0.272457704499219	"0.24025974025974"	1
"Metabolism.Carbohydrate_Metabolism.Pentose_and_glucuronate_interconversions"	0.0113773520633102	"0.937229437229437"	1
"Metabolism.Carbohydrate_Metabolism.Pentose_phosphate_pathway"	0.0441144720614439	"0.24025974025974"	1
"Metabolism.Carbohydrate_Metabolism.Propanoate_metabolism"	0.0330021875053787	"1"	1
"Metabolism.Carbohydrate_Metabolism.Pyruvate_metabolism"	0.00353174862853814	"0.937229437229437"	1
"Metabolism.Carbohydrate_Metabolism.Starch_and_sucrose_metabolism"	-0.0236160179376068	"0.588744588744589"	1
"Metabolism.Energy_Metabolism.Carbon_fixation_in_photosynthetic_organisms"	0.0326501278660958	"0.24025974025974"	1
"Metabolism.Energy_Metabolism.Carbon_fixation_pathways_in_prokaryotes"	0.00111201436746497	"0.937229437229437"	1
"Metabolism.Energy_Metabolism.Methane_metabolism"	-0.000398339552623185	"0.484848484848485"	1
"Metabolism.Energy_Metabolism.Nitrogen_metabolism"	-0.00506916193117692	"1"	1
"Metabolism.Energy_Metabolism.Oxidative_phosphorylation"	-0.0702029619464502	"0.30952380952381"	1
"Metabolism.Energy_Metabolism.Photosynthesis"	-0.108875844988716	"0.393939393939394"	1
"Metabolism.Energy_Metabolism.Photosynthesis_proteins"	-0.106378942485263	"0.393939393939394"	1
"Metabolism.Energy_Metabolism.Sulfur_metabolism"	-0.0144302220424356	"0.818181818181818"	1
"Metabolism.Enzyme_Families.Peptidases"	-0.0472853869279627	"0.132034632034632"	1
