"v1"	"log2_FC"	"Pvalue"	"fdr"
"K00001"	-0.110030520185027	"0.937229437229437"	0.993631208740043
"K00002"	-0.936806114451521	"0.518158905216104"	0.903857576292682
"K00003"	0.171402606837354	"0.393939393939394"	0.903857576292682
"K00004"	0.833969408813514	"0.0930735930735931"	0.903857576292682
"K00005"	0.294236776605747	"0.393939393939394"	0.903857576292682
"K00008"	0.257952550312695	"0.484848484848485"	0.903857576292682
"K00009"	1.46860316986782	"0.00865800865800866"	0.903857576292682
"K00010"	0.540643314593856	"0.588744588744589"	0.903857576292682
"K00012"	-0.110014615804942	"0.818181818181818"	0.94353000759686
"K00013"	0.0332783407733925	"0.699134199134199"	0.912345337877253
"K00014"	0.183863311603504	"0.588744588744589"	0.903857576292682
"K00015"	-1.0220041371438	"0.393939393939394"	0.903857576292682
"K00016"	0.168744574379136	"0.588744588744589"	0.903857576292682
"K00018"	-0.151662974092441	"0.588744588744589"	0.903857576292682
"K00019"	0.553935546378446	"0.377642391380866"	0.903857576292682
"K00020"	-0.0231110063698957	"0.937229437229437"	0.993631208740043
"K00023"	-17.3466147247473	"0.404656761927286"	0.903857576292682
"K00024"	-0.348348400085083	"0.588744588744589"	0.903857576292682
"K00027"	0.160018187664962	"0.484848484848485"	0.903857576292682
"K00029"	-0.308737318808128	"0.588744588744589"	0.903857576292682
"K00030"	-0.536479752384356	"1"	1
"K00031"	0.107205526327529	"0.818181818181818"	0.94353000759686
"K00033"	-0.162430440500931	"1"	1
"K00034"	-0.623581963998638	"1"	1
"K00036"	-0.365435601964851	"0.937229437229437"	0.993631208740043
"K00040"	-0.301471249016807	"0.937229437229437"	0.993631208740043
"K00041"	-0.370754613346702	"0.818181818181818"	0.94353000759686
"K00042"	-0.109138281865569	"1"	1
"K00045"	1.42223275951616	"0.627932089233878"	0.912345337877253
"K00046"	-0.118321516284313	"0.818181818181818"	0.94353000759686
"K00048"	-0.261451824375891	"0.484848484848485"	0.903857576292682
"K00050"	0.987126966357897	"0.747920927964895"	0.94353000759686
"K00052"	0.0238068169558352	"0.818181818181818"	0.94353000759686
"K00053"	0.048890084923504	"0.818181818181818"	0.94353000759686
"K00054"	0.234677197112558	"0.393939393939394"	0.903857576292682
"K00055"	-0.299589983920299	"0.93607467706662"	0.993631208740043
"K00057"	0.0797254778531701	"0.588744588744589"	0.903857576292682
"K00058"	0.0388976714013461	"0.818181818181818"	0.94353000759686
"K00059"	0.0956632472166167	"0.588744588744589"	0.903857576292682
"K00060"	-0.251197775935417	"0.818181818181818"	0.94353000759686
"K00064"	-2.51095906426385	"0.444846991577583"	0.903857576292682
"K00065"	0.133143637342955	"0.699134199134199"	0.912345337877253
"K00066"	17.0246887938879	"0.404656761927286"	0.903857576292682
"K00067"	-0.0730134884322614	"0.699134199134199"	0.912345337877253
"K00068"	1.41536918451976	"0.24025974025974"	0.903857576292682
"K00073"	-0.771419626949862	"0.393939393939394"	0.903857576292682
"K00074"	0.17716086329729	"0.588744588744589"	0.903857576292682
"K00075"	-0.00901984574363755	"0.484848484848485"	0.903857576292682
"K00076"	-0.127730216642576	"0.937229437229437"	0.993631208740043
"K00077"	-0.035695667973366	"0.937229437229437"	0.993631208740043
"K00078"	-0.936806114451521	"0.518158905216104"	0.903857576292682
"K00082"	0.313890752314345	"1"	1
"K00086"	-1.34362619995379	"0.30952380952381"	0.903857576292682
"K00087"	0.324019340877608	"0.588744588744589"	0.903857576292682
"K00088"	0.0554064144205374	"0.699134199134199"	0.912345337877253
"K00090"	-1.77509152550349	"0.54967387850156"	0.903857576292682
"K00091"	1.31034009478326	"0.687884590662576"	0.912345337877253
"K00094"	-1.76553403587053	"0.441788161749779"	0.903857576292682
"K00096"	0.495721464492596	"0.30952380952381"	0.903857576292682
"K00097"	-0.4303742666067	"1"	1
"K00098"	-1.80809446796292	"0.441788161749779"	0.903857576292682
"K00099"	0.0489637870393094	"0.818181818181818"	0.94353000759686
"K00100"	-0.00538063411750982	"0.937229437229437"	0.993631208740043
