"v1"	"log2_FC"	"Pvalue"	"fdr"
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Actinomycetaceae"	0.777590404111061	"0.275596130117855"	0.818181818181818
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Corynebacteriaceae"	12.7029662668557	"0.386476230771233"	0.818181818181818
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae"	0.415013455764034	"0.851595659312836"	1
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae"	-13.2878566418405	"0.563702861650773"	0.874711337044303
"k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae"	-0.283171896517023	"0.857142857142857"	1
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae"	-0.376002752111389	"1"	1
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae"	1.90535976850734	"0.211798378305723"	0.818181818181818
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Prevotellaceae"	-17.7795718878428	"0.270289384801699"	0.818181818181818
"k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Rikenellaceae"	1.38686584203972	"0.858427290260402"	1
"k_Bacteria.p_Bacteroidetes.c_unassigned.o_unassigned.f_unassigned"	16.024699613979	"0.122744682325921"	0.613723411629605
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Bacillales_Incertae_Sedis_XI"	0.414965377148157	"1"	1
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_Listeriaceae"	-12.2880008897076	"0.563702861650773"	0.874711337044303
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Bacillales.f_unassigned"	15.8726989249876	"0.386476230771233"	0.818181818181818
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Carnobacteriaceae"	-0.321920881574457	"1"	1
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Enterococcaceae"	-4.33438311412921	"1"	1
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Lactobacillaceae"	-1.44745274718075	"0.721276699029156"	1
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Leuconostocaceae"	-12.2880008897076	"0.563702861650773"	0.874711337044303
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_Streptococcaceae"	0.608929044087096	"1"	1
"k_Bacteria.p_Firmicutes.c_Bacilli.o_Lactobacillales.f_unassigned"	-12.2880008897076	"0.563702861650773"	0.874711337044303
"k_Bacteria.p_Firmicutes.c_Bacilli.o_unassigned.f_unassigned"	0.324838808897741	"0.721276699029156"	1
