"v1"	"log2_FC"	"Pvalue"	"fdr"
"Cellular_Processes.Cell_Growth_and_Death.Apoptosis"	1.25471311823162	"0.228571428571429"	0.993745877887657
"Cellular_Processes.Cell_Growth_and_Death.Cell_cycle_Caulobacter"	0.00539039691004888	"0.857142857142857"	0.993745877887657
"Cellular_Processes.Cell_Growth_and_Death.Meiosis_yeast"	1.4444750782812	"0.628571428571429"	0.993745877887657
"Cellular_Processes.Cell_Motility.Bacterial_chemotaxis"	0.435741487083297	"0.228571428571429"	0.993745877887657
"Cellular_Processes.Cell_Motility.Bacterial_motility_proteins"	0.552168583738472	"0.228571428571429"	0.993745877887657
"Cellular_Processes.Cell_Motility.Cytoskeleton_proteins"	0.109181174066814	"0.628571428571429"	0.993745877887657
"Cellular_Processes.Cell_Motility.Flagellar_assembly"	0.714611289132015	"0.228571428571429"	0.993745877887657
"Cellular_Processes.Transport_and_Catabolism.Lysosome"	0.0221199635880942	"1"	1
"Cellular_Processes.Transport_and_Catabolism.Peroxisome"	0.259554460426201	"0.4"	0.993745877887657
"Environmental_Information_Processing.Membrane_Transport.ABC_transporters"	0.0628882286510286	"0.628571428571429"	0.993745877887657
"Environmental_Information_Processing.Membrane_Transport.Bacterial_secretion_system"	0.146213425497536	"0.228571428571429"	0.993745877887657
"Environmental_Information_Processing.Membrane_Transport.Phosphotransferase_system_PTS"	-0.719476304619943	"0.228571428571429"	0.993745877887657
"Environmental_Information_Processing.Membrane_Transport.Secretion_system"	0.132646705048648	"0.628571428571429"	0.993745877887657
"Environmental_Information_Processing.Membrane_Transport.Transporters"	0.0459048491349926	"0.857142857142857"	0.993745877887657
"Environmental_Information_Processing.Signal_Transduction.MAPK_signaling_pathway_yeast"	-0.204966764093131	"1"	1
"Environmental_Information_Processing.Signal_Transduction.Phosphatidylinositol_signaling_system"	-0.189394369217281	"0.228571428571429"	0.993745877887657
"Environmental_Information_Processing.Signal_Transduction.Two_component_system"	0.1949440508796	"0.228571428571429"	0.993745877887657
"Environmental_Information_Processing.Signaling_Molecules_and_Interaction.Bacterial_toxins"	-0.44131724020207	"0.628571428571429"	0.993745877887657
"Environmental_Information_Processing.Signaling_Molecules_and_Interaction.Cellular_antigens"	0.00822038676643098	"0.857142857142857"	0.993745877887657
"Environmental_Information_Processing.Signaling_Molecules_and_Interaction.Ion_channels"	0.0111671567649825	"1"	1
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Chaperones_and_folding_catalysts"	0.0152488119136276	"0.857142857142857"	0.993745877887657
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Proteasome"	-0.114784359521267	"0.628571428571429"	0.993745877887657
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Protein_export"	-0.00664294004147613	"0.857142857142857"	0.993745877887657
"Genetic_Information_Processing.Folding_Sorting_and_Degradation.Protein_processing_in_endoplasmic_reticulum"	0.0672239231548539	"0.857142857142857"	0.993745877887657
