"v1"	"log2_FC"	"Pvalue"	"fdr"
"K00001"	-0.378519292527509	"0.857142857142857"	1
"K00002"	-0.584962478525849	"0.721276699029156"	1
"K00003"	0.0263426884012094	"1"	1
"K00004"	1.42929421060035	"0.228571428571429"	1
"K00005"	-0.451127048706477	"0.628571428571429"	1
"K00008"	0.0782162074075311	"1"	1
"K00009"	1.01664601268554	"0.228571428571429"	1
"K00010"	0.585342658903164	"0.628571428571429"	1
"K00012"	0.0182639017087022	"0.857142857142857"	1
"K00013"	0.118900018936578	"0.857142857142857"	1
"K00014"	0.125728508344954	"0.857142857142857"	1
"K00015"	-0.681210705196795	"0.628571428571429"	1
"K00016"	-0.183908275030174	"0.4"	1
"K00018"	-0.0407088322892119	"1"	1
"K00019"	-0.0570309396249201	"0.628571428571429"	1
"K00020"	-0.5547140029239	"0.4"	1
"K00024"	-0.0878663500549853	"1"	1
"K00027"	0.285689626203707	"0.4"	1
"K00029"	0.00376388539127996	"1"	1
"K00030"	-1.09936366125816	"0.4"	1
"K00031"	0.330442993450188	"0.4"	1
"K00033"	-0.146850392084208	"0.857142857142857"	1
"K00034"	-1.07439124792667	"0.4"	1
"K00036"	-0.265846022477704	"0.857142857142857"	1
"K00040"	-0.668253288278265	"1"	1
"K00041"	-0.511738987173464	"0.628571428571429"	1
"K00042"	-0.583046977567677	"0.4"	1
"K00045"	1.76770890856924	"0.858427290260402"	1
"K00046"	-0.246779247807491	"0.857142857142857"	1
"K00048"	-0.378651860417217	"0.4"	1
"K00050"	2.62621553407425	"0.37245586998137"	1
"K00052"	0.101029580109528	"1"	1
"K00053"	0.161651078662471	"0.628571428571429"	1
"K00054"	-0.211794704972852	"1"	1
"K00055"	-0.390506609506039	"0.4"	1
"K00057"	0.102090803116609	"0.857142857142857"	1
"K00058"	0.0400237257893445	"1"	1
"K00059"	0.198500608234545	"0.628571428571429"	1
"K00060"	-0.484548441495623	"0.857142857142857"	1
"K00064"	-3.41784859177424	"1"	1
"K00065"	0.263316408810176	"0.857142857142857"	1
"K00066"	18.0246833838119	"0.386476230771233"	1
"K00067"	-0.0109082810883249	"0.857142857142857"	1
"K00068"	1.42955913180252	"0.228571428571429"	1
"K00073"	-0.730272701153179	"0.4"	1
"K00074"	0.454808255190851	"0.4"	1
"K00075"	-0.0454353190867232	"0.628571428571429"	1
"K00076"	-1.45455346667933	"0.0571428571428571"	1
"K00077"	0.126119905912595	"0.857142857142857"	1
"K00078"	-0.584962478525849	"0.721276699029156"	1
"K00082"	0.852101265289241	"0.435279343218142"	1
"K00086"	-1.01480151126256	"0.4"	1
"K00087"	-0.132793903636442	"1"	1
"K00088"	0.123214595897418	"0.857142857142857"	1
"K00090"	-2.72752252602953	"0.84535586035979"	1
"K00091"	1.68832198052202	"0.228571428571429"	1
"K00094"	-2.67662426602802	"0.84535586035979"	1
"K00096"	0.308456187583791	"0.4"	1
"K00097"	-0.268122358115275	"1"	1
"K00098"	-2.67662426602802	"0.84535586035979"	1
"K00099"	0.12949340300982	"0.857142857142857"	1
"K00100"	-0.0360804128386814	"1"	1
"K00101"	-0.768201737109599	"1"	1
"K00102"	-0.506535840203493	"0.857142857142857"	1
"K00104"	1.27723536815066	"0.628571428571429"	1
"K00105"	1.03170872869998	"0.857142857142857"	1
"K00108"	-2.72752252602953	"0.84535586035979"	1
"K00111"	0.0262698362903999	"0.857142857142857"	1
"K00112"	-2.90272825283603	"0.857142857142857"	1
"K00113"	-2.90272825283603	"0.857142857142857"	1
"K00116"	-0.85861579989931	"1"	1
"K00117"	-2.20414383974881	"0.854445067629532"	1
"K00121"	-0.622766786228184	"0.857142857142857"	1
"K00123"	1.5358038426695	"0.114285714285714"	1
"K00124"	0.805803041550355	"0.628571428571429"	1
"K00127"	0.918102051783282	"0.228571428571429"	1
"K00128"	-0.233483978229683	"0.628571428571429"	1
"K00130"	-1.95716022877427	"1"	1
"K00131"	0.317374234748063	"0.4"	1
"K00132"	1.23217328430527	"0.592560276916651"	1
"K00133"	0.131871328981991	"0.857142857142857"	1
"K00134"	0.162186736701687	"0.4"	1
"K00135"	-0.527039442455281	"0.628571428571429"	1
"K00137"	-2.72752252602953	"0.84535586035979"	1
"K00138"	-2.72752252602953	"0.84535586035979"	1
"K00140"	0.00882385017113079	"0.628571428571429"	1
"K00145"	-0.0189055030354061	"1"	1
"K00146"	-2.68890677546422	"0.84535586035979"	1
"K00147"	0.120841902114419	"0.857142857142857"	1
"K00151"	-2.68890677546422	"0.84535586035979"	1
"K00153"	0.415037018381058	"0.851595659312836"	1
"K00156"	2.22138501719693	"0.0571428571428571"	1
"K00158"	-0.239495033160216	"1"	1
"K00161"	0.285385890831889	"0.628571428571429"	1
"K00162"	0.101514642155715	"0.628571428571429"	1
"K00163"	-0.0172232646388034	"0.37245586998137"	1
"K00164"	1.09113662908719	"0.211798378305723"	1
"K00166"	-0.758497425112283	"1"	1
"K00167"	-0.758497425112283	"1"	1
"K00169"	-0.05865510863971	"0.857142857142857"	1
"K00170"	2.18186501722573	"0.0571428571428571"	1
"K00171"	2.44474823809746	"0.0571428571428571"	1
"K00172"	0.603645723333365	"0.628571428571429"	1
"K00174"	0.759032319854372	"0.228571428571429"	1
"K00175"	0.759032319854372	"0.228571428571429"	1
"K00176"	0.787589853904539	"0.228571428571429"	1
"K00177"	0.751383588283406	"0.228571428571429"	1
"K00179"	0.390709541494328	"0.628571428571429"	1
"K00180"	0.359577416408196	"0.857142857142857"	1
"K00183"	0.120416744500424	"0.857142857142857"	1
"K00184"	0.440629354250688	"0.628571428571429"	1
"K00185"	0.0831208248239968	"1"	1
"K00187"	18.3466103966816	"0.386476230771233"	1
"K00188"	18.3466103966816	"0.386476230771233"	1
"K00194"	-0.657216422334968	"0.857142857142857"	1
"K00196"	-0.184551356110476	"0.857142857142857"	1
"K00197"	-0.658171691389614	"0.857142857142857"	1
"K00198"	-0.295784104133474	"0.857142857142857"	1
"K00208"	-0.072911611376067	"0.857142857142857"	1
"K00209"	-0.117077270531711	"0.628571428571429"	1
"K00210"	-0.395341156247814	"0.857142857142857"	1
"K00215"	0.0799134643230557	"0.4"	1
"K00216"	-1.95716022877427	"1"	1
"K00218"	-0.584962478525849	"0.721276699029156"	1
"K00219"	-0.372783043083972	"0.628571428571429"	1
"K00226"	-0.11869698614232	"0.857142857142857"	1
"K00228"	-0.212950394210961	"0.854445067629532"	1
"K00230"	0.440556318242288	"0.628571428571429"	1
"K00231"	0.268797996248872	"0.857142857142857"	1
"K00239"	0.0965563950283154	"0.857142857142857"	1
"K00240"	0.0348756086540707	"0.857142857142857"	1
"K00241"	-0.00862131590962354	"0.857142857142857"	1
"K00242"	-0.876444574830948	"1"	1
"K00243"	-0.0797654065053618	"0.857142857142857"	1
"K00244"	0.700601474329409	"0.628571428571429"	1
"K00245"	0.53179161652253	"0.4"	1
"K00246"	0.664408922571654	"0.628571428571429"	1
"K00247"	-0.955656938536065	"0.854445067629532"	1
"K00248"	0.476746425155206	"0.628571428571429"	1
"K00252"	21.5165315509436	"0.386476230771233"	1
"K00254"	2.16870592465084	"0.0571428571428571"	1
"K00257"	-0.101627997290003	"1"	1
"K00259"	-0.918395306343164	"0.114285714285714"	1
"K00260"	-0.431448532944701	"0.628571428571429"	1
"K00261"	-0.614724894668731	"0.628571428571429"	1
"K00262"	0.0489119963721593	"1"	1
"K00263"	-17.9315743400928	"0.563702861650773"	1
"K00265"	0.0436034388508133	"1"	1
"K00266"	-0.0031789742560859	"0.857142857142857"	1
"K00274"	2.51457249270232	"1"	1
"K00275"	0.0328242138225986	"1"	1
"K00276"	-2.67662426602802	"0.84535586035979"	1
"K00278"	0.135709658161607	"0.857142857142857"	1
"K00281"	-0.125303974674092	"1"	1
"K00282"	1.99588431941668	"0.114285714285714"	1
"K00283"	1.99588431941668	"0.114285714285714"	1
"K00284"	-0.442510241836403	"0.0571428571428571"	1
"K00285"	-1.05551047238016	"0.37245586998137"	1
"K00286"	0.150385173916814	"0.857142857142857"	1
"K00287"	-0.250531878596901	"0.4"	1
"K00289"	0.337034734173369	"0.854445067629532"	1
"K00290"	-0.0815415848902164	"1"	1
"K00293"	17.0246887938879	"0.386476230771233"	1
"K00294"	1.26709982174712	"0.721276699029156"	1
"K00297"	0.0695003160809186	"1"	1
"K00298"	0.607682293834848	"0.825497910704632"	1
"K00299"	-2.4946719636611	"0.721276699029156"	1
"K00302"	0.0931090437191191	"1"	1
"K00303"	0.399770669117569	"1"	1
"K00311"	21.2534972412894	"0.122744682325921"	1
"K00313"	-0.73066804353891	"0.857142857142857"	1
"K00318"	0.969001836329467	"0.721276699029156"	1
"K00322"	-2.72752252602953	"0.84535586035979"	1
"K00324"	-1.277218827676	"0.854445067629532"	1
"K00325"	-0.802193081204412	"0.854445067629532"	1
"K00330"	0.0081565671757959	"1"	1
"K00331"	0.146863105111522	"1"	1
"K00332"	4.06844097760778	"0.0571428571428571"	1
"K00333"	4.06844097760778	"0.0571428571428571"	1
"K00334"	0.404738554899109	"0.0571428571428571"	1
"K00335"	0.481564667290173	"0.4"	1
"K00336"	0.575989849194267	"0.114285714285714"	1
"K00337"	0.00208771100114313	"1"	1
"K00338"	-0.0201663749819065	"1"	1
"K00339"	0.0081565671757959	"1"	1
"K00340"	0.0081565671757959	"1"	1
