"v1"	"log2_FC"	"Pvalue"	"fdr"
"1CMET2_PWY"	-0.0165663171877209	"0.4"	1
"3_HYDROXYPHENYLACETATE_DEGRADATION_PWY"	-2.31900301071926	"0.84535586035979"	1
"ALL_CHORISMATE_PWY"	-0.748547514883788	"0.857142857142857"	1
"ANAEROFRUCAT_PWY"	-0.23912831667098	"0.857142857142857"	1
"ANAGLYCOLYSIS_PWY"	0.0303696297691776	"0.857142857142857"	1
"ARG+POLYAMINE_SYN"	0.587972758636401	"0.628571428571429"	1
"ARGDEG_PWY"	-2.51796321510504	"0.84535586035979"	1
"ARGORNPROST_PWY"	1.30666013494749	"0.114285714285714"	1
"ARGSYN_PWY"	0.0584947952781341	"0.857142857142857"	1
"ARGSYNBSUB_PWY"	0.0473642061514248	"0.857142857142857"	1
"ARO_PWY"	0.130190114710402	"0.857142857142857"	1
"ASPASN_PWY"	0.0342055103263586	"0.4"	1
"AST_PWY"	-2.72752252602953	"0.84535586035979"	1
"BIOTIN_BIOSYNTHESIS_PWY"	-0.392436023790928	"0.857142857142857"	1
"BRANCHED_CHAIN_AA_SYN_PWY"	0.113081119842827	"0.857142857142857"	1
"CALVIN_PWY"	0.10672433246696	"1"	1
"CENTFERM_PWY"	-0.642935175564556	"0.857142857142857"	1
"COA_PWY"	0.118374592882516	"0.857142857142857"	1
"COBALSYN_PWY"	0.520110054169362	"0.4"	1
"CODH_PWY"	2.06744060145259	"0.4"	1
"COLANSYN_PWY"	0.61360997994077	"0.4"	1
"COMPLETE_ARO_PWY"	0.12749574314516	"0.857142857142857"	1
"DAPLYSINESYN_PWY"	-0.0289899760131351	"0.857142857142857"	1
"DENOVOPURINE2_PWY"	0.0291219017787855	"1"	1
"DTDPRHAMSYN_PWY"	0.101859056735019	"0.857142857142857"	1
"ECASYN_PWY"	-1.0385511536541	"0.854445067629532"	1
"ENTBACSYN_PWY"	-1.82523899274369	"1"	1
"FAO_PWY"	-0.941591165870257	"0.628571428571429"	1
"FASYN_ELONG_PWY"	-0.0694632965842737	"0.857142857142857"	1
"FASYN_INITIAL_PWY"	-0.387986069185816	"0.857142857142857"	1
"FERMENTATION_PWY"	0.236409704705166	"0.857142857142857"	1
"FOLSYN_PWY"	0.120153336416635	"0.857142857142857"	1
"FUC_RHAMCAT_PWY"	-0.0183074322865003	"0.857142857142857"	1
"FUCCAT_PWY"	-0.484261448488966	"0.628571428571429"	1
"GALACT_GLUCUROCAT_PWY"	-0.456299022194294	"0.857142857142857"	1
"GALACTARDEG_PWY"	-2.24963855863801	"0.0571428571428571"	1
"GALACTUROCAT_PWY"	-0.371238175600938	"0.628571428571429"	1
"GLCMANNANAUT_PWY"	-0.0165278857428913	"1"	1
"GLUCARDEG_PWY"	-0.515811506619441	"0.4"	1
"GLUCARGALACTSUPER_PWY"	-2.24963855863801	"0.0571428571428571"	1
"GLUCONEO_PWY"	0.20611202616867	"0.857142857142857"	1
"GLUCOSE1PMETAB_PWY"	-0.377793556420724	"0.628571428571429"	1
"GLUCUROCAT_PWY"	-0.48364160579557	"0.857142857142857"	1
"GLUTORN_PWY"	-0.00245682631897583	"0.857142857142857"	1
"GLYCOCAT_PWY"	0.139505264884583	"0.857142857142857"	1
"GLYCOGENSYNTH_PWY"	0.114753350888824	"1"	1
"GLYCOL_GLYOXDEG_PWY"	-1.96476931621052	"0.592560276916651"	1
"GLYCOLYSIS"	-0.203201195233126	"0.857142857142857"	1
"GLYCOLYSIS_E_D"	-0.214894814480042	"0.857142857142857"	1
"GLYCOLYSIS_TCA_GLYOX_BYPASS"	-1.82470391958133	"1"	1
"GLYOXYLATE_BYPASS"	-1.73220094077847	"0.592560276916651"	1
"GOLPDLCAT_PWY"	-0.677006252323464	"0.628571428571429"	1
"HCAMHPDEG_PWY"	-2.67662435473405	"0.84535586035979"	1
"HEME_BIOSYNTHESIS_II"	-0.0805190032846795	"0.857142857142857"	1
"HEMESYN2_PWY"	0.957151854112887	"0.228571428571429"	1
"HEXITOLDEGSUPER_PWY"	-0.141837021923793	"1"	1
"HISDEG_PWY"	-0.100470856259248	"0.857142857142857"	1
"HISTSYN_PWY"	0.0817118613254045	"0.857142857142857"	1
"HOMOSER_METSYN_PWY"	-0.371427043772367	"0.628571428571429"	1
"HSERMETANA_PWY"	-0.437418257226412	"0.4"	1
"ILEUSYN_PWY"	0.103993094532343	"0.857142857142857"	1
"KDO_NAGLIPASYN_PWY"	-0.540032753198571	"0.854445067629532"	1
"KETOGLUCONMET_PWY"	-2.6344767265183	"0.84535586035979"	1
"LACTOSECAT_PWY"	-1.89394634244964	"1"	1
"LPSSYN_PWY"	-18.90806758739	"0.563702861650773"	1
"MET_SAM_PWY"	-0.268975340649714	"0.628571428571429"	1
"METH_ACETATE_PWY"	-0.268083518792926	"1"	1
"METHGLYUT_PWY"	-2.70178164582001	"0.84535586035979"	1
"NAD_BIOSYNTHESIS_II"	-0.824403504876919	"0.4"	1
"NADSYN_PWY"	22.557891490347	"0.386476230771233"	1
"NAGLIPASYN_PWY"	0.0274151640858016	"1"	1
"NONMEVIPP_PWY"	0.119472802818544	"0.857142857142857"	1
"NONOXIPENT_PWY"	-0.0410368627564956	"0.857142857142857"	1
"OANTIGEN_PWY"	0.210273549373451	"0.4"	1
"ORNARGDEG_PWY"	-2.51796321510504	"0.84535586035979"	1
"ORNDEG_PWY"	-2.75861079047181	"0.84535586035979"	1
"P105_PWY"	-2.11077305283897	"1"	1
"P108_PWY"	-0.109534557922158	"1"	1
"P122_PWY"	0.0464337134221566	"1"	1
"P124_PWY"	0.128238327958871	"0.857142857142857"	1
"P125_PWY"	1.46030599194289	"0.228571428571429"	1
"P161_PWY"	0.259910302035409	"0.628571428571429"	1
"P162_PWY"	-0.126147525312192	"0.857142857142857"	1
"P163_PWY"	-1.06188530388781	"1"	1
"P164_PWY"	-0.321518577388128	"0.628571428571429"	1
"P221_PWY"	0.360407433770787	"1"	1
"P23_PWY"	1.78813552953429	"0.114285714285714"	1
"P341_PWY"	0.123140958176329	"0.628571428571429"	1
"P4_PWY"	-0.157696018679067	"0.857142857142857"	1
"P42_PWY"	0.152542501223153	"1"	1
"P441_PWY"	-0.199529463274453	"0.857142857142857"	1
"P461_PWY"	1.12037449319512	"0.228571428571429"	1
"P562_PWY"	1.1261556721839	"0.0571428571428571"	1
"PANTO_PWY"	0.679882011162714	"0.228571428571429"	1
"PANTOSYN_PWY"	0.585745264449305	"0.4"	1
"PENTOSE_P_PWY"	-0.188858768702243	"0.857142857142857"	1
"PEPTIDOGLYCANSYN_PWY"	0.120911724613961	"0.628571428571429"	1
"PHOSLIPSYN_PWY"	0.161067304299635	"0.228571428571429"	1
"POLYAMINSYN3_PWY"	0.543015140488632	"0.4"	1
"POLYAMSYN_PWY"	0.542314768876253	"0.628571428571429"	1
"POLYISOPRENSYN_PWY"	0.1451231531452	"1"	1
"PPGPPMET_PWY"	-0.946403146472226	"0.854445067629532"	1
"PRPP_PWY"	1.38816291062123	"0.0571428571428571"	1
"PWY_1269"	0.0941648290524797	"1"	1
"PWY_1541"	-17.4472858491463	"0.563702861650773"	1
"PWY_1622"	-0.645822897261003	"1"	1
"PWY_181"	0.589940249907886	"0.696466485711776"	1
"PWY_1861"	-0.140991422487725	"0.857142857142857"	1
"PWY_2941"	-0.77042989985349	"0.4"	1
"PWY_2942"	0.0693580857755913	"0.857142857142857"	1
"PWY_3001"	0.0962749478809715	"1"	1
"PWY_3781"	4.22266336706778	"0.854445067629532"	1
"PWY_4984"	0.194985444286733	"1"	1
"PWY_5005"	0.0633041718680583	"1"	1
"PWY_5022"	-0.58029138968052	"0.114285714285714"	1
"PWY_5028"	-0.467356007274305	"1"	1
"PWY_5088"	21.1494842900203	"0.386476230771233"	1
"PWY_5097"	0.046483277738795	"0.628571428571429"	1
"PWY_5100"	0.0221483170444152	"0.857142857142857"	1
"PWY_5101"	0.0957252986282943	"0.857142857142857"	1
"PWY_5103"	0.0999390627810457	"0.857142857142857"	1
"PWY_5104"	0.132718298514125	"0.628571428571429"	1
"PWY_5121"	0.118393735038524	"0.857142857142857"	1
"PWY_5154"	-0.015479030024582	"1"	1
"PWY_5177"	-0.708187964126721	"0.628571428571429"	1
"PWY_5180"	1.90741008845116	"1"	1
"PWY_5182"	1.90741008845116	"1"	1
"PWY_5188"	0.550701011940905	"0.114285714285714"	1
"PWY_5189"	0.447921319534029	"0.114285714285714"	1
"PWY_5265"	-0.0566780237937447	"0.857142857142857"	1
"PWY_5304"	2.49513253212112	"0.0571428571428571"	1
"PWY_5345"	0.803077291913445	"0.4"	1
"PWY_5347"	-0.0733354434657864	"0.857142857142857"	1
"PWY_5384"	0.0273043903515221	"0.857142857142857"	1
"PWY_5415"	-2.06719988201855	"0.84535586035979"	1
"PWY_5484"	-0.316885059406432	"0.628571428571429"	1
"PWY_5505"	-0.217633643526188	"0.4"	1
"PWY_5509"	0.519650905690551	"0.4"	1
"PWY_5532"	-19.4307424777202	"0.563702861650773"	1
"PWY_5651"	21.8823211674574	"0.386476230771233"	1
"PWY_5659"	0.371517022873777	"0.4"	1
"PWY_5667"	0.168794852239535	"0.4"	1
"PWY_5676"	0.211909312119266	"0.628571428571429"	1
"PWY_5677"	-1.01356320882652	"0.4"	1
"PWY_5686"	0.103285406868292	"0.857142857142857"	1
"PWY_5695"	0.053030830029255	"1"	1
"PWY_5705"	-0.184560793255536	"0.628571428571429"	1
"PWY_5747"	-2.69201660727683	"0.84535586035979"	1
"PWY_5823"	2.92341053533991	"0.475532659596901"	1
"PWY_5837"	-0.0583584276462708	"0.857142857142857"	1
"PWY_5838"	0.0331565673381172	"1"	1
"PWY_5840"	0.0303763001171318	"1"	1
"PWY_5845"	-0.335247413548529	"1"	1
"PWY_5850"	-0.335247413548529	"1"	1
"PWY_5855"	0.988552180586084	"0.628571428571429"	1
"PWY_5856"	0.988552180586084	"0.628571428571429"	1
"PWY_5857"	0.988552180586084	"0.628571428571429"	1
"PWY_5860"	-0.387335579444716	"1"	1
"PWY_5861"	0.0140776235980836	"1"	1
"PWY_5862"	-0.387335579444716	"1"	1
"PWY_5863"	-0.0576236906034797	"0.857142857142857"	1
"PWY_5896"	-0.335247413548529	"1"	1
"PWY_5897"	0.0240350833508595	"1"	1
"PWY_5898"	0.0240350833508595	"1"	1
"PWY_5899"	0.0240350833508595	"1"	1
"PWY_5910"	0.317416978715624	"1"	1
"PWY_5913"	1.56375187344587	"0.4"	1
"PWY_5918"	-0.0591284640284439	"0.857142857142857"	1
"PWY_5920"	0.840443756801681	"0.582079651929502"	1
"PWY_5971"	0.119520140827443	"0.857142857142857"	1
"PWY_5973"	0.261578636623147	"0.228571428571429"	1
"PWY_5989"	-0.41826357892391	"0.857142857142857"	1
"PWY_6071"	-2.49608299611804	"0.84535586035979"	1
"PWY_6121"	0.0518104789755371	"1"	1
"PWY_6122"	0.042997518354201	"0.857142857142857"	1
"PWY_6123"	0.101807499792423	"0.857142857142857"	1
"PWY_6125"	-0.03047200748646	"1"	1
"PWY_6126"	0.0240198676150589	"0.857142857142857"	1
"PWY_6147"	0.100701952697162	"1"	1
"PWY_6151"	-0.222710830891671	"0.4"	1
"PWY_6163"	0.123902603706384	"0.628571428571429"	1
"PWY_621"	-0.334740837791578	"0.0571428571428571"	1
"PWY_6263"	1.29837556010171	"0.857142857142857"	1
"PWY_6269"	0.51972604837691	"0.4"	1
"PWY_6277"	0.042997518354201	"0.857142857142857"	1
"PWY_6282"	-0.392649790917483	"0.857142857142857"	1
"PWY_6317"	-0.0622492787227754	"0.857142857142857"	1
"PWY_6353"	-0.248430008971566	"1"	1
"PWY_6383"	0.721936838869497	"0.628571428571429"	1
"PWY_6385"	0.151117302285987	"0.4"	1
"PWY_6386"	0.154098575119573	"0.4"	1
"PWY_6387"	0.113193717082023	"0.4"	1
"PWY_6396"	1.39307100241443	"0.4"	1
"PWY_6397"	17.6690048477355	"0.386476230771233"	1
"PWY_6467"	-0.0305248933802298	"1"	1
"PWY_6470"	0.61862206045617	"1"	1
"PWY_6471"	0.475270246090314	"0.628571428571429"	1
"PWY_6478"	0.997305664245267	"0.4"	1
"PWY_6507"	-0.420554326743509	"0.628571428571429"	1
"PWY_6519"	-0.430413752317958	"0.857142857142857"	1
"PWY_6545"	0.303162827978726	"0.228571428571429"	1
"PWY_6562"	-18.7918913330733	"0.563702861650773"	1
"PWY_6572"	0.456965843868176	"0.857142857142857"	1
"PWY_6588"	1.57887326124795	"0.628571428571429"	1
"PWY_6590"	-0.635602835000671	"0.857142857142857"	1
"PWY_6608"	-0.475247752730584	"0.4"	1
"PWY_6609"	0.114988431078853	"0.4"	1
"PWY_6612"	0.0809462830679179	"0.857142857142857"	1
"PWY_6628"	-0.0187939942197336	"0.857142857142857"	1
"PWY_6629"	-2.60217951606418	"0.84535586035979"	1
"PWY_6630"	-0.0205473419770398	"0.857142857142857"	1
"PWY_6641"	-21.5840262360409	"0.563702861650773"	1
"PWY_6690"	-2.67662435473405	"0.84535586035979"	1
"PWY_6700"	0.0677708285047173	"1"	1
"PWY_6703"	0.266439285395505	"0.228571428571429"	1
"PWY_6708"	0.988552180586084	"0.628571428571429"	1
"PWY_6737"	0.0570954467820292	"0.4"	1
"PWY_6749"	2.86216805929473	"0.228571428571429"	1
"PWY_6876"	0.415673822542254	"0.825497910704632"	1
"PWY_6891"	0.0341289652083458	"0.628571428571429"	1
"PWY_6892"	0.258161448203737	"0.857142857142857"	1
"PWY_6895"	0.0125587967921896	"1"	1
"PWY_6897"	0.103309285564301	"0.4"	1
"PWY_6901"	-0.0883374621576459	"0.857142857142857"	1
"PWY_6969"	1.84087736124155	"0.0571428571428571"	1
"PWY_7003"	-0.0160717540473538	"0.857142857142857"	1
"PWY_7013"	-1.60330291424202	"0.628571428571429"	1
"PWY_7090"	1.54559380654124	"1"	1
"PWY_7111"	0.163404933183989	"0.228571428571429"	1
"PWY_7184"	-0.0449230242347123	"0.857142857142857"	1
"PWY_7187"	0.137367914938522	"0.857142857142857"	1
"PWY_7196"	0.0213941134760154	"1"	1
"PWY_7197"	0.0785153371546416	"1"	1
"PWY_7198"	0.219362615330893	"0.857142857142857"	1
"PWY_7199"	0.0527307469549951	"1"	1
"PWY_7200"	0.0814239481768621	"0.857142857142857"	1
"PWY_7208"	0.180103177861058	"0.4"	1
"PWY_7210"	0.156193439028586	"0.628571428571429"	1
"PWY_7211"	0.330700624744115	"0.857142857142857"	1
"PWY_7219"	0.131663494829614	"0.857142857142857"	1
"PWY_7220"	-0.165180149512496	"0.857142857142857"	1
"PWY_7221"	0.0920486432248878	"1"	1
"PWY_7222"	-0.165180149512496	"0.857142857142857"	1
"PWY_7228"	-0.0279393838630087	"1"	1
"PWY_7229"	0.0351281277433223	"0.857142857142857"	1
"PWY_7234"	0.877985376437933	"0.4"	1
"PWY_7237"	0.585342658903164	"0.628571428571429"	1
"PWY_7242"	-0.576635689300441	"0.228571428571429"	1
"PWY_7254"	-1.04058401503928	"0.4"	1
"PWY_7315"	-0.112430576871299	"0.857142857142857"	1
"PWY_7323"	0.315175742082139	"1"	1
"PWY_7328"	0.414634561709491	"0.4"	1
"PWY_7332"	0.611923560140685	"1"	1
"PWY_7371"	1.62149494194024	"0.857142857142857"	1
"PWY_7374"	1.75897270203094	"0.628571428571429"	1
"PWY_7377"	1.05158640614809	"1"	1
"PWY_7392"	0.250607463855303	"1"	1
"PWY_7400"	0.0579059106394646	"0.857142857142857"	1
"PWY_7431"	2.20289345715961	"1"	1
"PWY_7446"	-2.38029399581398	"0.84535586035979"	1
"PWY_7456"	0.29445257497852	"0.857142857142857"	1
"PWY_7539"	0.126046729970721	"0.857142857142857"	1
"PWY_7560"	0.119472802818544	"0.857142857142857"	1
"PWY_7663"	0.219856363592492	"0.628571428571429"	1
"PWY_7664"	-0.376474606384597	"0.857142857142857"	1
"PWY_841"	0.0391654276397497	"1"	1
"PWY_922"	0.306215305785138	"1"	1
"PWY0_1061"	0.276081641940559	"0.628571428571429"	1
"PWY0_1241"	0.597468432144309	"0.628571428571429"	1
"PWY0_1261"	-0.42422235164539	"0.857142857142857"	1
"PWY0_1277"	-2.13377031280919	"0.84535586035979"	1
"PWY0_1296"	-0.0793465726469002	"0.857142857142857"	1
"PWY0_1297"	0.0178595470017127	"1"	1
"PWY0_1298"	0.0712196519643906	"0.857142857142857"	1
"PWY0_1319"	0.168794852239535	"0.4"	1
"PWY0_1338"	-2.04044445116854	"0.854445067629532"	1
"PWY0_1415"	-0.120963688715477	"1"	1
"PWY0_1479"	0.868194968316611	"0.228571428571429"	1
"PWY0_1533"	2.07160063019591	"0.0571428571428571"	1
"PWY0_1586"	0.386573113314404	"0.857142857142857"	1
"PWY0_162"	0.0334433690965352	"1"	1
"PWY0_166"	0.130034179614563	"0.628571428571429"	1
"PWY0_321"	-2.42445179767331	"0.84535586035979"	1
"PWY0_41"	-0.67270648566035	"0.4"	1
"PWY0_42"	-2.691287074793	"0.84535586035979"	1
"PWY0_781"	-0.280813883256322	"0.857142857142857"	1
"PWY0_845"	0.0721856239079207	"1"	1
"PWY0_862"	-0.235532557496286	"0.857142857142857"	1
"PWY1G_0"	0.636025342911175	"0.854445067629532"	1
"PWY490_3"	0.440470956726018	"0.4"	1
"PWY4FS_7"	0.171184335906631	"0.4"	1
"PWY4FS_8"	0.171184335906631	"0.4"	1
"PWYG_321"	-0.390006895745526	"0.857142857142857"	1
"PYRIDNUCSAL_PWY"	0.0915706681277146	"0.857142857142857"	1
"PYRIDNUCSYN_PWY"	0.102052676878999	"0.857142857142857"	1
"PYRIDOXSYN_PWY"	-0.007165897940042	"1"	1
"REDCITCYC"	0.260829236982247	"0.857142857142857"	1
"RHAMCAT_PWY"	-0.728168282975405	"0.114285714285714"	1
"RIBOSYN2_PWY"	0.359855614285521	"0.628571428571429"	1
"RUMP_PWY"	0.0188186207271568	"0.4"	1
"SALVADEHYPOX_PWY"	-0.228709272183149	"1"	1
"SER_GLYSYN_PWY"	0.0432298938599849	"1"	1
"SO4ASSIM_PWY"	0.602154333121385	"0.4"	1
"SULFATE_CYS_PWY"	0.575173953394156	"0.4"	1
"TCA"	2.37669126714498	"0.0571428571428571"	1
"TCA_GLYOX_BYPASS"	-1.91743816817402	"1"	1
"TEICHOICACID_PWY"	0.0419786873702174	"0.857142857142857"	1
"THISYN_PWY"	0.331058050861661	"0.628571428571429"	1
"THREOCAT_PWY"	-2.4932453633657	"0.84535586035979"	1
"THRESYN_PWY"	0.101122653239782	"0.857142857142857"	1
"TRNA_CHARGING_PWY"	0.132592982619031	"0.857142857142857"	1
"TRPSYN_PWY"	0.0192405790513683	"1"	1
"TYRFUMCAT_PWY"	21.8313194460495	"0.386476230771233"	1
"UBISYN_PWY"	0.96787501657622	"0.628571428571429"	1
"UDPNAGSYN_PWY"	0.305032641402951	"0.628571428571429"	1
"VALSYN_PWY"	0.103993094532343	"0.857142857142857"	1
