"","F0056","F0155","H0054","F0130","F0177","H0086"
"Label","Nonresponder","Nonresponder","Nonresponder","Responder","Responder","Responder"
"Propyl 1-(propylsulfinyl)propyl disulfide","12973719","12631607","12703730","12150722","13230430","13270889"
"S-Propyl 1-propanesulfinothioate","11291450","11055841","11338294","10564623","11499918","11718350"
"Stearic acid"," 6085881"," 5977257"," 6408333"," 6653340"," 6263360","10526822"
"Palmitic acid","5241848","4906744","5109836","5519566","5106900","7636939"
"Tartaric acid","4387080","4326891","4457076","4066334","4646878","4796673"
"Porson","3210825","3671969","3334433","2520315","3450020","3860417"
"Sedoheptulose","1672056","1582381","1578345","1439668","1763044","1821856"
"4-(1,1,3,3-Tetramethylbutyl)-phenol","1257408","1371032","1486741","1479791","1433845","2028333"
"Methanesulfonic acid","1471058","1422736","1393557","1342692","1491260","1482131"
"4-Hydroxystyrene","1362339","1558106","1327733","1047486","1414559","1559039"
"p-Toluenesulfonic acid","1104894","1075698","1113717","1089825","1160626","1136771"
"Rosinidin","1020138"," 978897","1008757"," 931707","1022136","1020584"
"Peonidin-3-glucoside"," 970130"," 905609"," 921960"," 866518"," 930411","1000519"
"2,8-Dihydroxyadenine","917508","888158","808756","819680","969303","907073"
"5'-Butyrylphosphoinosine","881219","801934","799203","790858","870581","827897"
"2-Methylglutaric acid","575758","640719","574070","440367","616044","656576"
"Fumonisin B2","472874","469172","450161","448039","480505","456366"
"Sabadelin","394619","398168","403469","401729","398975","469126"
"Naphthalene","479573","406006","385220","346809","380964","388797"
"Gamma-Butyrolactone","382609","425591","380348","298660","406629","423853"
"Uridine 5'-monophosphate","348786","315424","317410","313748","344988","331492"
"Cinnamyl acetate","299602","337722","298882","240267","309909","354877"
"Nicotinamide ribotide","322859","295262","292244","292821","315099","315001"
"Myristic acid","291875","265676","284571","272207","291128","411667"
"2-Furanmethanol","303058","325521","295947","256202","306441","327470"
"4-[2,2'-Bithiophen-5-yl]-3-butyn-1-ol","286459","300822","214571","320510","306504","327442"
"Thymidine","271179","269064","264163","259350","277666","278007"
"Acetic acid","253530","286207","257035","200644","262767","297021"
"Milrinone","256340","245709","238659","229725","271101","283784"
"De-O-methylsterigmatocystin","233341","249508","201071","264981","259812","267921"
"Ethanethioic acid","247690","240561","236787","226986","246948","258671"
"Monobenzone","211642","241205","206173","164133","232027","255262"
"Uric acid","219879","209599","198057","194594","230336","245141"
"2-Dodecylbenzenesulfonic acid","133489","200543","168269","352995","176576","254598"
"Phenol","205500","209836","212416","208687","212597","217392"
"Alpha-ketoisovaleric acid","206982","227719","203894","162570","214907","229673"
"N-Undecylbenzenesulfonic acid","138153","197134","140058","364107","171395","228281"
"Guanosine diphosphate mannose","262454","163479","164538","217021","248798","180852"
"Uridine","201598","205211","203981","191452","206963","212523"
"(4-Methylphenyl)acetaldehyde","187587","198642","184514","174354","193499","196328"
"Epoxyeremopetasinorol","189284","183948","176164","159266","206344","217342"
"Oenanthic ether","157805","162999","173698","188761","168364","217793"
"Ethyl trans-p-methoxycinnamate","159576","177512","151766","130294","172280","181167"
"Heptadecanoic acid","143589","131091","143249","134160","137947","236938"
"3-Oxooctadecanoic acid","158287","138819","140288","139306","134487","170544"
"Pyridoxal","138550","141860","143023","127714","139411","148579"
"3D,7D,11D-Phytanic acid","135376","108893","122591","115678","120270","218059"
"Heptyl 4-hydroxybenzoate","127883","132429","138026","136085","131649","136884"
"2-Thiophenecarboxaldehyde","130627","133312","134496","128864","132792","131093"
"Galactose-beta-1,4-xylose","128890","133825","126105","118789","137854","133138"
"Pentadecanoic acid","155499","107522","118501","109898","116546","153843"
"Capric acid","106525","121781","128691","128560","115731","128779"
"Dodecanoic acid","110053","104751","117154","108706","114926","170359"
"Linoleic acid","180438"," 92374","153541","103186"," 87185","101256"
"Methylphosphonate","111077","113458","116259","110710","115912","115473"
"2-Amino-5-phenylpyridine"," 53324","142361","133064"," 46702"," 54119","252790"
"Trigoforin","105188","124633","104320"," 89508","111107","130120"
"Alpha-Linolenic acid","103946","103098","109980"," 85961"," 98206","106798"
"Arginyl-Glutamine"," 98061","104403","101658","100165"," 99051","103622"
"Sodium Tetradecyl Sulfate"," 80704"," 96460"," 86858"," 86268"," 96392","130701"
"Osmundalactone"," 93454","101359"," 87984"," 83624"," 97102","100613"
"Aciclovir"," 91217"," 89220"," 85156"," 77431"," 96089","100795"
"Methyl methanethiosulfonate","94238","90982","88244","82660","87596","91616"
"p-Hydroxyphenylacetic acid","90626","86963","82722","89825","90881","93805"
"Benzoic acid","88614","88710","81279","87919","89905","91739"
"3-Propylidene-1(3H)-isobenzofuranone","86426","88143","79578","67246","84808","94039"
"Caprylic acid","75958","74537","84951","91032","76939","87997"
"cis-Aconitic acid","79647","79446","80398","82276","84229","85072"
"Ethyl beta-D-glucopyranoside","82800","78354","78812","72062","85518","84688"
"(Z)-[3-(Methylsulfinyl)-1-propenyl] 2-propenyl disulfide","79512","80591","75749","73409","85500","83104"
"9-Oxononanoic acid","72367","77445","79654","81460","77666","82351"
"trans-trans-Muconic acid","80463","75784","75185","76372","73755","77203"
"Cytidine","77396","75964","73652","72971","79512","78336"
"Chymopapain","81522","76089","76241","67672","72437","83373"
"2-Propene-1-thiol","77933","75397","73754","71541","79260","76044"
"Pyrocatechol","75371","78726","72510","69401","74230","81801"
"Cysteic acid","81980","75439","73226","74264","76245","69629"
"2-Vinylthiophene","71659","70170","72783","69922","71779","79542"
"D-1-Piperideine-2-carboxylic acid","85438","67287","77466","58700","66080","77991"
"Carbamoyl phosphate","59193","72569","56027","74666","75095","78230"
"8,11,14-Eicosatrienoic acid","64375","74960","67674","61786","70442","75408"
"dTDP-3,4-dioxo-2,6-dideoxy-D-glucose","78252","67280","62395","64038","70017","72625"
"Phenyl hydrogen sulfate","66165","69193","65257","65252","74701","72505"
"Urocanic acid","69470","69352","64673","66857","66537","70102"
"Methylpyrazine","68240","67901","65366","62977","67856","69675"
"Peroxynitrite"," 46306"," 56874"," 70122","103591"," 62777"," 58982"
"(R)-3-Hydroxy-Octadecanoic acid","93909","64444","54513","49969","54086","66899"
"5-Methyl-2-thiophenecarboxaldehyde","64051","65100","50614","67915","67179","66925"
"Dimethylallylpyrophosphate","63584","61458","63225","58055","65409","63188"
"Cytidine monophosphate","65330","61107","61560","59907","61859","63523"
"Patulin","60202","59262","63125","65313","62330","62789"
"Azelaic acid","60314","61477","59186","64439","59837","62267"
"N-Heptanoylglycine","56523","63892","56132","64349","64243","60999"
"cis-1,2-Dihydronaphthalene-1,2-diol","57160","64448","57871","49928","56467","66499"
"Citramalic acid","57599","56168","59136","53520","57674","63652"
"1,2,3-Trihydroxybenzene","59536","59582","53712","56506","56547","60489"
"Gentisic acid","52042","53958","54406","54376","55255","58118"
"13-OxoODE","47747","57741","56594","49446","55049","60770"
"L-Urobilin","86292","47893","46478","42373","48430","51607"
"3-Furoic acid","55150","52584","55554","55985","50841","52538"
"2,3-Diphosphoglyceric acid","56552","53050","49288","47462","55123","59741"
"Thiobenzamide S,S-dioxide","56215","52140","51321","49804","52886","52473"
"Urolithin A","52509","53295","50222","49143","53061","53947"
"3-Dehydroshikimate","52199","51999","49396","50840","51103","52260"
"4-Methylcatechol","51132","51825","50552","51950","50187","49869"
"Methyl thiophene-2-carboxylate","48323","54053","44054","51378","49348","54330"
"MG(0:0/15:0/0:0)","187103"," 23571"," 22189"," 21862"," 22448"," 22382"
"L-Glutamine","46904","52826","48410","36710","49268","52823"
"Uridine diphosphate-N-acetylglucosamine","50544","46071","46169","41617","47508","51045"
"Uridine 5'-diphosphate","49197","46818","47001","38290","47492","50073"
"Hypogeic acid","46241","44330","45070","50650","43900","46091"
"3a,7a,12b-Trihydroxy-5b-cholanoic acid","47444","48924","39259","40119","43345","52180"
"Phthalic acid","44086","45577","44740","45489","45257","45722"
"3,4-Dihydroxyphthalate","50079","43508","43801","44183","44312","40713"
"(R)-3-Hydroxy-5-phenylpentanoic acid","47194","44171","40952","40263","44279","48235"
"N-Undecanoylglycine","36812","43751","38705","50295","38889","56486"
"13S-hydroxyoctadecadienoic acid","40081","44520","43237","47788","43223","44954"
"4-Sulfobenzoate","46971","43101","42346","38121","46040","43611"
"L-Urobilinogen","68885","38471","36064","32069","35665","43152"
"Feruloyl-CoA","37164","43371","43567","46554","44164","39354"
"Caproic acid","46665","38220","39814","44003","40427","42491"
"7-Deoxyloganetin","39595","39889","40943","40231","42436","47021"
"Malabaricone C","40542","39230","42134","42162","42056","42415"
"2-Ketobutyric acid","46212","44314","39926","37207","40681","38876"
"Isovaleric acid","51408","40616","39708","38181","37779","38844"
"Cuminaldehyde","37646","45544","41076","33835","41496","46905"
"Bakkenolide D","39392","44917","39567","31670","42296","47340"
"Glyceryl lactopalmitate","39259","44003","39185","35189","41902","44746"
"p-Cresol","39446","38305","41253","38563","40583","45863"
"Toluene","37925","42415","40200","32379","39394","45869"
"Homovanillic acid","41274","38054","37055","37578","39801","42394"
"Valerenic acid","33206","35098","34894","38842","38892","54876"
"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate","39577","40381","36954","34591","42177","42054"
"2,4,6-Trimethyl-1,3,5-trithiane","36505","37196","39342","36435","41845","39557"
"3b,12a-Dihydroxy-5a-cholanoic acid","104728"," 41062"," 14652"," 19208"," 31449"," 19477"
"Benzoquinoneacetic acid","38478","40847","35185","35747","38706","41147"
"Nonadecanoic acid","33889","32082","34074","33136","34775","60247"
"5-Phenylvaleric acid","37386","39441","33878","34672","39029","42227"
"9-Pentadecenoic acid","36180","36989","37217","36426","39382","38161"
"3a,20b-Pregnanediol","34325","39167","36584","33824","38432","39430"
"Trichocarposide","34442","37751","35316","35402","37818","40122"
"4'-Hydroxy-5,7-dimethoxyflavan","36424","39061","34987","30803","36442","42125"
"Glycerol triundecanoate","39855","33286","32258","31281","33823","36841"
"2-Isopropyl-1,4-benzenediol","32743","34436","35026","32675","34254","37361"
"2-Octenedioic acid","34025","32955","34199","34674","34113","34727"
"Pranlukast","28228","38105","33890","27650","37591","38943"
"Metyrapone","34165","33164","31597","28627","35696","37721"
"Norepinephrine","35317","34206","32347","31382","33551","33886"
"7-Sulfocholic acid","34347","31746","33159","32480","35189","33388"
"Nootkatol","31338","32611","32083","34424","31491","37190"
"Dioctyltin isooctylthioglycolate","33523","33072","33138","29727","32730","36839"
"3-Oxohexadecanoic acid","31950","32446","30939","33414","31568","38635"
"Senecioic acid","34416","31934","33448","31866","32903","33710"
"Behenic acid","50701","24884","27524","26394","25447","41336"
"Medroxyprogesterone","32308","32662","32720","31944","31891","33789"
"Allicin","34165","33164","24582","28627","35696","37721"
"Glutathionylspermine","30259","34321","24633","33935","25651","42835"
"Mammeigin","31478","34201","30738","26439","32584","35229"
"DL-Homocystine","31891","31689","31386","30643","32573","30764"
"3-Hydroxyisoheptanoic acid","34548","31870","30599","28664","31050","32112"
"Tridecanoic acid","27203","28852","32103","31663","28945","40061"
"cis-4-Hydroxycyclohexylacetic acid","29418","31021","33258","30359","28441","34175"
"3-Methyl-4-phenyl-3-buten-2-one","30434","32821","30490","25023","31690","36056"
"5-(2-Methylpropyl)tetrahydro-2-oxo-3-furancarboxylic acid","29401","30606","29935","30171","30318","32108"
"Eicosapentaenoic acid","24551","27773","27074","26849","28068","47593"
"Phenylpyruvic acid","29402","30385","30903","28843","29822","30671"
"Oxalureate","34314","30073","32643","28265","27432","25919"
"Delphinidin 3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside","25605","29628","31620","30814","33005","27396"
"Allolithocholic acid","80418","32439","13210"," 7077","29055","15470"
"(S)-3,4-Dihydroxybutyric acid","28987","28960","31876","26417","30792","29911"
"CDP","28951","31877","29880","24174","29173","32775"
"Rishitin","29866","29225","28127","26913","26776","33590"
"Monoisobutyl phthalic acid","27550","30877","27923","29267","29550","28976"
"Ethyl hydrogen sulfate","23666","29880","36372","27794","27896","26295"
"1-Acyl-sn-glycero-3-phosphoglycerol","27372","26411","27686","27545","30459","31139"
"16-Hydroxy hexadecanoic acid","38286","24700","25730","23080","26630","31882"
"cis-4-Decenoic acid","30814","28477","28447","26722","28556","26665"
"1,3-Diacetylpropane","37525","27835","26068","24600","25869","27220"
"Carnosine","28897","27842","26744","24368","29400","31501"
"Undecanoic acid","27176","24307","31682","29237","24679","31568"
"Butyric acid","35942","28069","24340","25207","27597","27393"
"Kurarinone","27017","27688","27746","27553","27112","29515"
"Octadecanedioic acid","27883","27627","26944","27402","26348","30263"
"Suberic acid","29574","26058","27202","27003","26506","29790"
"Norambreinolide","19610","23987","21177","25180","24716","51200"
"Inosinic acid","28711","27555","25683","25482","28042","29371"
"Annuionone B","24591","29225","26364","26599","29466","28444"
"7-Methylguanosine 5'-phosphate","30553","26528","25251","23188","27581","31213"
"(R)-2-Benzylsuccinate","26501","28166","24240","24998","29042","28981"
"Malonic acid","27086","27384","27699","27359","27283","25079"
"4-Hydroxy-8-methoxy-2H-furo[2,3-h]-1-benzopyran-2-one","27136","24938","30909","24363","25813","27245"
"2-Methyl-3-ketovaleric acid","25471","25448","25557","25837","28666","27487"
"12-Hydroxynevirapine","25314","24555","26567","24180","27514","29797"
"(E)-2-Butenal","25996","29432","24924","22378","26974","28080"
"3-Methoxy-4,5-methylenedioxybenzoic acid","25396","26280","26377","25894","24958","27108"
"3-Oxopimelyl-CoA","21331","26565","26993","29514","27454","23068"
"Succinylacetone","26501","24262","26026","25687","24829","24522"
"Heptanoic acid","26323","24108","26896","24915","22369","27012"
"Liqcoumarin","24395","26327","23809","24435","25928","25816"
"Formiminoglutamic acid","27417","26220","21337","20719","27868","26981"
"2-Methyl-1-propanethiol","24365","25662","23681","23526","27066","24526"
"dUMP","25765","25335","21981","21087","25425","28973"
"Salicylate-sodium","22414","23004","22932","24698","25754","28064"
"Cinnamic acid","24456","24602","24493","24077","23943","25209"
"13-L-Hydroperoxylinoleic acid","22789","25177","22849","25738","22277","26579"
"Sulfoxone","24871","25932","22370","19068","25576","26437"
"Jasmonic acid","22163","22582","22175","23054","24340","27207"
"2,4-Hexadienyl acetate","23183","23924","23793","23452","23536","23548"
"7-a,25-Dihydroxycholesterol","24539","22883","23829","22716","23765","23419"
"All-trans-retinoic acid","21954","22277","22576","22361","24207","27263"
"L-Lactic acid","25144","25766","23410","17764","23291","25052"
"2-hydroxy-2-[4-hydroxy-3-(3-methylbut-2-en-1-yl)phenyl]acetic acid","22943","23014","23034","20304","25325","25759"
"1-Naphthaleneacetic acid","23229","25323","21021","21347","22181","26050"
"4-Hydroxyphenylpyruvic acid","22051","22457","23971","22434","23096","24709"
"Thymol","22582","22527","21516","21532","23428","26942"
"Cyclandelate","18649","23996","21129","25949","21946","26829"
"1-(4-Methoxyphenyl)-1-penten-3-one","23294","24540","20332","20928","24315","24536"
"Gibberellin A93","25759","22821","20633","20496","23489","24507"
"1,3-Dimethyluracil","23294","23638","23783","22523","22031","21856"
"3-Sulfocatechol","23990","20279","28768","20075","19889","22413"
"Uridine diphosphate glucose","23311","21964","21949","19628","21950","25240"
"N-Acetylgalactosamine","22396","22925","23149","19737","22905","22372"
"4-Hydroxycyclohexylcarboxylic acid","24686","21108","21862","21887","20902","22734"
"QH2","23339","23575","20939","20660","21676","22786"
"7-Hydroxyoctanoic acid","24300","20614","20698","23347","20690","23160"
"Gabapentin","22016","22483","18622","28392","20105","20971"
"4-Isopropylbenzoic acid","21114","21964","21358","21625","22994","23308"
